"Timestamp  in Local time"	"Soil Moisture ID: 2662[%VWC] @2359-1 MS:Sensor is not configured"	"Soil Moisture ID: 2665[%VWC] @2360-1 MS:Sensor is not configured"	"Soil Moisture ID: 2663[%VWC] @2361-1 MS:Sensor is not configured"	"Soil Moisture ID: 2658[%VWC] @2363-1 MS:Sensor is not configured"	"Soil Moisture ID: 2647[%VWC] @2364-1 MS:Sensor is not configured"	"Soil Moisture ID: 2649[%VWC] @2366-1 MS:Sensor is not configured"	"Soil Moisture ID: 2648[%VWC] @2367-3 MS:Sensor is not configured"	"Soil Moisture ID: 2654[%VWC] @2369-1 MS:Sensor is not configured"	"Soil Moisture ID: 2656[%VWC] @2370-3 MS:Sensor is not configured"	"Soil Moisture ID: 2653[%VWC] @2371-1 MS:Sensor is not configured"	"Soil Moisture ID: 2644[%VWC] @2374-1 MS:Sensor is not configured"	"Soil Moisture ID: 2661[%VWC] @2375-1 MS:Sensor is not configured"	"Soil Moisture ID: 2666[%VWC] @2376-1 MS:Sensor is not configured"	"Soil Moisture ID: 2659[%VWC] @2377-1 MS:Sensor is not configured"	"Soil Moisture ID: 2655[%VWC] @2379-1 MS:Sensor is not configured"	"Soil Moisture ID: 2650[%VWC] @2380-1 MS:Sensor is not configured"
"2024-03-22 00:00:17"	""	""	""	""	"7.01"	""	""	""	""	""	""	""	""	""	""	""
"2024-03-22 00:00:32"	""	"6.30"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-03-22 00:00:38"	""	""	""	""	""	""	""	""	"5.05"	""	""	""	""	""	""	""
"2024-03-22 00:01:39"	""	""	""	""	""	""	""	"4.32"	""	""	""	""	""	""	""	""
"2024-03-22 00:02:06"	""	""	""	""	""	""	""	""	""	""	""	""	""	"11.43"	""	""
"2024-03-22 00:02:07"	""	""	""	""	""	""	""	""	""	"3.13"	""	""	""	""	""	""
"2024-03-22 00:02:24"	""	""	""	""	""	""	""	""	""	""	"5.27"	""	""	""	""	""
"2024-03-22 00:02:28"	""	""	"13.31"	""	""	""	"5.93"	""	""	""	""	""	""	""	""	""
"2024-03-22 00:03:09"	""	""	""	""	""	""	""	""	""	""	""	""	"10.23"	""	""	""
"2024-03-22 00:03:28"	"5.30"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-03-22 00:03:43"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"20.76"
"2024-03-22 00:04:17"	""	""	""	""	""	""	""	""	""	""	""	"2.93"	""	""	""	""
"2024-03-22 00:04:30"	""	""	""	"4.49"	""	""	""	""	""	""	""	""	""	""	""	""
"2024-03-22 00:04:48"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"9.40"	""
"2024-03-22 00:04:51"	""	""	""	""	""	"2.74"	""	""	""	""	""	""	""	""	""	""
"2024-03-22 00:05:17"	""	""	""	""	"7.01"	""	""	""	""	""	""	""	""	""	""	""
"2024-03-22 00:05:32"	""	"6.08"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-03-22 00:05:38"	""	""	""	""	""	""	""	""	"5.05"	""	""	""	""	""	""	""
"2024-03-22 00:06:39"	""	""	""	""	""	""	""	"4.32"	""	""	""	""	""	""	""	""
"2024-03-22 00:07:06"	""	""	""	""	""	""	""	""	""	""	""	""	""	"11.43"	""	""
"2024-03-22 00:07:07"	""	""	""	""	""	""	""	""	""	"3.15"	""	""	""	""	""	""
"2024-03-22 00:07:24"	""	""	""	""	""	""	""	""	""	""	"5.27"	""	""	""	""	""
"2024-03-22 00:07:28"	""	""	"13.24"	""	""	""	"5.93"	""	""	""	""	""	""	""	""	""
"2024-03-22 00:08:09"	""	""	""	""	""	""	""	""	""	""	""	""	"10.04"	""	""	""
"2024-03-22 00:08:28"	"5.23"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-03-22 00:08:43"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"20.63"
"2024-03-22 00:09:17"	""	""	""	""	""	""	""	""	""	""	""	"2.93"	""	""	""	""
"2024-03-22 00:09:30"	""	""	""	"4.57"	""	""	""	""	""	""	""	""	""	""	""	""
"2024-03-22 00:09:48"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"9.52"	""
"2024-03-22 00:09:51"	""	""	""	""	""	"2.78"	""	""	""	""	""	""	""	""	""	""
"2024-03-22 00:10:17"	""	""	""	""	"6.96"	""	""	""	""	""	""	""	""	""	""	""
"2024-03-22 00:10:32"	""	"6.23"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-03-22 00:10:38"	""	""	""	""	""	""	""	""	"5.15"	""	""	""	""	""	""	""
"2024-03-22 00:11:39"	""	""	""	""	""	""	""	"4.30"	""	""	""	""	""	""	""	""
"2024-03-22 00:12:06"	""	""	""	""	""	""	""	""	""	""	""	""	""	"11.36"	""	""
"2024-03-22 00:12:07"	""	""	""	""	""	""	""	""	""	"3.15"	""	""	""	""	""	""
"2024-03-22 00:12:24"	""	""	""	""	""	""	""	""	""	""	"5.27"	""	""	""	""	""
"2024-03-22 00:12:28"	""	""	"13.31"	""	""	""	"5.76"	""	""	""	""	""	""	""	""	""
"2024-03-22 00:13:09"	""	""	""	""	""	""	""	""	""	""	""	""	"10.04"	""	""	""
"2024-03-22 00:13:28"	"5.27"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-03-22 00:13:43"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"20.54"
"2024-03-22 00:14:17"	""	""	""	""	""	""	""	""	""	""	""	"2.93"	""	""	""	""
"2024-03-22 00:14:30"	""	""	""	"4.54"	""	""	""	""	""	""	""	""	""	""	""	""
"2024-03-22 00:14:48"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"9.45"	""
"2024-03-22 00:14:51"	""	""	""	""	""	"2.76"	""	""	""	""	""	""	""	""	""	""
"2024-03-22 00:15:17"	""	""	""	""	"6.96"	""	""	""	""	""	""	""	""	""	""	""
"2024-03-22 00:15:32"	""	"6.18"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-03-22 00:15:38"	""	""	""	""	""	""	""	""	"5.03"	""	""	""	""	""	""	""
"2024-03-22 00:16:39"	""	""	""	""	""	""	""	"4.30"	""	""	""	""	""	""	""	""
"2024-03-22 00:17:06"	""	""	""	""	""	""	""	""	""	""	""	""	""	"11.21"	""	""
"2024-03-22 00:17:07"	""	""	""	""	""	""	""	""	""	"3.13"	""	""	""	""	""	""
"2024-03-22 00:17:24"	""	""	""	""	""	""	""	""	""	""	"5.27"	""	""	""	""	""
"2024-03-22 00:17:28"	""	""	"13.31"	""	""	""	"5.93"	""	""	""	""	""	""	""	""	""
"2024-03-22 00:18:09"	""	""	""	""	""	""	""	""	""	""	""	""	"9.96"	""	""	""
"2024-03-22 00:18:28"	"5.23"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-03-22 00:18:43"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"20.44"
"2024-03-22 00:19:17"	""	""	""	""	""	""	""	""	""	""	""	"2.93"	""	""	""	""
"2024-03-22 00:19:30"	""	""	""	"4.49"	""	""	""	""	""	""	""	""	""	""	""	""
"2024-03-22 00:19:48"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"9.52"	""
"2024-03-22 00:19:51"	""	""	""	""	""	"2.76"	""	""	""	""	""	""	""	""	""	""
"2024-03-22 00:20:17"	""	""	""	""	"6.96"	""	""	""	""	""	""	""	""	""	""	""
"2024-03-22 00:20:32"	""	"6.25"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-03-22 00:20:38"	""	""	""	""	""	""	""	""	"5.10"	""	""	""	""	""	""	""
"2024-03-22 00:21:39"	""	""	""	""	""	""	""	"4.32"	""	""	""	""	""	""	""	""
"2024-03-22 00:22:06"	""	""	""	""	""	""	""	""	""	""	""	""	""	"11.21"	""	""
"2024-03-22 00:22:07"	""	""	""	""	""	""	""	""	""	"3.13"	""	""	""	""	""	""
"2024-03-22 00:22:24"	""	""	""	""	""	""	""	""	""	""	"5.27"	""	""	""	""	""
"2024-03-22 00:22:28"	""	""	"13.41"	""	""	""	"5.93"	""	""	""	""	""	""	""	""	""
"2024-03-22 00:23:09"	""	""	""	""	""	""	""	""	""	""	""	""	"10.11"	""	""	""
"2024-03-22 00:23:28"	"5.20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-03-22 00:23:43"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"20.44"
"2024-03-22 00:24:17"	""	""	""	""	""	""	""	""	""	""	""	"2.93"	""	""	""	""
"2024-03-22 00:24:30"	""	""	""	"4.54"	""	""	""	""	""	""	""	""	""	""	""	""
"2024-03-22 00:24:48"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"9.52"	""
"2024-03-22 00:24:51"	""	""	""	""	""	"2.74"	""	""	""	""	""	""	""	""	""	""
"2024-03-22 00:25:17"	""	""	""	""	"6.86"	""	""	""	""	""	""	""	""	""	""	""
"2024-03-22 00:25:32"	""	"6.25"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-03-22 00:25:38"	""	""	""	""	""	""	""	""	"4.98"	""	""	""	""	""	""	""
