"Timestamp  in Local time"	"Soil Moisture ID: 2662[%VWC] @2359-1 MS:Sensor is not configured"	"Soil Moisture ID: 2665[%VWC] @2360-1 MS:Sensor is not configured"	"Soil Moisture ID: 2663[%VWC] @2361-1 MS:Sensor is not configured"	"Soil Moisture ID: 2658[%VWC] @2363-1 MS:Sensor is not configured"	"Soil Moisture ID: 2647[%VWC] @2364-1 MS:Sensor is not configured"	"Soil Moisture ID: 2649[%VWC] @2366-1 MS:Sensor is not configured"	"Soil Moisture ID: 2648[%VWC] @2367-3 MS:Sensor is not configured"	"Soil Moisture ID: 2654[%VWC] @2369-1 MS:Sensor is not configured"	"Soil Moisture ID: 2656[%VWC] @2370-3 MS:Sensor is not configured"	"Soil Moisture ID: 2653[%VWC] @2371-1 MS:Sensor is not configured"	"Soil Moisture ID: 2645[%VWC] @2373-3 MS:Sensor is not configured"	"Soil Moisture ID: 2644[%VWC] @2374-1 MS:Sensor is not configured"	"Soil Moisture ID: 2661[%VWC] @2375-1 MS:Sensor is not configured"	"Soil Moisture ID: 2666[%VWC] @2376-1 MS:Sensor is not configured"	"Soil Moisture ID: 2655[%VWC] @2379-1 MS:Sensor is not configured"	"Soil Moisture ID: 2650[%VWC] @2380-1 MS:Sensor is not configured"
"2024-01-10 00:00:21"	""	""	""	""	""	""	""	""	""	""	""	"5.64"	""	""	""	""
"2024-01-10 00:00:22"	""	""	""	""	""	""	"6.40"	""	""	""	""	""	""	""	""	""
"2024-01-10 00:00:36"	""	""	""	""	""	""	""	""	""	""	""	""	""	"5.42"	""	""
"2024-01-10 00:01:04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"4.40"
"2024-01-10 00:01:41"	""	""	""	""	""	""	""	""	""	""	""	""	"3.37"	""	""	""
"2024-01-10 00:01:46"	"7.72"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-01-10 00:02:03"	""	"6.23"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-01-10 00:02:22"	""	""	""	""	""	""	""	""	""	""	"3.57"	""	""	""	""	""
"2024-01-10 00:02:32"	""	""	""	"2.56"	""	""	""	""	""	""	""	""	""	""	""	""
"2024-01-10 00:02:41"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"11.14"	""
"2024-01-10 00:03:01"	""	""	""	""	"6.30"	""	""	""	""	""	""	""	""	""	""	""
"2024-01-10 00:03:18"	""	""	""	""	""	"4.18"	""	""	""	""	""	""	""	""	""	""
"2024-01-10 00:03:23"	""	""	""	""	""	""	""	""	"6.35"	""	""	""	""	""	""	""
"2024-01-10 00:03:32"	""	""	""	""	""	""	""	""	""	"3.37"	""	""	""	""	""	""
"2024-01-10 00:04:06"	""	""	""	""	""	""	""	"5.45"	""	""	""	""	""	""	""	""
"2024-01-10 00:05:21"	""	""	""	""	""	""	""	""	""	""	""	"5.69"	""	""	""	""
"2024-01-10 00:05:22"	""	""	""	""	""	""	"6.40"	""	""	""	""	""	""	""	""	""
"2024-01-10 00:05:36"	""	""	""	""	""	""	""	""	""	""	""	""	""	"5.42"	""	""
"2024-01-10 00:06:04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"4.37"
"2024-01-10 00:06:41"	""	""	""	""	""	""	""	""	""	""	""	""	"3.37"	""	""	""
"2024-01-10 00:06:46"	"7.77"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-01-10 00:07:03"	""	"6.25"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-01-10 00:07:22"	""	""	""	""	""	""	""	""	""	""	"3.57"	""	""	""	""	""
"2024-01-10 00:07:32"	""	""	""	"2.56"	""	""	""	""	""	""	""	""	""	""	""	""
"2024-01-10 00:07:41"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"11.21"	""
"2024-01-10 00:08:01"	""	""	""	""	"6.30"	""	""	""	""	""	""	""	""	""	""	""
"2024-01-10 00:08:18"	""	""	""	""	""	"4.30"	""	""	""	""	""	""	""	""	""	""
"2024-01-10 00:08:23"	""	""	""	""	""	""	""	""	"6.40"	""	""	""	""	""	""	""
"2024-01-10 00:08:32"	""	""	""	""	""	""	""	""	""	"3.37"	""	""	""	""	""	""
"2024-01-10 00:09:06"	""	""	""	""	""	""	""	"5.42"	""	""	""	""	""	""	""	""
"2024-01-10 00:10:21"	""	""	""	""	""	""	""	""	""	""	""	"5.64"	""	""	""	""
"2024-01-10 00:10:22"	""	""	""	""	""	""	"6.30"	""	""	""	""	""	""	""	""	""
"2024-01-10 00:10:36"	""	""	""	""	""	""	""	""	""	""	""	""	""	"5.37"	""	""
