data;field;treatment;above_par;below_par;lai;latitude;length
3 04 2023;rio_claro;T4;1272.8;1193.92;0.78;34.70051415;70.86501994
3 04 2023;rio_claro;T1;1464.75;1389.52;0.71;34.70069675;70.86492003
3 04 2023;rio_claro;T2;1129.47;906.93;0.73;34.70087711;70.86469782
3 04 2023;rio_claro;T3;1272.23;1054.5;0.77;34.70106252;70.86448911
3 04 2023;rio_claro;T0;1443.18;1419.55;0.49;34.70125019;70.86427415
13 04 2023;rio_claro;T3;1156.1;645.36;0.75;34.70051415;70.86501994
13 04 2023;rio_claro;T1;1028.28;538.42;0.92;34.70069675;70.86492003
13 04 2023;rio_claro;T4;1337.32;751.18;0.88;34.70087711;70.86469782
13 04 2023;rio_claro;T2;1363.8;829.64;0.77;34.70106252;70.86448911
13 04 2023;rio_claro;T0;1568.53;670.07;1.36;34.70125019;70.86427415
18 04 2023;la_esperanza;T4;1491.72;1599.78;1.28;34.32834536;71.27407602
18 04 2023;la_esperanza;T1;1129.57;871.77;1.06;34.32825556;71.27396667
18 04 2023;la_esperanza;T2;1332.78;1157.65;1.15;34.32798811;71.27374546
18 04 2023;la_esperanza;T3;1170.37;897.55;1.11;34.32789905;71.27374546
18 04 2023;la_esperanza;T0;1461.78;1401.61;0.71;34.32771945;71.27351944
24 04 2023;rio_claro;T3;1467.68;986.37;0.78;34.70051415;70.86501994
24 04 2023;rio_claro;T1;1505.62;962.9;0.82;34.70069675;70.86492003
24 04 2023;rio_claro;T4;1570.85;951.72;0.9;34.70087711;70.86469782
24 04 2023;rio_claro;T2;1536.75;908.03;0.92;34.70106252;70.86448911
24 04 2023;rio_claro;T0;1707.68;785.37;1.64;34.70125019;70.86427415
