sitio;temporada;fecha;hora;tratamiento;unidad;codigo;bar
la_esperanza;2023-2024;2024-02-17;08:00;T4;3;H81A4;1.99
la_esperanza;2023-2024;2024-02-17;08:00;T1;3;H86A11;4.54
la_esperanza;2023-2024;2024-02-17;08:00;T2;3;H94A6;2.55
la_esperanza;2023-2024;2024-02-17;08:00;T3;3;H99A8;3.54
la_esperanza;2023-2024;2024-02-17;08:00;T0;1;H103A4;NA
la_esperanza;2023-2024;2024-02-17;09:00;T4;3;H81A4;2.69
la_esperanza;2023-2024;2024-02-17;09:00;T1;3;H86A11;4.94
la_esperanza;2023-2024;2024-02-17;09:00;T2;3;H94A6;5.8
la_esperanza;2023-2024;2024-02-17;09:00;T3;3;H99A8;6.85
la_esperanza;2023-2024;2024-02-17;09:00;T0;1;H103A4;6.03
la_esperanza;2023-2024;2024-02-17;10:00;T4;3;H81A4;6.52
la_esperanza;2023-2024;2024-02-17;10:00;T1;3;H86A11;9.46
la_esperanza;2023-2024;2024-02-17;10:00;T2;3;H94A6;9.93
la_esperanza;2023-2024;2024-02-17;10:00;T3;3;H99A8;9.64
la_esperanza;2023-2024;2024-02-17;10:00;T0;1;H103A4;8.26
la_esperanza;2023-2024;2024-02-17;11:00;T4;3;H81A4;NA
la_esperanza;2023-2024;2024-02-17;11:00;T1;3;H86A11;14.14
la_esperanza;2023-2024;2024-02-17;11:00;T2;3;H94A6;13.34
la_esperanza;2023-2024;2024-02-17;11:00;T3;3;H99A8;11.27
la_esperanza;2023-2024;2024-02-17;11:00;T0;1;H103A4;10.68
la_esperanza;2023-2024;2024-02-17;12:00;T4;3;H81A4;14.32
la_esperanza;2023-2024;2024-02-17;12:00;T1;3;H86A11;13.23
la_esperanza;2023-2024;2024-02-17;12:00;T2;3;H94A6;14.09
la_esperanza;2023-2024;2024-02-17;12:00;T3;3;H99A8;11.04
la_esperanza;2023-2024;2024-02-17;12:00;T0;1;H103A4;10.97
la_esperanza;2023-2024;2024-02-17;13:00;T4;3;H81A4;14.63
la_esperanza;2023-2024;2024-02-17;13:00;T1;3;H86A11;14.44
la_esperanza;2023-2024;2024-02-17;13:00;T2;3;H94A6;14.4
la_esperanza;2023-2024;2024-02-17;13:00;T3;3;H99A8;13.53
la_esperanza;2023-2024;2024-02-17;13:00;T0;1;H103A4;12.57
la_esperanza;2023-2024;2024-02-17;14:00;T4;3;H81A4;12.66
la_esperanza;2023-2024;2024-02-17;14:00;T1;3;H86A11;11.87
la_esperanza;2023-2024;2024-02-17;14:00;T2;3;H94A6;14.97
la_esperanza;2023-2024;2024-02-17;14:00;T3;3;H99A8;12.19
la_esperanza;2023-2024;2024-02-17;14:00;T0;1;H103A4;12.08
la_esperanza;2023-2024;2024-02-17;15:00;T4;3;H81A4;11.79
la_esperanza;2023-2024;2024-02-17;15:00;T1;3;H86A11;12.56
la_esperanza;2023-2024;2024-02-17;15:00;T2;3;H94A6;16.27
la_esperanza;2023-2024;2024-02-17;15:00;T3;3;H99A8;13.91
la_esperanza;2023-2024;2024-02-17;15:00;T0;1;H103A4;13.48
la_esperanza;2023-2024;2024-02-17;16:00;T4;3;H81A4;12.88
la_esperanza;2023-2024;2024-02-17;16:00;T1;3;H86A11;15.15
la_esperanza;2023-2024;2024-02-17;16:00;T2;3;H94A6;13.42
la_esperanza;2023-2024;2024-02-17;16:00;T3;3;H99A8;12.15
la_esperanza;2023-2024;2024-02-17;16:00;T0;1;H103A4;12.43
la_esperanza;2023-2024;2024-02-17;17:00;T4;3;H81A4;11.9
la_esperanza;2023-2024;2024-02-17;17:00;T1;3;H86A11;NA
la_esperanza;2023-2024;2024-02-17;17:00;T2;3;H94A6;14.22
la_esperanza;2023-2024;2024-02-17;17:00;T3;3;H99A8;13.17
la_esperanza;2023-2024;2024-02-17;17:00;T0;1;H103A4;11.84
la_esperanza;2023-2024;2024-02-17;18:00;T4;3;H81A4;11.63
la_esperanza;2023-2024;2024-02-17;18:00;T1;3;H86A11;8.69
la_esperanza;2023-2024;2024-02-17;18:00;T2;3;H94A6;12.08
la_esperanza;2023-2024;2024-02-17;18:00;T3;3;H99A8;11.09
la_esperanza;2023-2024;2024-02-17;18:00;T0;1;H103A4;9.77
