FluorPen ASCII Export File
-----------------------------------
File Name: Untitled - 1
-----------------------------------

time	14:18:49  13.3.2024	14:19:09  13.3.2024	14:19:58  13.3.2024	14:20:15  13.3.2024	14:20:47  13.3.2024	14:21:16  13.3.2024	14:21:36  13.3.2024	14:22:01  13.3.2024	14:22:38  13.3.2024	14:22:55  13.3.2024	14:23:23  13.3.2024	14:23:43  13.3.2024	14:24:58  13.3.2024	14:25:15  13.3.2024	14:25:34  13.3.2024	14:25:51  13.3.2024	14:26:28  13.3.2024	14:26:46  13.3.2024	14:27:05  13.3.2024	14:27:24  13.3.2024	14:28:08  13.3.2024	14:28:27  13.3.2024	14:28:44  13.3.2024	14:29:03  13.3.2024	14:30:10  13.3.2024	14:30:27  13.3.2024	14:30:44  13.3.2024	14:31:04  13.3.2024	14:31:28  13.3.2024	14:31:46  13.3.2024	14:32:08  13.3.2024	14:32:27  13.3.2024	14:33:29  13.3.2024	14:33:46  13.3.2024	14:34:08  13.3.2024	14:34:40  13.3.2024	14:35:37  13.3.2024	14:35:55  13.3.2024	14:36:16  13.3.2024	14:36:35  13.3.2024	14:37:17  13.3.2024	14:37:35  13.3.2024	14:37:52  13.3.2024	14:38:12  13.3.2024	14:38:41  13.3.2024	14:39:00  13.3.2024	14:39:24  13.3.2024	14:39:50  13.3.2024	14:40:59  13.3.2024	14:41:21  13.3.2024	14:41:41  13.3.2024	14:42:00  13.3.2024	14:42:22  13.3.2024	14:42:41  13.3.2024	14:43:01  13.3.2024	14:43:21  13.3.2024	14:55:41  13.3.2024	14:56:01  13.3.2024	14:56:20  13.3.2024	14:56:57  13.3.2024	
Bckg	199	299	209	199	269	209	239	229	229	219	209	209	219	279	292	219	325	348	239	239	219	325	259	279	259	279	390	259	299	259	249	338	357	329	259	319	209	249	199	219	260	189	260	189	269	209	299	269	548	578	438	289	422	229	209	239	487	309	229	487	
Fo	5164	4915	4935	4726	4606	5284	4446	4506	4726	4227	4596	4556	5344	4287	5202	5294	5201	5624	4875	4825	4656	5982	5563	5194	4865	5144	7932	4985	4755	5204	5035	4557	5820	5234	4337	4297	5015	4875	4865	5055	5591	5294	5331	4975	4566	4616	4935	4117	4337	4157	4497	4596	6242	5693	4855	5204	5462	5304	5443	5267	
Fj	10927	12841	14746	14466	11186	13340	11515	11425	13609	12462	13589	13788	17059	12971	15508	16550	15052	16890	12911	14965	13898	17621	17397	15423	14167	15334	18076	13978	14127	14456	13011	11725	16191	14287	12811	12452	12343	12263	14666	15174	17653	16969	17425	15224	12652	11176	12781	9960	11465	11266	12642	13150	17068	17457	13619	15294	12940	14586	14516	10891	
Fi	19741	17627	22522	25802	14207	17507	16181	14985	20618	21366	20857	23629	24805	21984	24481	27826	25196	27956	21555	25872	22831	25131	28474	23997	23290	25613	23928	19810	24586	24566	17108	16381	22498	18324	19262	17288	22183	19322	25603	26191	31828	30418	28512	24317	18374	14466	19022	12622	16271	20418	18505	20937	23603	26321	20269	26081	18174	20259	20997	12810	
Fm	25703	24406	30468	32981	20309	22243	21525	20638	27806	28574	28654	31834	31555	29122	31633	35473	33648	35384	28095	34994	29920	34299	34945	31186	29072	34785	29650	26330	30966	31854	22632	22234	28642	24027	26071	23888	29720	26450	32971	34875	38883	38225	36802	32841	25134	19990	25393	17048	22881	29561	25563	29212	29228	33519	26201	31764	23831	25593	27058	17654	
Fv	20539	19491	25533	28255	15703	16959	17079	16132	23080	24347	24058	27278	26211	24835	26431	30179	28447	29760	23220	30169	25264	28317	29382	25992	24207	29641	21718	21345	26211	26650	17597	17677	22822	18793	21734	19591	24705	21575	28106	29820	33292	32931	31471	27866	20568	15374	20458	12931	18544	25404	21066	24616	22986	27826	21346	26560	18369	20289	21615	12387	
Vj	0.281	0.407	0.384	0.345	0.419	0.475	0.414	0.429	0.385	0.338	0.374	0.338	0.447	0.350	0.390	0.373	0.346	0.379	0.346	0.336	0.366	0.411	0.403	0.394	0.384	0.344	0.467	0.421	0.358	0.347	0.453	0.405	0.454	0.482	0.390	0.416	0.297	0.342	0.349	0.339	0.362	0.355	0.384	0.368	0.393	0.427	0.384	0.452	0.384	0.280	0.387	0.347	0.471	0.423	0.411	0.380	0.407	0.457	0.420	0.454	
Vi	0.710	0.652	0.689	0.746	0.611	0.721	0.687	0.650	0.689	0.704	0.676	0.699	0.742	0.713	0.729	0.747	0.703	0.750	0.718	0.698	0.719	0.676	0.780	0.723	0.761	0.691	0.737	0.695	0.757	0.727	0.686	0.669	0.731	0.697	0.687	0.663	0.695	0.670	0.738	0.709	0.788	0.763	0.737	0.694	0.671	0.641	0.689	0.658	0.644	0.640	0.665	0.664	0.755	0.741	0.722	0.786	0.692	0.737	0.720	0.609	
Fm/Fo	4.977	4.966	6.174	6.979	4.409	4.210	4.841	4.580	5.884	6.760	6.235	6.987	5.905	6.793	6.081	6.701	6.470	6.292	5.763	7.253	6.426	5.734	6.282	6.004	5.976	6.762	3.738	5.282	6.512	6.121	4.495	4.879	4.921	4.591	6.011	5.559	5.926	5.426	6.777	6.899	6.955	7.220	6.903	6.601	5.505	4.331	5.145	4.141	5.276	7.111	5.684	6.356	4.682	5.888	5.397	6.104	4.363	4.825	4.971	3.352	
Fv/Fo	3.977	3.966	5.174	5.979	3.409	3.210	3.841	3.580	4.884	5.760	5.235	5.987	4.905	5.793	5.081	5.701	5.470	5.292	4.763	6.253	5.426	4.734	5.282	5.004	4.976	5.762	2.738	4.282	5.512	5.121	3.495	3.879	3.921	3.591	5.011	4.559	4.926	4.426	5.777	5.899	5.955	6.220	5.903	5.601	4.505	3.331	4.145	3.141	4.276	6.111	4.684	5.356	3.682	4.888	4.397	5.104	3.363	3.825	3.971	2.352	
