FluorPen ASCII Export File
-----------------------------------
File Name: Untitled - 1
-----------------------------------

time	14:01:28  18.1.2024	14:01:54  18.1.2024	14:02:13  18.1.2024	14:02:32  18.1.2024	14:03:05  18.1.2024	14:03:25  18.1.2024	14:03:45  18.1.2024	14:04:11  18.1.2024	14:05:06  18.1.2024	14:05:26  18.1.2024	14:05:45  18.1.2024	14:06:05  18.1.2024	14:07:26  18.1.2024	14:07:44  18.1.2024	14:08:07  18.1.2024	14:08:27  18.1.2024	14:08:59  18.1.2024	14:09:19  18.1.2024	14:10:10  18.1.2024	14:10:30  18.1.2024	14:11:12  18.1.2024	14:11:32  18.1.2024	14:11:51  18.1.2024	14:12:28  18.1.2024	14:14:27  18.1.2024	14:14:46  18.1.2024	14:15:05  18.1.2024	14:15:30  18.1.2024	14:16:21  18.1.2024	14:16:40  18.1.2024	14:17:10  18.1.2024	14:17:33  18.1.2024	14:18:55  18.1.2024	14:19:43  18.1.2024	14:20:04  18.1.2024	14:20:23  18.1.2024	14:21:15  18.1.2024	14:21:34  18.1.2024	14:21:52  18.1.2024	14:22:11  18.1.2024	14:22:33  18.1.2024	14:22:51  18.1.2024	14:23:10  18.1.2024	14:23:26  18.1.2024	14:24:44  18.1.2024	14:25:03  18.1.2024	14:25:24  18.1.2024	14:25:41  18.1.2024	14:27:06  18.1.2024	14:27:24  18.1.2024	14:27:43  18.1.2024	14:28:01  18.1.2024	14:28:33  18.1.2024	14:28:50  18.1.2024	14:29:09  18.1.2024	14:29:29  18.1.2024	14:31:03  18.1.2024	14:31:32  18.1.2024	14:31:50  18.1.2024	14:32:09  18.1.2024	
Bckg	289	199	357	219	189	189	199	199	487	299	219	260	259	209	179	260	199	189	260	209	260	189	260	172	199	219	219	219	292	229	209	229	219	249	289	219	249	219	219	219	209	269	259	279	209	219	209	209	209	209	229	219	269	239	209	249	209	229	338	348	
Fo	4566	4716	5364	4925	4626	4666	4506	4018	5885	5334	4636	5722	4656	4915	5643	6177	4506	5134	5624	4556	5852	5184	5852	3923	4726	4935	4726	4556	5494	4746	5434	4407	4397	3898	3649	4098	5074	4805	4436	5164	5204	4656	4805	4765	4766	5065	4785	5394	4945	5593	5284	4726	5064	5174	4935	4755	4975	4706	4936	4716	
Fj	10857	13639	12387	14117	11455	14137	13031	10947	16223	13280	13449	16418	13350	14795	15673	17133	11605	15104	16548	12981	15735	14337	16515	3923	14058	14536	13499	13439	14663	12462	14955	11744	12383	7497	9391	10787	14955	13230	13001	14018	14785	13200	13579	13330	12891	14755	13380	14247	14107	16032	14217	13260	13210	14576	14157	12073	14736	13569	14916	13061	
Fi	16480	23888	18694	27916	15972	24915	24197	20857	25359	19631	24985	30722	19770	25573	26969	28512	23948	30219	31470	28045	23245	27068	27179	3923	23380	29521	25094	25563	19962	18384	28634	21605	23758	8484	14596	20857	23020	20877	26002	19561	26380	22841	22791	16769	18474	26670	25822	19940	25842	27328	26111	26919	17487	25952	27078	19770	23788	22692	20608	18953	
Fm	23260	34317	25716	34277	21974	31136	32532	28145	33421	27427	31635	36900	26929	31475	33489	34689	29312	36440	38590	34955	30755	36789	34884	3923	30398	35453	31216	31744	27017	24965	35982	27547	30488	12034	20638	28215	30618	27706	32821	25902	31894	28574	29860	23399	24945	33539	32791	25573	32263	32692	32023	33798	23220	32841	33060	26071	30378	28404	27837	24846	
Fv	18694	29601	20352	29352	17348	26470	28026	24127	27536	22093	26999	31178	22273	26560	27846	28512	24806	31306	32966	30399	24903	31605	29032	0	25672	30518	26490	27188	21523	20219	30548	23140	26091	8136	16989	24117	25544	22901	28385	20738	26690	23918	25055	18634	20179	28474	28006	20179	27318	27099	26739	29072	18156	27667	28125	21316	25403	23698	22901	20130	
Vj	0.337	0.301	0.345	0.313	0.394	0.358	0.304	0.287	0.375	0.360	0.326	0.343	0.390	0.372	0.360	0.384	0.286	0.318	0.331	0.277	0.397	0.290	0.367	0.000	0.364	0.315	0.331	0.327	0.426	0.382	0.312	0.317	0.306	0.442	0.338	0.277	0.387	0.368	0.302	0.427	0.359	0.357	0.350	0.460	0.403	0.340	0.307	0.439	0.335	0.385	0.334	0.294	0.449	0.340	0.328	0.343	0.384	0.374	0.436	0.415	
Vi	0.637	0.648	0.655	0.783	0.654	0.765	0.703	0.698	0.707	0.647	0.754	0.802	0.679	0.778	0.766	0.783	0.784	0.801	0.784	0.773	0.698	0.692	0.735	0.000	0.727	0.806	0.769	0.773	0.672	0.675	0.759	0.743	0.742	0.564	0.644	0.695	0.703	0.702	0.760	0.694	0.793	0.760	0.718	0.644	0.679	0.759	0.751	0.721	0.765	0.802	0.779	0.763	0.684	0.751	0.787	0.704	0.741	0.759	0.684	0.707	
Fm/Fo	5.094	7.277	4.794	6.960	4.750	6.673	7.220	7.005	5.679	5.142	6.824	6.449	5.784	6.404	5.935	5.616	6.505	7.098	6.862	7.672	5.255	7.097	5.961	1.000	6.432	7.184	6.605	6.968	4.918	5.260	6.622	6.251	6.934	3.087	5.656	6.885	6.034	5.766	7.399	5.016	6.129	6.137	6.214	4.911	5.234	6.622	6.853	4.741	6.524	5.845	6.060	7.152	4.585	6.347	6.699	5.483	6.106	6.036	5.640	5.268	
Fv/Fo	4.094	6.277	3.794	5.960	3.750	5.673	6.220	6.005	4.679	4.142	5.824	5.449	4.784	5.404	4.935	4.616	5.505	6.098	5.862	6.672	4.255	6.097	4.961	0.000	5.432	6.184	5.605	5.968	3.918	4.260	5.622	5.251	5.934	2.087	4.656	5.885	5.034	4.766	6.399	4.016	5.129	5.137	5.214	3.911	4.234	5.622	5.853	3.741	5.524	4.845	5.060	6.152	3.585	5.347	5.699	4.483	5.106	5.036	4.640	4.268	
