FluorPen ASCII Export File
-----------------------------------
File Name: Untitled - 1
-----------------------------------

time	13:53:52  8.1.2024	13:54:23  8.1.2024	13:54:45  8.1.2024	13:55:06  8.1.2024	13:55:32  8.1.2024	13:55:52  8.1.2024	13:56:13  8.1.2024	13:56:34  8.1.2024	13:56:58  8.1.2024	13:57:26  8.1.2024	13:57:48  8.1.2024	13:58:21  8.1.2024	13:59:40  8.1.2024	14:00:03  8.1.2024	14:00:22  8.1.2024	14:00:42  8.1.2024	14:01:10  8.1.2024	14:01:32  8.1.2024	14:01:51  8.1.2024	14:02:12  8.1.2024	14:02:49  8.1.2024	14:03:08  8.1.2024	14:03:26  8.1.2024	14:03:48  8.1.2024	14:05:22  8.1.2024	14:05:48  8.1.2024	14:06:12  8.1.2024	14:06:50  8.1.2024	14:07:17  8.1.2024	14:07:44  8.1.2024	14:08:08  8.1.2024	14:08:27  8.1.2024	14:09:11  8.1.2024	14:09:41  8.1.2024	14:10:13  8.1.2024	14:10:51  8.1.2024	14:11:51  8.1.2024	14:12:10  8.1.2024	14:12:29  8.1.2024	14:12:54  8.1.2024	14:13:29  8.1.2024	14:13:52  8.1.2024	14:14:11  8.1.2024	14:14:33  8.1.2024	14:15:19  8.1.2024	14:15:38  8.1.2024	14:16:33  8.1.2024	14:16:52  8.1.2024	14:26:42  8.1.2024	14:27:00  8.1.2024	14:27:21  8.1.2024	14:27:39  8.1.2024	14:28:04  8.1.2024	14:28:20  8.1.2024	14:28:43  8.1.2024	14:29:00  8.1.2024	14:29:26  8.1.2024	14:29:48  8.1.2024	14:30:08  8.1.2024	14:30:27  8.1.2024	
Bckg	552	269	292	259	299	418	219	229	269	239	259	219	229	219	292	292	219	219	292	292	279	422	289	239	199	378	249	249	219	189	249	249	199	229	269	279	219	378	329	259	229	269	348	358	219	199	209	199	219	219	299	249	229	229	209	219	239	259	229	292	
Fo	7055	5413	6015	5015	4147	4307	4237	4586	4835	4446	4207	4566	4825	5085	5625	5559	5274	4865	6307	5885	4426	5852	4725	5174	4965	4517	4317	4466	4815	4666	5104	4905	4367	5005	5054	4416	4965	4796	4855	4596	4676	5064	4238	4726	4466	5463	4965	5204	4885	4865	5324	5254	4716	5603	5563	5384	5613	4895	5663	5657	
Fj	22465	13011	13232	13968	10059	11496	12492	13200	13449	12313	12632	13639	13230	15104	17491	16321	16022	15942	20417	17881	12273	17686	13599	15972	15344	12991	12761	13021	12622	14098	14187	14008	13529	15543	12771	13140	14077	14148	14496	13569	13399	14356	11765	12323	13569	16610	14267	16301	14516	14097	15064	15902	12642	16849	16929	16251	16719	14446	14207	17068	
Fi	26074	15912	17686	21605	14137	15733	18424	21116	17936	16660	20687	22751	23858	26002	24676	25164	22751	24157	36510	24286	18604	24676	22093	24376	24646	20110	19651	20678	18335	20568	18634	24406	18564	24865	16759	22422	22891	22094	21904	20089	18394	19800	17388	18425	19461	25683	24157	23828	21425	20488	22841	26311	17617	25015	25553	23988	24855	24087	17397	26952	
Fm	32479	20039	22303	28295	20089	22064	25463	27956	23310	22412	28045	29710	31126	33489	32414	32674	30219	31375	44118	31601	25503	32414	29351	31026	31066	27667	26889	27886	24416	28175	24995	31306	25025	31605	22941	30478	32014	29123	29491	27028	24725	26340	24028	24616	29023	32482	32303	30787	28923	27946	30697	33459	23898	31744	32103	33260	31326	30677	23170	34462	
Fv	25424	14626	16288	23280	15942	17757	21226	23370	18475	17966	23838	25144	26301	28404	26789	27115	24945	26510	37811	25716	21077	26562	24626	25852	26101	23150	22572	23420	19601	23509	19891	26401	20658	26600	17887	26062	27049	24327	24636	22432	20049	21276	19790	19890	24557	27019	27338	25583	24038	23081	25373	28205	19182	26141	26540	27876	25713	25782	17507	28805	
Vj	0.606	0.519	0.443	0.385	0.371	0.405	0.389	0.369	0.466	0.438	0.353	0.361	0.320	0.353	0.443	0.397	0.431	0.418	0.373	0.466	0.372	0.446	0.360	0.418	0.398	0.366	0.374	0.365	0.398	0.401	0.457	0.345	0.444	0.396	0.431	0.335	0.337	0.384	0.391	0.400	0.435	0.437	0.380	0.382	0.371	0.413	0.340	0.434	0.401	0.400	0.384	0.378	0.413	0.430	0.428	0.390	0.432	0.370	0.488	0.396	
Vi	0.748	0.718	0.717	0.713	0.627	0.643	0.668	0.707	0.709	0.680	0.691	0.723	0.724	0.736	0.711	0.723	0.701	0.728	0.799	0.716	0.673	0.709	0.705	0.743	0.754	0.674	0.679	0.692	0.690	0.676	0.680	0.739	0.687	0.747	0.654	0.691	0.663	0.711	0.692	0.691	0.684	0.693	0.664	0.689	0.611	0.748	0.702	0.728	0.688	0.677	0.690	0.747	0.673	0.743	0.753	0.667	0.748	0.744	0.670	0.739	
Fm/Fo	4.604	3.702	3.708	5.642	4.844	5.123	6.010	6.096	4.821	5.041	6.666	6.507	6.451	6.586	5.762	5.878	5.730	6.449	6.995	5.370	5.762	5.539	6.212	5.997	6.257	6.125	6.229	6.244	5.071	6.038	4.897	6.382	5.730	6.315	4.539	6.902	6.448	6.072	6.074	5.881	5.288	5.201	5.670	5.209	6.499	5.946	6.506	5.916	5.921	5.744	5.766	6.368	5.067	5.666	5.771	6.178	5.581	6.267	4.091	6.092	
Fv/Fo	3.604	2.702	2.708	4.642	3.844	4.123	5.010	5.096	3.821	4.041	5.666	5.507	5.451	5.586	4.762	4.878	4.730	5.449	5.995	4.370	4.762	4.539	5.212	4.997	5.257	5.125	5.229	5.244	4.071	5.038	3.897	5.382	4.730	5.315	3.539	5.902	5.448	5.072	5.074	4.881	4.288	4.201	4.670	4.209	5.499	4.946	5.506	4.916	4.921	4.744	4.766	5.368	4.067	4.666	4.771	5.178	4.581	5.267	3.091	5.092	
Fv/Fm	0.783	0.730	0.730	0.823	0.794	0.805	0.834	0.836	0.793	0.802	0.850	0.846	0.845	0.848	0.826	0.830	0.825	0.845	0.857	0.814	0.826	0.819	0.839	0.833	0.840	0.837	0.839	0.840	0.803	0.834	0.796	0.843	0.825	0.842	0.780	0.855	0.845	0.835	0.835	0.830	0.811	0.808	0.824	0.808	0.846	0.832	0.846	0.831	0.831	0.826	0.827	0.843	0.803	0.823	0.827	0.838	0.821	0.840	0.756	0.836	
Mo	0.880	0.747	0.639	0.512	0.433	0.496	0.442	0.418	0.604	0.526	0.381	0.430	0.381	0.446	0.587	0.542	0.548	0.502	0.502	0.617	0.448	0.646	0.458	0.521	0.498	0.448	0.429	0.444	0.513	0.477	0.622	0.458	0.527	0.462	0.566	0.395	0.432	0.477	0.478	0.464	0.565	0.598	0.465	0.497	0.437	0.564	0.427	0.555	0.491	0.498	0.519	0.488	0.501	0.571	0.586	0.522	0.579	0.442	0.661	0.528	
Area	18861060	7154331	8840842	12621718	6401494	9720680	9896485	11009445	7820442	9835407	14565847	10499884	13189162	11931096	8458350	11618034	11585690	11762186	22055666	8644663	10947576	12877573	11273815	11665601	8658096	14030394	14173336	10917635	43025236	11696715	11373033	10268184	9153690	12275465	8591474	9912101	30602772	9835222	10493149	12251088	9546420	10722762	19970952	6819817	39488116	11355544	13408020	12176487	8829568	10190867	7036372	14685006	9610582	10449861	10900418	46388924	10645118	7962660	10031729	10324038	
