FluorPen ASCII Export File
-----------------------------------
File Name: Untitled - 1
-----------------------------------

time	14:09:43  14.12.2023	14:10:08  14.12.2023	14:10:55  14.12.2023	14:11:37  14.12.2023	14:12:17  14.12.2023	14:12:43  14.12.2023	14:13:23  14.12.2023	14:13:50  14.12.2023	14:14:26  14.12.2023	14:14:46  14.12.2023	14:15:13  14.12.2023	14:15:39  14.12.2023	14:17:54  14.12.2023	14:18:18  14.12.2023	14:18:41  14.12.2023	14:19:08  14.12.2023	14:19:38  14.12.2023	14:20:08  14.12.2023	14:20:34  14.12.2023	14:20:54  14.12.2023	14:21:29  14.12.2023	14:21:48  14.12.2023	14:22:09  14.12.2023	14:22:28  14.12.2023	14:24:07  14.12.2023	14:24:27  14.12.2023	14:24:48  14.12.2023	14:25:13  14.12.2023	14:26:01  14.12.2023	14:26:24  14.12.2023	14:26:45  14.12.2023	14:27:10  14.12.2023	14:27:37  14.12.2023	14:27:56  14.12.2023	14:28:32  14.12.2023	14:28:56  14.12.2023	14:29:54  14.12.2023	14:30:18  14.12.2023	14:30:43  14.12.2023	14:31:05  14.12.2023	14:32:04  14.12.2023	14:32:33  14.12.2023	14:32:54  14.12.2023	14:33:19  14.12.2023	14:33:57  14.12.2023	14:34:16  14.12.2023	14:34:36  14.12.2023	14:34:56  14.12.2023	14:38:14  14.12.2023	14:38:34  14.12.2023	14:38:57  14.12.2023	14:39:15  14.12.2023	14:39:38  14.12.2023	14:39:57  14.12.2023	14:40:27  14.12.2023	14:40:51  14.12.2023	14:41:16  14.12.2023	14:41:44  14.12.2023	14:42:04  14.12.2023	14:42:27  14.12.2023	
Bckg	269	309	289	269	259	249	458	458	390	219	279	259	249	319	338	357	299	229	309	309	408	455	259	259	209	325	239	588	319	520	229	348	279	478	230	259	319	249	249	299	289	279	418	292	488	455	329	249	358	219	259	259	229	249	229	358	325	249	249	357	
Fo	5045	5234	4666	4576	4516	4716	4636	4925	6599	4287	4606	5423	5114	4636	5025	5429	4596	5394	4885	5005	5205	5266	4646	3838	4885	5884	4915	4706	4825	6112	4985	4836	5254	5414	119	4815	5373	4476	4985	4925	4686	4576	5035	5462	4566	5429	4396	4377	4766	4516	4277	4815	5154	4267	5045	5504	5526	5114	5184	5852	
Fj	14755	15224	13748	14127	13579	12652	10907	14078	18173	12532	14027	11714	15902	14117	15494	15898	13928	16500	14885	15244	14915	16353	14556	11714	14855	15637	14765	12731	14925	17621	15234	14297	15802	15942	126	13778	15971	12941	15104	14755	13958	13549	14915	15378	12881	14565	12651	13100	13580	13400	12143	13549	14716	12462	14277	15603	16613	15583	15344	16548	
Fi	24815	28334	21296	18155	20628	21276	17747	19272	22757	20329	19501	18295	21425	20618	22503	23083	20019	26909	25513	20837	27089	23505	21585	17367	24117	21912	23868	22283	23519	26204	24885	20808	23090	23450	129	23359	26111	21744	24277	24257	23778	21993	26630	26302	18056	20612	18982	21844	21376	20508	19013	19571	22811	20997	18793	23450	24806	22323	23040	24578	
Fm	32970	36859	30388	25952	30199	28893	24636	26770	26496	27886	28733	23758	30707	28633	31845	32739	28743	36071	34316	29401	36002	31145	30398	25284	32871	29520	33778	34755	32023	33909	34167	28923	31744	31944	136	31774	35433	30907	33489	33200	32602	30478	35523	36510	26251	28934	27965	30707	29153	28454	26979	27467	30997	29571	24915	31725	33421	30129	31156	32674	
Fv	27925	31625	25722	21376	25683	24177	20000	21845	19897	23599	24127	18335	25593	23997	26820	27310	24147	30677	29431	24396	30797	25879	25752	21446	27986	23636	28863	30049	27198	27797	29182	24087	26490	26530	17	26959	30060	26431	28504	28275	27916	25902	30488	31048	21685	23505	23569	26330	24387	23938	22702	22652	25843	25304	19870	26221	27895	25015	25972	26822	
Vj	0.348	0.316	0.353	0.447	0.353	0.328	0.314	0.419	0.582	0.349	0.390	0.343	0.422	0.395	0.390	0.383	0.386	0.362	0.340	0.420	0.315	0.428	0.385	0.367	0.356	0.413	0.341	0.267	0.371	0.414	0.351	0.393	0.398	0.397	0.412	0.332	0.353	0.320	0.355	0.348	0.332	0.346	0.324	0.319	0.383	0.389	0.350	0.331	0.361	0.371	0.346	0.386	0.370	0.324	0.465	0.385	0.397	0.419	0.391	0.399	
Vi	0.708	0.730	0.647	0.635	0.627	0.685	0.656	0.657	0.812	0.680	0.617	0.702	0.637	0.666	0.652	0.646	0.639	0.701	0.701	0.649	0.711	0.705	0.658	0.631	0.687	0.678	0.657	0.585	0.687	0.723	0.682	0.663	0.673	0.680	0.588	0.688	0.690	0.653	0.677	0.684	0.684	0.672	0.708	0.671	0.622	0.646	0.619	0.663	0.681	0.668	0.649	0.651	0.683	0.661	0.692	0.684	0.691	0.688	0.688	0.698	
Fm/Fo	6.535	7.042	6.513	5.671	6.687	6.127	5.314	5.436	4.015	6.505	6.238	4.381	6.004	6.176	6.337	6.030	6.254	6.687	7.025	5.874	6.917	5.914	6.543	6.588	6.729	5.017	6.872	7.385	6.637	5.548	6.854	5.981	6.042	5.900	1.143	6.599	6.595	6.905	6.718	6.741	6.957	6.660	7.055	6.684	5.749	5.330	6.361	7.016	6.117	6.301	6.308	5.704	6.014	6.930	4.939	5.764	6.048	5.891	6.010	5.583	
Fv/Fo	5.535	6.042	5.513	4.671	5.687	5.127	4.314	4.436	3.015	5.505	5.238	3.381	5.004	5.176	5.337	5.030	5.254	5.687	6.025	4.874	5.917	4.914	5.543	5.588	5.729	4.017	5.872	6.385	5.637	4.548	5.854	4.981	5.042	4.900	0.143	5.599	5.595	5.905	5.718	5.741	5.957	5.660	6.055	5.684	4.749	4.330	5.361	6.016	5.117	5.301	5.308	4.704	5.014	5.930	3.939	4.764	5.048	4.891	5.010	4.583	
