FluorPen ASCII Export File
-----------------------------------
File Name: Untitled - 1
-----------------------------------

time	14:19:04  19.1.2024	14:19:30  19.1.2024	14:19:51  19.1.2024	14:20:09  19.1.2024	14:21:04  19.1.2024	14:21:30  19.1.2024	14:22:02  19.1.2024	14:22:24  19.1.2024	14:22:47  19.1.2024	14:23:05  19.1.2024	14:23:24  19.1.2024	14:23:42  19.1.2024	14:24:59  19.1.2024	14:25:16  19.1.2024	14:25:34  19.1.2024	14:25:54  19.1.2024	14:26:17  19.1.2024	14:26:36  19.1.2024	14:26:55  19.1.2024	14:27:13  19.1.2024	14:28:04  19.1.2024	14:28:42  19.1.2024	14:29:15  19.1.2024	14:29:36  19.1.2024	14:30:34  19.1.2024	14:31:15  19.1.2024	14:31:36  19.1.2024	14:31:54  19.1.2024	14:32:24  19.1.2024	14:32:42  19.1.2024	14:33:01  19.1.2024	14:33:33  19.1.2024	14:34:06  19.1.2024	14:34:24  19.1.2024	14:34:43  19.1.2024	14:35:04  19.1.2024	14:36:05  19.1.2024	14:36:23  19.1.2024	14:36:42  19.1.2024	14:36:59  19.1.2024	14:37:36  19.1.2024	14:37:54  19.1.2024	14:38:15  19.1.2024	14:38:38  19.1.2024	14:39:20  19.1.2024	14:39:37  19.1.2024	14:39:54  19.1.2024	14:40:11  19.1.2024	14:41:43  19.1.2024	14:42:06  19.1.2024	14:42:30  19.1.2024	14:42:48  19.1.2024	14:43:17  19.1.2024	14:43:35  19.1.2024	14:43:55  19.1.2024	14:44:14  19.1.2024	14:44:45  19.1.2024	14:45:10  19.1.2024	14:45:27  19.1.2024	14:45:46  19.1.2024	
Bckg	199	259	209	259	289	229	239	309	239	219	309	229	217	292	239	368	269	292	292	260	325	487	357	357	325	348	269	309	219	269	249	368	269	219	239	239	209	239	229	219	229	357	229	239	422	329	338	325	219	249	279	249	325	249	292	249	229	455	357	390	
Fo	5085	5493	4835	4466	4197	4397	4586	4636	4666	4337	3659	4407	3878	5462	4486	4407	4825	6047	6697	6014	5299	5820	5657	6177	5982	5185	5393	4875	4945	5074	4526	4597	5054	4496	4845	4785	5095	5015	5433	4915	4825	5429	4805	5154	6177	4905	5005	5657	4865	4546	5383	5224	5884	5015	5690	5164	4636	5527	5787	5364	
Fj	13679	14725	13818	10488	10418	11286	10658	12243	11924	11386	9401	11934	3878	15605	12223	11615	12991	18531	18109	16808	14662	15996	16126	18174	16353	13071	14337	13050	14008	13838	12323	11526	12821	13090	12931	13449	11884	13738	14865	14107	13011	14695	13380	14586	13817	12123	12403	14012	13290	12592	15104	14725	14337	14137	15215	13748	12193	13167	14045	12419	
Fi	18983	22013	21884	17786	15304	16161	14466	19521	17577	17996	15264	19252	3878	26302	20518	18265	19710	31536	25944	24383	22432	26887	25196	32804	22952	17318	25952	23359	19043	18823	23559	18236	22183	21565	17587	22183	17846	21834	27377	24067	19431	23408	24426	24745	17784	15044	16401	17783	20747	19172	23270	26400	24253	24636	20580	20967	17238	15767	17166	14857	
Fm	27886	29680	29870	25692	21864	23439	20059	27327	26151	26779	24546	26610	3878	35144	31704	24995	27906	39176	33779	31925	31698	36835	33519	40444	30657	24048	32592	31485	26051	25314	30767	26541	30279	30010	25094	29132	24905	30628	37357	32662	27328	31633	32941	32462	24286	21505	23221	24383	28903	28245	31674	33559	32576	32741	29130	32681	24985	22692	23928	19961	
Fv	22801	24187	25035	21226	17667	19042	15473	22691	21485	22442	20887	22203	0	29682	27218	20588	23081	33129	27082	25911	26399	31015	27862	34267	24675	18863	27199	26610	21106	20240	26241	21944	25225	25514	20249	24347	19810	25613	31924	27747	22503	26204	28136	27308	18109	16600	18216	18726	24038	23699	26291	28335	26692	27726	23440	27517	20349	17165	18141	14597	
Vj	0.377	0.382	0.359	0.284	0.352	0.362	0.392	0.335	0.338	0.314	0.275	0.339	0.000	0.342	0.284	0.350	0.354	0.377	0.421	0.417	0.355	0.328	0.376	0.350	0.420	0.418	0.329	0.307	0.429	0.433	0.297	0.316	0.308	0.337	0.399	0.356	0.343	0.341	0.295	0.331	0.364	0.354	0.305	0.345	0.422	0.435	0.406	0.446	0.350	0.340	0.370	0.335	0.317	0.329	0.406	0.312	0.371	0.445	0.455	0.483	
Vi	0.610	0.683	0.681	0.628	0.629	0.618	0.639	0.656	0.601	0.609	0.556	0.669	0.000	0.702	0.589	0.673	0.645	0.769	0.711	0.709	0.649	0.679	0.701	0.777	0.688	0.643	0.756	0.695	0.668	0.679	0.725	0.622	0.679	0.669	0.629	0.715	0.644	0.657	0.687	0.690	0.649	0.686	0.697	0.717	0.641	0.611	0.626	0.648	0.661	0.617	0.680	0.747	0.688	0.708	0.635	0.574	0.619	0.597	0.627	0.650	
Fm/Fo	5.484	5.403	6.178	5.753	5.209	5.331	4.374	5.895	5.605	6.175	6.708	6.038	1.000	6.434	7.067	5.672	5.784	6.479	5.044	5.308	5.982	6.329	5.925	6.548	5.125	4.638	6.043	6.458	5.268	4.989	6.798	5.774	5.991	6.675	5.179	6.088	4.888	6.107	6.876	6.645	5.664	5.827	6.856	6.298	3.932	4.384	4.640	4.310	5.941	6.213	5.884	6.424	5.536	6.529	5.120	6.329	5.389	4.106	4.135	3.721	
Fv/Fo	4.484	4.403	5.178	4.753	4.209	4.331	3.374	4.895	4.605	5.175	5.708	5.038	0.000	5.434	6.067	4.672	4.784	5.479	4.044	4.308	4.982	5.329	4.925	5.548	4.125	3.638	5.043	5.458	4.268	3.989	5.798	4.774	4.991	5.675	4.179	5.088	3.888	5.107	5.876	5.645	4.664	4.827	5.856	5.298	2.932	3.384	3.640	3.310	4.941	5.213	4.884	5.424	4.536	5.529	4.120	5.329	4.389	3.106	3.135	2.721	
