FluorPen ASCII Export File
-----------------------------------
File Name: Untitled - 1
-----------------------------------

time	13:55:15  20.12.2023	13:55:42  20.12.2023	13:56:02  20.12.2023	13:56:23  20.12.2023	13:56:48  20.12.2023	13:57:11  20.12.2023	13:57:32  20.12.2023	13:57:55  20.12.2023	13:59:42  20.12.2023	14:00:04  20.12.2023	14:00:24  20.12.2023	14:00:48  20.12.2023	14:06:54  20.12.2023	14:07:15  20.12.2023	14:07:36  20.12.2023	14:07:56  20.12.2023	14:08:24  20.12.2023	14:08:50  20.12.2023	14:09:17  20.12.2023	14:09:41  20.12.2023	14:10:14  20.12.2023	14:10:45  20.12.2023	14:11:05  20.12.2023	14:11:28  20.12.2023	14:14:52  20.12.2023	14:15:10  20.12.2023	14:15:31  20.12.2023	14:15:51  20.12.2023	14:16:39  20.12.2023	14:17:00  20.12.2023	14:17:27  20.12.2023	14:17:47  20.12.2023	14:18:20  20.12.2023	14:18:42  20.12.2023	14:19:01  20.12.2023	14:19:21  20.12.2023	14:20:31  20.12.2023	14:20:53  20.12.2023	14:21:16  20.12.2023	14:21:36  20.12.2023	14:22:03  20.12.2023	14:22:21  20.12.2023	14:22:46  20.12.2023	14:23:06  20.12.2023	14:24:27  20.12.2023	14:24:52  20.12.2023	14:25:13  20.12.2023	14:25:40  20.12.2023	14:26:51  20.12.2023	14:27:11  20.12.2023	14:27:28  20.12.2023	14:27:47  20.12.2023	14:35:33  20.12.2023	14:35:52  20.12.2023	14:36:11  20.12.2023	14:36:31  20.12.2023	14:37:32  20.12.2023	14:38:02  20.12.2023	14:38:23  20.12.2023	14:38:46  20.12.2023	
Bckg	265	348	325	357	325	309	508	295	209	229	227	292	199	199	189	189	229	209	199	199	292	292	219	219	269	219	219	239	239	219	398	219	209	209	229	239	279	219	219	209	219	219	209	219	325	239	390	209	202	219	219	209	209	219	199	199	279	357	319	289	
Fo	135	4268	5592	5494	6827	5074	5075	164	4915	4217	3868	6502	4915	5603	4915	4656	5414	4885	4835	5453	5950	5722	4915	5234	4925	4925	4855	4018	4516	4616	4238	3878	4098	4746	4317	4905	4536	4397	4546	5005	4078	4686	4377	4636	5689	4805	5364	5214	3893	4456	4726	4825	5244	5124	4885	5085	3868	5885	4656	4476	
Fj	147	9821	15182	16256	15475	13629	12114	176	14716	12283	3868	18174	15164	17637	15204	13998	13549	14367	14686	17059	12387	13200	14397	15124	15413	12582	11924	11585	13918	14207	12413	11296	11057	14207	12532	12821	13379	12931	13160	15055	11655	14157	13370	13958	13947	12801	11606	16779	3893	12442	14097	13898	14845	15693	13988	15204	7328	16873	13250	10039	
Fi	146	11775	16288	20742	15605	15633	14078	172	24755	17108	3868	19994	25274	34476	27368	26999	14825	27816	28235	30837	14695	20417	27617	21784	25672	16321	17238	21675	19880	20807	19781	22712	16720	23459	25483	17517	21395	21326	24376	29621	17956	26839	25054	29202	14239	17856	11834	32303	3893	23778	28235	28454	25473	26630	25683	28803	11974	20515	19311	14825	
Fm	146	15952	22530	28252	20189	20757	18783	169	31904	23828	3868	26302	33868	40628	33818	34167	19950	34606	35104	38723	18336	25489	35254	28703	32083	21395	24038	32382	26719	28205	26142	30817	23100	32083	32283	23449	28175	27796	31535	36041	24446	33419	31724	35932	20742	24287	15832	38584	3893	29830	34406	35064	32472	34337	32642	35902	16321	28512	26779	21595	
Fv	11	11684	16938	22758	13362	15683	13708	5	26989	19611	0	19800	28953	35025	28903	29511	14536	29721	30269	33270	12386	19767	30339	23469	27158	16470	19183	28364	22203	23589	21904	26939	19002	27337	27966	18544	23639	23399	26989	31036	20368	28733	27347	31296	15053	19482	10468	33370	0	25374	29680	30239	27228	29213	27757	30817	12453	22627	22123	17119	
Vj	1.091	0.475	0.566	0.473	0.647	0.545	0.513	2.400	0.363	0.411	0.000	0.589	0.354	0.344	0.356	0.317	0.560	0.319	0.325	0.349	0.520	0.378	0.313	0.421	0.386	0.465	0.369	0.267	0.423	0.407	0.373	0.275	0.366	0.346	0.294	0.427	0.374	0.365	0.319	0.324	0.372	0.330	0.329	0.298	0.549	0.410	0.596	0.347	0.000	0.315	0.316	0.300	0.353	0.362	0.328	0.328	0.278	0.486	0.388	0.325	
Vi	1.000	0.643	0.631	0.670	0.657	0.673	0.657	1.600	0.735	0.657	0.000	0.681	0.703	0.824	0.777	0.757	0.647	0.772	0.773	0.763	0.706	0.743	0.748	0.705	0.764	0.692	0.646	0.623	0.692	0.686	0.710	0.699	0.664	0.685	0.757	0.680	0.713	0.723	0.735	0.793	0.681	0.771	0.756	0.785	0.568	0.670	0.618	0.812	0.000	0.761	0.792	0.781	0.743	0.736	0.749	0.770	0.651	0.647	0.662	0.605	
Fm/Fo	1.081	3.738	4.029	5.142	2.957	4.091	3.701	1.030	6.491	5.650	1.000	4.045	6.891	7.251	6.881	7.338	3.685	7.084	7.260	7.101	3.082	4.455	7.173	5.484	6.514	4.344	4.951	8.059	5.917	6.110	6.168	7.947	5.637	6.760	7.478	4.781	6.211	6.322	6.937	7.201	5.995	7.132	7.248	7.751	3.646	5.055	2.952	7.400	1.000	6.694	7.280	7.267	6.192	6.701	6.682	7.060	4.219	4.845	5.752	4.825	
Fv/Fo	0.081	2.738	3.029	4.142	1.957	3.091	2.701	0.030	5.491	4.650	0.000	3.045	5.891	6.251	5.881	6.338	2.685	6.084	6.260	6.101	2.082	3.455	6.173	4.484	5.514	3.344	3.951	7.059	4.917	5.110	5.168	6.947	4.637	5.760	6.478	3.781	5.211	5.322	5.937	6.201	4.995	6.132	6.248	6.751	2.646	4.055	1.952	6.400	0.000	5.694	6.280	6.267	5.192	5.701	5.682	6.060	3.219	3.845	4.752	3.825	
