FluorPen ASCII Export File
-----------------------------------
File Name: Untitled - 1
-----------------------------------

time	15:05:19  12.2.2024	15:05:45  12.2.2024	15:06:06  12.2.2024	15:06:30  12.2.2024	15:06:56  12.2.2024	15:07:14  12.2.2024	15:07:41  12.2.2024	15:07:59  12.2.2024	15:08:22  12.2.2024	15:08:41  12.2.2024	15:09:00  12.2.2024	15:09:21  12.2.2024	15:13:27  12.2.2024	15:13:53  12.2.2024	15:14:13  12.2.2024	15:14:32  12.2.2024	15:14:56  12.2.2024	15:15:14  12.2.2024	15:15:32  12.2.2024	15:15:49  12.2.2024	15:16:09  12.2.2024	15:16:30  12.2.2024	15:16:52  12.2.2024	15:17:18  12.2.2024	15:18:24  12.2.2024	15:18:46  12.2.2024	15:19:11  12.2.2024	15:19:31  12.2.2024	15:19:56  12.2.2024	15:20:18  12.2.2024	15:20:37  12.2.2024	15:21:02  12.2.2024	15:21:52  12.2.2024	15:22:11  12.2.2024	15:22:31  12.2.2024	15:22:51  12.2.2024	15:23:51  12.2.2024	15:24:15  12.2.2024	15:24:36  12.2.2024	15:24:56  12.2.2024	15:25:23  12.2.2024	15:25:44  12.2.2024	15:26:04  12.2.2024	15:26:26  12.2.2024	15:26:49  12.2.2024	15:27:14  12.2.2024	15:27:37  12.2.2024	15:28:00  12.2.2024	15:29:08  12.2.2024	15:29:27  12.2.2024	15:29:46  12.2.2024	15:30:04  12.2.2024	15:30:59  12.2.2024	15:31:17  12.2.2024	15:31:35  12.2.2024	15:31:53  12.2.2024	15:40:04  12.2.2024	15:40:25  12.2.2024	15:40:43  12.2.2024	15:41:07  12.2.2024	
Mo	0.493	0.488	0.448	0.536	0.485	0.560	0.501	0.640	0.588	0.537	0.638	0.464	0.480	0.412	0.467	0.478	0.487	0.422	0.407	0.413	0.485	0.675	0.443	0.563	0.408	0.485	0.686	0.481	0.380	0.362	0.587	0.361	0.496	0.520	0.491	0.429	0.502	0.409	0.591	0.389	0.375	0.781	0.446	0.440	0.398	0.469	0.419	0.569	0.378	0.392	0.407	0.333	0.708	0.543	0.527	0.424	0.438	0.383	0.698	0.492	
Area	13265100	9987290	11871311	9147648	8697881	10857335	8071796	13760087	9542590	9894956	10287002	10512743	10997024	10053165	10546038	9472285	11416450	9058709	52606208	10360320	11385916	12764188	14319912	10263638	13585404	12060624	5112196	9973802	11852509	10037040	9043461	10969422	10611653	11574035	11102146	13557830	9867712	10178101	9352064	9478055	9531812	8504044	18591502	10948879	12566973	10784422	7495523	7902300	12208734	11808849	9555449	10718544	7204456	9515867	7811076	10999245	11101426	9074925	7576778	8243951	
Fix Area	28406980	23513058	27265194	22474178	23295868	27596768	25671744	29085686	29315282	22686454	28790550	24697582	31075036	32791086	37783828	32966230	33662220	31726052	33560288	33793500	26201988	26093416	28103090	29725722	29050574	28227032	32795680	30633970	29252548	27184826	31490370	29242868	21379282	28617992	22835380	25759900	30366368	32023638	25533192	29817790	26947080	30533332	30003526	32434288	25749352	23644932	21806296	26798832	25551836	28871568	31190586	26388376	21355198	30834404	25651328	25800654	22398636	22371242	21336882	22558484	
HACH Area	23253186	18608254	22460386	17290386	18501060	22172986	20577948	22030968	23301522	17432664	22613798	19872776	25549256	27597294	31997058	27622444	27712456	26329268	28495490	28519712	20643210	20046658	22759304	23645964	24085772	22903246	25350978	25330184	24167752	22589010	25735600	24397060	16594474	23092214	18189566	20376116	24774592	26989840	19909416	25022982	22281268	23250624	24819734	26940508	21024542	18690130	17390474	21142058	21225010	24066760	26135788	22161546	15081449	24917640	20287544	20975846	17822820	18443398	15615111	17822674	
Sm	549.780	513.697	509.280	508.316	449.689	470.218	378.318	593.619	396.106	545.628	438.847	509.388	414.013	352.199	318.025	331.732	399.960	333.691	1703.183	351.901	530.639	613.456	609.643	419.266	539.018	508.909	194.129	380.956	474.404	430.405	340.479	433.334	614.171	482.372	587.011	639.339	385.187	365.121	452.293	367.053	411.741	354.927	722.758	394.341	578.191	555.869	413.980	360.112	556.105	475.090	354.325	466.409	461.647	367.720	372.488	506.294	598.008	474.332	467.039	446.005	
Ss	0.743	0.770	0.804	0.670	0.798	0.718	0.807	0.634	0.734	0.738	0.680	0.840	0.750	0.807	0.771	0.737	0.722	0.790	0.782	0.802	0.725	0.681	0.735	0.686	0.857	0.735	0.588	0.730	0.793	0.883	0.733	0.837	0.802	0.763	0.818	0.783	0.730	0.784	0.734	0.822	0.886	0.602	0.766	0.771	0.821	0.816	0.901	0.750	0.830	0.822	0.787	0.919	0.665	0.736	0.744	0.839	0.789	0.843	0.644	0.737	
N	739.596	667.215	633.824	758.192	563.584	654.516	468.862	936.548	539.715	739.767	644.987	606.752	552.133	436.501	412.484	449.829	553.876	422.523	2178.409	438.533	731.906	901.379	829.759	610.906	629.231	692.284	330.080	522.198	598.000	487.181	464.287	517.485	765.572	632.360	717.982	816.644	527.741	465.760	616.163	446.415	464.968	589.101	943.950	511.234	704.012	681.403	459.439	480.149	669.683	578.237	450.467	507.292	694.606	499.542	500.515	603.596	757.732	562.967	725.665	605.325	
Phi_Po	0.824	0.799	0.829	0.776	0.801	0.810	0.807	0.767	0.800	0.775	0.791	0.811	0.828	0.846	0.851	0.842	0.828	0.834	0.859	0.848	0.794	0.775	0.815	0.801	0.835	0.817	0.780	0.832	0.831	0.835	0.822	0.839	0.783	0.813	0.803	0.798	0.821	0.847	0.786	0.843	0.832	0.767	0.832	0.835	0.821	0.797	0.804	0.795	0.835	0.838	0.842	0.845	0.713	0.814	0.796	0.818	0.802	0.830	0.739	0.796	
Psi_o	0.634	0.624	0.640	0.640	0.613	0.598	0.596	0.595	0.568	0.604	0.566	0.611	0.640	0.667	0.640	0.648	0.648	0.667	0.682	0.668	0.648	0.541	0.674	0.614	0.650	0.644	0.596	0.649	0.699	0.680	0.569	0.698	0.602	0.603	0.598	0.664	0.633	0.679	0.566	0.680	0.668	0.529	0.658	0.660	0.673	0.618	0.623	0.573	0.686	0.678	0.680	0.694	0.529	0.601	0.608	0.644	0.654	0.677	0.551	0.638	
Phi_Eo	0.522	0.498	0.530	0.497	0.492	0.484	0.481	0.456	0.455	0.468	0.448	0.495	0.530	0.565	0.545	0.546	0.536	0.556	0.586	0.567	0.515	0.419	0.549	0.491	0.543	0.526	0.465	0.540	0.581	0.568	0.468	0.586	0.471	0.490	0.480	0.530	0.520	0.575	0.445	0.573	0.556	0.406	0.548	0.551	0.553	0.492	0.501	0.456	0.573	0.568	0.573	0.586	0.377	0.489	0.484	0.527	0.525	0.562	0.407	0.508	
Phi_Do	0.176	0.201	0.171	0.224	0.199	0.190	0.193	0.233	0.200	0.225	0.209	0.189	0.172	0.154	0.149	0.158	0.172	0.166	0.141	0.152	0.206	0.225	0.185	0.199	0.165	0.183	0.220	0.168	0.169	0.165	0.178	0.161	0.217	0.187	0.197	0.202	0.179	0.153	0.214	0.157	0.168	0.233	0.168	0.165	0.179	0.203	0.196	0.205	0.165	0.162	0.158	0.155	0.287	0.186	0.204	0.182	0.198	0.170	0.261	0.204	
Phi_Pav	940.599	928.865	934.946	935.996	920.162	925.055	920.939	925.722	927.861	936.759	934.615	934.882	922.215	926.486	928.507	926.444	941.267	922.856	943.036	927.922	933.196	947.564	952.128	928.740	934.988	940.974	881.841	927.283	934.908	942.150	927.802	928.724	940.091	929.921	939.452	941.405	925.504	932.603	931.758	933.500	922.105	933.370	952.360	936.237	946.815	938.853	920.325	918.760	944.927	944.277	927.779	934.366	936.438	930.562	922.252	938.099	937.707	933.386	929.071	930.338	
Pi_Abs	4.964	4.046	5.742	3.218	4.092	3.684	4.021	2.342	3.095	3.013	2.664	4.564	5.307	7.530	6.692	6.103	5.278	6.640	8.787	7.659	4.100	2.135	5.450	3.514	6.757	4.826	2.396	5.534	7.511	7.950	3.675	8.482	3.429	4.089	3.980	4.867	4.739	7.784	2.767	7.933	7.341	1.708	6.088	6.328	6.385	4.111	4.903	3.108	7.697	7.510	7.517	9.562	1.325	3.939	3.590	5.598	4.857	7.134	1.656	4.027	
ABS/RC	1.633	1.627	1.501	1.921	1.564	1.719	1.535	2.058	1.703	1.749	1.857	1.470	1.611	1.465	1.523	1.610	1.673	1.518	1.489	1.469	1.737	1.896	1.671	1.819	1.397	1.666	2.181	1.648	1.517	1.355	1.659	1.423	1.592	1.613	1.524	1.602	1.669	1.506	1.733	1.442	1.357	2.164	1.569	1.553	1.482	1.539	1.380	1.677	1.442	1.452	1.510	1.288	2.110	1.669	1.687	1.457	1.579	1.431	2.102	1.705	
TRo/RC	1.345	1.299	1.245	1.492	1.253	1.392	1.239	1.578	1.363	1.356	1.470	1.191	1.334	1.239	1.297	1.356	1.385	1.266	1.279	1.246	1.379	1.469	1.361	1.457	1.167	1.360	1.700	1.371	1.261	1.132	1.364	1.194	1.247	1.311	1.223	1.277	1.370	1.276	1.362	1.216	1.129	1.660	1.306	1.296	1.218	1.226	1.110	1.333	1.204	1.217	1.271	1.088	1.505	1.358	1.344	1.192	1.267	1.187	1.554	1.357	
ETo/RC	0.853	0.811	0.796	0.955	0.769	0.832	0.738	0.938	0.774	0.819	0.832	0.727	0.854	0.827	0.830	0.878	0.897	0.845	0.872	0.833	0.894	0.794	0.918	0.894	0.759	0.876	1.014	0.889	0.881	0.769	0.776	0.833	0.750	0.790	0.732	0.849	0.868	0.866	0.771	0.827	0.754	0.878	0.860	0.856	0.819	0.757	0.691	0.764	0.826	0.826	0.865	0.755	0.796	0.816	0.817	0.768	0.829	0.803	0.856	0.865	
DIo/RC	0.287	0.328	0.257	0.430	0.311	0.327	0.296	0.480	0.340	0.393	0.387	0.278	0.277	0.226	0.226	0.254	0.289	0.252	0.210	0.223	0.357	0.427	0.310	0.362	0.230	0.306	0.481	0.278	0.257	0.223	0.295	0.229	0.345	0.302	0.300	0.324	0.299	0.230	0.371	0.226	0.228	0.505	0.263	0.257	0.265	0.313	0.271	0.344	0.237	0.235	0.238	0.200	0.605	0.311	0.344	0.265	0.312	0.244	0.548	0.348	
