FluorPen ASCII Export File
-----------------------------------
File Name: Untitled - 1
-----------------------------------

time	14:20:16  19.12.2023	14:20:35  19.12.2023	14:20:56  19.12.2023	14:21:16  19.12.2023	14:21:36  19.12.2023	14:22:03  19.12.2023	14:22:21  19.12.2023	14:22:39  19.12.2023	14:23:01  19.12.2023	14:23:20  19.12.2023	14:23:39  19.12.2023	14:23:57  19.12.2023	14:25:50  19.12.2023	14:26:10  19.12.2023	14:26:29  19.12.2023	14:26:49  19.12.2023	14:27:11  19.12.2023	14:27:29  19.12.2023	14:27:46  19.12.2023	14:28:06  19.12.2023	14:28:27  19.12.2023	14:29:13  19.12.2023	14:29:32  19.12.2023	14:29:50  19.12.2023	14:30:39  19.12.2023	14:31:03  19.12.2023	14:31:23  19.12.2023	14:31:44  19.12.2023	14:32:13  19.12.2023	14:32:32  19.12.2023	14:32:54  19.12.2023	14:33:16  19.12.2023	14:33:42  19.12.2023	14:34:01  19.12.2023	14:34:19  19.12.2023	14:34:41  19.12.2023	14:35:29  19.12.2023	14:36:06  19.12.2023	14:36:36  19.12.2023	14:36:55  19.12.2023	14:37:17  19.12.2023	14:37:40  19.12.2023	14:38:00  19.12.2023	14:38:20  19.12.2023	14:38:44  19.12.2023	14:39:24  19.12.2023	14:39:47  19.12.2023	14:40:08  19.12.2023	14:41:15  19.12.2023	14:41:37  19.12.2023	14:41:56  19.12.2023	14:42:14  19.12.2023	14:42:37  19.12.2023	14:42:57  19.12.2023	14:43:15  19.12.2023	14:43:32  19.12.2023	15:11:18  19.12.2023	15:11:35  19.12.2023	15:11:53  19.12.2023	15:12:11  19.12.2023	
Bckg	378	292	319	249	289	478	249	209	239	289	259	239	325	219	299	229	487	292	458	292	552	249	279	249	229	249	219	219	229	229	239	209	259	309	279	585	5494	249	319	239	259	279	209	299	1196	259	259	508	329	279	329	249	229	229	239	229	309	428	438	229	
Fo	4856	5722	4745	4895	4955	5424	5294	4506	5394	5134	4466	4815	5689	4885	4925	5284	5267	5787	4776	5852	5690	4965	5035	4835	4446	5104	5085	4706	5154	4925	5204	4496	5084	4526	4965	5852	2373	5403	4755	4576	5174	5124	5224	5104	3400	128	4955	4716	4536	4546	4665	4556	5314	5414	5583	5094	4516	5155	4357	5274	
Fj	15444	16028	14496	16370	16420	15892	15832	14337	15842	15134	14516	14187	19181	15503	16061	13928	13135	18596	14447	17881	16321	17198	15363	14626	13390	14745	16241	15244	17049	16042	15982	13569	15493	14536	15892	15410	4129	17617	14107	14157	16580	15064	17707	15314	6450	136	13449	12004	13469	12721	13728	13330	16221	14546	15752	15812	13070	13888	11416	18494	
Fi	22991	19929	21824	24177	21684	19422	18285	21874	21954	21176	22701	21206	24285	24357	21834	19112	22335	23798	20917	25456	20124	23569	22442	21834	19272	21804	23519	22482	26211	23579	22941	20179	24237	22612	23788	26366	6470	24446	20757	21027	22572	21335	24466	22751	10618	135	18305	15972	20338	18713	22233	19850	21934	19800	21485	21136	20508	19701	14776	24915	
Fm	30668	25619	28763	30877	29391	25862	23609	29072	29262	28494	30348	28504	31503	31545	27766	24147	29715	30398	28584	32446	25326	30458	29501	28863	25393	28334	30269	29840	33050	30438	29960	27198	33260	30548	31256	34559	13329	31575	27427	28195	29132	27866	31475	29451	14975	147	24596	21804	27666	25114	29521	27906	28584	25752	27926	27298	28843	27009	21376	32063	
Fv	25812	19897	24018	25982	24436	20438	18315	24566	23868	23360	25882	23689	25814	26660	22841	18863	24448	24611	23808	26594	19636	25493	24466	24028	20947	23230	25184	25134	27896	25513	24756	22702	28176	26022	26291	28707	10956	26172	22672	23619	23958	22742	26251	24347	11575	19	19641	17088	23130	20568	24856	23350	23270	20338	22343	22204	24327	21854	17019	26789	
Vj	0.410	0.518	0.406	0.442	0.469	0.512	0.575	0.400	0.438	0.428	0.388	0.396	0.523	0.398	0.488	0.458	0.322	0.520	0.406	0.452	0.541	0.480	0.422	0.407	0.427	0.415	0.443	0.419	0.426	0.436	0.435	0.400	0.369	0.385	0.416	0.333	0.160	0.467	0.412	0.406	0.476	0.437	0.476	0.419	0.263	0.421	0.432	0.426	0.386	0.397	0.365	0.376	0.469	0.449	0.455	0.483	0.352	0.400	0.415	0.493	
Vi	0.703	0.714	0.711	0.742	0.685	0.685	0.709	0.707	0.694	0.687	0.705	0.692	0.720	0.730	0.740	0.733	0.698	0.732	0.678	0.737	0.735	0.730	0.711	0.707	0.708	0.719	0.732	0.707	0.755	0.731	0.716	0.691	0.680	0.695	0.716	0.715	0.374	0.728	0.706	0.697	0.726	0.713	0.733	0.725	0.624	0.368	0.680	0.659	0.683	0.689	0.707	0.655	0.714	0.707	0.712	0.722	0.657	0.666	0.612	0.733	
Fm/Fo	6.315	4.477	6.062	6.308	5.932	4.768	4.460	6.452	5.425	5.550	6.795	5.920	5.538	6.458	5.638	4.570	5.642	5.253	5.985	5.544	4.451	6.135	5.859	5.970	5.711	5.551	5.953	6.341	6.412	6.180	5.757	6.049	6.542	6.749	6.295	5.906	5.617	5.844	5.768	6.161	5.630	5.438	6.025	5.770	4.404	1.148	4.964	4.623	6.099	5.524	6.328	6.125	5.379	4.757	5.002	5.359	6.387	5.239	4.906	6.079	
Fv/Fo	5.315	3.477	5.062	5.308	4.932	3.768	3.460	5.452	4.425	4.550	5.795	4.920	4.538	5.458	4.638	3.570	4.642	4.253	4.985	4.544	3.451	5.135	4.859	4.970	4.711	4.551	4.953	5.341	5.412	5.180	4.757	5.049	5.542	5.749	5.295	4.906	4.617	4.844	4.768	5.161	4.630	4.438	5.025	4.770	3.404	0.148	3.964	3.623	5.099	4.524	5.328	5.125	4.379	3.757	4.002	4.359	5.387	4.239	3.906	5.079	
