FluorPen ASCII Export File
-----------------------------------
File Name: Untitled - 1
-----------------------------------

time	14:33:20  4.11.2023	14:33:48  4.11.2023	14:34:08  4.11.2023	14:34:31  4.11.2023	14:34:55  4.11.2023	14:35:16  4.11.2023	14:35:37  4.11.2023	14:35:57  4.11.2023	14:37:00  4.11.2023	14:37:22  4.11.2023	14:37:41  4.11.2023	14:38:03  4.11.2023	14:42:17  4.11.2023	14:42:38  4.11.2023	14:43:00  4.11.2023	14:43:21  4.11.2023	14:43:41  4.11.2023	14:44:00  4.11.2023	14:44:20  4.11.2023	14:44:41  4.11.2023	14:45:08  4.11.2023	14:45:28  4.11.2023	14:45:48  4.11.2023	14:46:07  4.11.2023	14:47:52  4.11.2023	14:48:15  4.11.2023	14:48:34  4.11.2023	14:48:54  4.11.2023	14:49:58  4.11.2023	14:50:25  4.11.2023	14:50:52  4.11.2023	14:51:48  4.11.2023	14:52:12  4.11.2023	14:52:31  4.11.2023	14:52:52  4.11.2023	14:53:23  4.11.2023	14:54:19  4.11.2023	14:54:36  4.11.2023	14:54:58  4.11.2023	14:55:18  4.11.2023	14:55:39  4.11.2023	14:56:05  4.11.2023	14:56:28  4.11.2023	14:56:48  4.11.2023	14:57:38  4.11.2023	14:57:56  4.11.2023	14:58:18  4.11.2023	14:58:35  4.11.2023	15:13:48  4.11.2023	15:14:08  4.11.2023	15:14:25  4.11.2023	15:14:43  4.11.2023	15:15:06  4.11.2023	15:15:26  4.11.2023	15:15:46  4.11.2023	15:16:05  4.11.2023	15:16:49  4.11.2023	15:17:06  4.11.2023	15:17:23  4.11.2023	15:18:00  4.11.2023	
Mo	0.831	0.523	0.405	0.729	0.759	0.769	0.696	0.537	0.622	0.503	0.505	0.411	0.636	0.702	0.647	0.508	0.585	0.779	0.371	0.596	0.593	0.466	0.569	0.516	0.370	0.618	0.437	0.896	0.765	0.793	0.735	0.432	0.473	0.620	0.623	0.688	0.490	0.792	0.552	0.581	0.438	0.578	0.627	0.357	0.760	0.437	0.672	0.726	0.636	0.609	0.690	0.381	0.610	0.529	0.732	0.584	0.483	0.437	0.672	0.439	
Area	8834195	13489190	14669487	9046240	6403604	16546782	9702480	15814843	7678480	10163574	12818612	12603425	13387318	10828712	18522142	13175546	15057528	11069489	16121713	7846246	9196750	16603812	15218715	15941434	13761103	12565654	6850905	6253764	7791217	10936385	6693111	13367845	11616345	10606672	11226449	12828239	16540789	7787471	14160162	10594614	11545515	8069388	10973211	17269196	9287349	13822700	8814720	9860870	9391220	11547099	10675302	19711728	12194113	12612515	5258526	12608116	15463548	15962588	11606361	15314551	
Fix Area	24041844	30997426	26452384	18170020	17529792	17843644	18740740	31169514	23032948	16294506	21923050	22894220	25329028	21871196	24872002	26181786	20056764	22161068	26534326	16295633	16952632	28232816	24993910	32674738	32528298	28820726	21516742	21695918	17809806	17052520	17371928	28174830	18952720	20545214	21710946	20040058	24676718	21311330	26323156	18362154	18510140	20089866	22982422	28948968	21664036	28463340	26286214	18767226	23847198	19701040	25635344	27712386	27929252	25984446	17115614	28265880	20607886	28712858	20845028	28621640	
HACH Area	17930088	26082624	22255552	12846233	12231003	12499858	13496950	25806728	17441172	12157671	17317234	18946378	20035240	16547410	19598214	21655968	15380950	16471295	22546486	11918808	12346817	23647000	19840116	27390950	27972480	23596934	17419906	15194178	12277026	11768731	12018142	23709010	14725889	15570412	16796142	14985261	19811912	15556560	21388354	13617343	14712292	15405052	17897626	24602142	15682275	23867524	20661438	13344443	18233422	15195219	20271560	23505554	22815456	21298632	11672832	22853096	16071068	24007046	14798270	24284812	
Sm	478.403	500.174	630.946	677.621	505.056	1255.351	691.158	591.430	422.521	785.985	702.967	629.856	644.644	627.097	911.119	582.679	931.144	649.809	687.816	623.609	704.678	676.712	739.203	563.401	474.472	515.260	373.448	399.066	612.421	894.738	534.082	542.394	740.225	654.289	644.531	823.220	803.809	483.904	640.065	742.596	740.904	502.077	590.466	672.922	571.353	559.058	413.953	706.467	496.024	726.096	508.905	807.295	516.919	570.883	423.631	533.361	913.975	637.891	750.007	606.421	
Ss	0.759	0.846	0.977	0.835	0.814	0.778	0.806	0.902	0.813	0.854	0.832	0.963	0.850	0.804	0.858	0.864	0.887	0.757	1.059	0.887	0.860	0.925	0.839	0.839	0.965	0.806	1.030	0.699	0.797	0.768	0.793	0.993	0.908	0.846	0.858	0.814	0.890	0.773	0.883	0.887	1.038	0.875	0.892	1.037	0.779	0.979	0.807	0.786	0.792	0.934	0.819	1.039	0.857	0.902	0.831	0.813	0.968	0.898	0.772	0.970	
N	630.692	591.130	646.047	811.310	620.378	1612.681	857.542	655.775	519.518	919.860	844.625	653.727	758.675	779.787	1062.407	674.780	1049.633	858.045	649.695	702.943	819.758	731.422	881.540	671.682	491.848	639.663	362.592	570.942	768.349	1165.554	673.229	546.448	814.906	773.082	750.846	1010.903	902.686	626.079	724.750	837.262	713.797	574.120	661.858	648.937	733.384	571.213	513.057	898.447	626.152	777.347	621.470	777.265	603.065	632.966	509.612	656.239	943.995	710.329	971.740	625.437	
Phi_Po	0.751	0.846	0.847	0.715	0.705	0.712	0.728	0.833	0.765	0.758	0.798	0.835	0.797	0.764	0.794	0.833	0.776	0.750	0.855	0.742	0.739	0.843	0.800	0.843	0.864	0.824	0.817	0.707	0.697	0.698	0.701	0.847	0.788	0.765	0.780	0.755	0.809	0.737	0.818	0.750	0.804	0.774	0.785	0.855	0.731	0.843	0.791	0.720	0.771	0.779	0.796	0.853	0.822	0.825	0.695	0.814	0.789	0.842	0.719	0.853	
Psi_o	0.370	0.557	0.605	0.391	0.382	0.402	0.439	0.516	0.494	0.570	0.580	0.604	0.460	0.435	0.445	0.561	0.481	0.410	0.607	0.471	0.490	0.568	0.522	0.567	0.643	0.502	0.550	0.373	0.390	0.392	0.417	0.571	0.571	0.475	0.465	0.440	0.563	0.388	0.513	0.484	0.546	0.494	0.441	0.629	0.408	0.572	0.458	0.429	0.496	0.431	0.435	0.605	0.477	0.523	0.391	0.526	0.532	0.608	0.481	0.574	
Phi_Eo	0.278	0.471	0.512	0.280	0.269	0.286	0.320	0.430	0.378	0.432	0.463	0.505	0.366	0.333	0.353	0.468	0.373	0.308	0.519	0.350	0.363	0.479	0.418	0.478	0.556	0.413	0.450	0.264	0.272	0.273	0.292	0.484	0.449	0.364	0.363	0.332	0.456	0.286	0.419	0.363	0.439	0.383	0.346	0.538	0.298	0.482	0.362	0.309	0.383	0.336	0.346	0.516	0.392	0.431	0.272	0.428	0.420	0.512	0.346	0.490	
Phi_Do	0.249	0.154	0.153	0.285	0.295	0.288	0.272	0.167	0.235	0.242	0.202	0.165	0.203	0.236	0.206	0.167	0.224	0.250	0.145	0.258	0.261	0.157	0.200	0.157	0.136	0.176	0.183	0.293	0.303	0.302	0.299	0.153	0.212	0.235	0.220	0.245	0.191	0.263	0.182	0.250	0.196	0.226	0.215	0.145	0.269	0.157	0.209	0.280	0.229	0.221	0.204	0.147	0.178	0.175	0.305	0.186	0.211	0.158	0.281	0.147	
Phi_Pav	941.864	936.783	935.001	946.853	933.364	958.774	946.517	944.418	918.888	928.080	932.831	920.301	948.434	936.858	962.502	930.756	948.356	952.084	945.599	922.329	927.415	947.684	951.065	946.420	928.527	939.632	893.597	935.094	945.038	958.665	931.748	934.026	923.259	941.734	945.569	953.903	953.773	934.012	948.706	941.919	928.450	922.049	943.025	940.857	945.727	939.806	931.268	939.385	929.450	940.434	938.956	954.301	940.662	938.927	915.663	940.132	946.284	939.291	943.420	938.218	
Pi_Abs	1.010	4.940	7.009	0.963	0.849	0.917	1.229	3.988	1.971	2.688	3.626	6.231	2.262	1.537	2.103	4.599	2.210	1.183	8.227	1.688	1.733	5.494	2.931	4.962	9.566	3.122	4.607	0.710	0.817	0.798	0.930	6.177	3.529	1.912	2.065	1.487	3.932	1.009	3.407	1.879	4.113	2.271	2.020	8.890	1.066	5.938	2.042	1.096	2.028	1.944	1.963	7.867	2.961	3.847	0.847	3.199	3.238	6.233	1.317	6.504	
ABS/RC	1.755	1.397	1.209	1.675	1.742	1.805	1.704	1.331	1.608	1.545	1.505	1.243	1.477	1.627	1.469	1.390	1.453	1.762	1.105	1.519	1.574	1.283	1.491	1.415	1.199	1.507	1.188	2.024	1.800	1.866	1.799	1.190	1.397	1.544	1.494	1.626	1.389	1.756	1.385	1.502	1.198	1.477	1.428	1.128	1.756	1.212	1.567	1.766	1.637	1.374	1.533	1.129	1.420	1.344	1.730	1.512	1.310	1.323	1.802	1.208	
TRo/RC	1.318	1.182	1.024	1.197	1.228	1.285	1.241	1.109	1.230	1.170	1.202	1.038	1.177	1.243	1.166	1.158	1.127	1.320	0.945	1.127	1.163	1.081	1.193	1.192	1.037	1.241	0.971	1.431	1.255	1.303	1.261	1.007	1.101	1.182	1.165	1.228	1.123	1.294	1.132	1.127	0.963	1.143	1.121	0.964	1.284	1.022	1.239	1.272	1.262	1.071	1.221	0.963	1.167	1.109	1.203	1.230	1.033	1.114	1.296	1.031	
ETo/RC	0.487	0.658	0.619	0.469	0.469	0.516	0.545	0.572	0.607	0.668	0.696	0.627	0.541	0.541	0.519	0.650	0.543	0.542	0.574	0.531	0.571	0.614	0.623	0.676	0.667	0.623	0.534	0.534	0.490	0.510	0.525	0.575	0.628	0.562	0.542	0.540	0.633	0.502	0.581	0.546	0.526	0.565	0.494	0.607	0.524	0.585	0.568	0.546	0.626	0.461	0.531	0.582	0.556	0.580	0.471	0.647	0.550	0.677	0.623	0.592	
DIo/RC	0.436	0.215	0.185	0.477	0.513	0.521	0.463	0.222	0.378	0.374	0.303	0.205	0.300	0.383	0.303	0.232	0.326	0.441	0.161	0.392	0.411	0.202	0.299	0.223	0.163	0.266	0.217	0.594	0.546	0.563	0.539	0.183	0.297	0.363	0.329	0.398	0.265	0.463	0.253	0.375	0.235	0.333	0.307	0.163	0.472	0.190	0.327	0.494	0.374	0.303	0.312	0.166	0.253	0.235	0.527	0.282	0.277	0.209	0.506	0.177	
