"Timestamp  in Local time"	"Soil Moisture ID: 2662[%VWC] @2359-1 MS:Sensor is not configured"	"Soil Moisture ID: 2665[%VWC] @2360-1 MS:Sensor is not configured"	"Soil Moisture ID: 2663[%VWC] @2361-1 MS:Sensor is not configured"	"Soil Moisture ID: 2658[%VWC] @2363-1 MS:Sensor is not configured"	"Soil Moisture ID: 2647[%VWC] @2364-1 MS:Sensor is not configured"	"Soil Moisture ID: 2649[%VWC] @2366-1 MS:Sensor is not configured"	"Soil Moisture ID: 2648[%VWC] @2367-3 MS:Sensor is not configured"	"Soil Moisture ID: 2654[%VWC] @2369-1 MS:Sensor is not configured"	"Soil Moisture ID: 2656[%VWC] @2370-3 MS:Sensor is not configured"	"Soil Moisture ID: 2653[%VWC] @2371-1 MS:Sensor is not configured"	"Soil Moisture ID: 2645[%VWC] @2373-3 MS:Sensor is not configured"	"Soil Moisture ID: 2644[%VWC] @2374-1 MS:Sensor is not configured"	"Soil Moisture ID: 2661[%VWC] @2375-1 MS:Sensor is not configured"	"Soil Moisture ID: 2666[%VWC] @2376-1 MS:Sensor is not configured"	"Soil Moisture ID: 2655[%VWC] @2379-1 MS:Sensor is not configured"	"Soil Moisture ID: 2650[%VWC] @2380-1 MS:Sensor is not configured"
"2023-12-18 22:16:40"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"12.60"	""
"2023-12-18 22:16:56"	""	""	""	"4.40"	""	""	""	""	""	""	""	""	""	""	""	""
"2023-12-18 22:17:05"	""	""	""	""	""	""	""	""	""	"3.59"	""	""	""	""	""	""
"2023-12-18 22:17:20"	""	""	"4.64"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2023-12-18 22:17:24"	""	""	""	""	""	""	""	""	"6.72"	""	""	""	""	""	""	""
"2023-12-18 22:17:32"	""	""	""	""	""	"5.69"	""	""	""	""	""	""	""	""	""	""
"2023-12-18 22:18:20"	""	""	""	""	""	""	""	"6.13"	""	""	""	""	""	""	""	""
"2023-12-18 22:19:19"	""	""	""	""	""	""	"7.30"	""	""	""	""	""	""	""	""	""
"2023-12-18 22:19:21"	""	""	""	""	""	""	""	""	""	""	""	"6.13"	""	""	""	""
"2023-12-18 22:19:51"	""	""	""	""	""	""	""	""	""	""	""	""	""	"5.76"	""	""
"2023-12-18 22:20:13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"5.45"
"2023-12-18 22:20:32"	""	""	""	""	""	""	""	""	""	""	""	""	"3.69"	""	""	""
"2023-12-18 22:21:02"	""	"5.76"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2023-12-18 22:21:16"	""	""	""	""	""	""	""	""	""	""	"3.08"	""	""	""	""	""
"2023-12-18 22:21:18"	"8.55"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2023-12-18 22:21:40"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"12.70"	""
