FluorPen ASCII Export File
-----------------------------------
File Name: Untitled - 1
-----------------------------------

time	13:27:44  28.12.2023	13:28:11  28.12.2023	13:28:39  28.12.2023	13:29:05  28.12.2023	13:30:36  28.12.2023	13:31:04  28.12.2023	13:31:30  28.12.2023	13:31:52  28.12.2023	13:32:52  28.12.2023	13:33:20  28.12.2023	13:33:42  28.12.2023	13:34:06  28.12.2023	13:40:35  28.12.2023	13:40:56  28.12.2023	13:41:14  28.12.2023	13:41:35  28.12.2023	13:41:57  28.12.2023	13:42:16  28.12.2023	13:42:35  28.12.2023	13:42:53  28.12.2023	13:43:26  28.12.2023	13:43:47  28.12.2023	13:44:06  28.12.2023	13:44:24  28.12.2023	13:45:49  28.12.2023	13:46:07  28.12.2023	13:46:24  28.12.2023	13:46:43  28.12.2023	13:47:09  28.12.2023	13:47:30  28.12.2023	13:47:50  28.12.2023	13:48:11  28.12.2023	13:48:36  28.12.2023	13:48:53  28.12.2023	13:49:13  28.12.2023	13:49:34  28.12.2023	13:50:33  28.12.2023	13:50:56  28.12.2023	13:51:20  28.12.2023	13:51:41  28.12.2023	13:52:06  28.12.2023	13:52:39  28.12.2023	13:53:00  28.12.2023	13:53:20  28.12.2023	13:53:46  28.12.2023	13:54:08  28.12.2023	13:54:30  28.12.2023	13:54:49  28.12.2023	13:55:54  28.12.2023	13:56:11  28.12.2023	13:56:28  28.12.2023	13:56:46  28.12.2023	13:57:17  28.12.2023	13:57:49  28.12.2023	13:58:08  28.12.2023	13:58:30  28.12.2023	13:59:17  28.12.2023	13:59:34  28.12.2023	13:59:52  28.12.2023	14:00:08  28.12.2023	
Bckg	159	159	159	169	159	169	159	149	159	159	127	227	159	159	159	159	169	169	169	169	169	260	179	159	169	169	169	169	209	169	169	169	179	189	199	199	159	179	179	169	179	169	169	169	179	189	179	179	169	169	169	159	169	169	169	169	169	169	169	169	
Fo	4676	4467	4556	3908	3699	3998	4826	4497	4586	5234	128	5559	4806	4885	4676	4686	4457	4118	4267	4337	4457	5526	4447	4058	4397	4447	4776	4666	4985	4427	4825	4766	4317	5334	4307	4048	4477	4307	4327	4118	3848	4177	4427	4128	4317	3649	4277	4138	4397	4148	4556	4467	4676	4516	4098	4477	4227	4088	4337	4586	
Fj	15962	16211	15613	12612	11844	13150	17438	15593	16141	19043	140	19214	16530	17208	16331	15653	15453	13459	14795	14925	15055	19896	14566	13699	14546	15025	16281	15653	12263	14855	12702	16291	12961	16580	14187	11894	15354	13988	14307	13370	11745	14048	14506	13539	14347	7787	13978	13459	14656	13400	15673	15125	15473	14576	13519	15025	13699	13340	14227	13380	
Fi	27806	27089	24337	21944	20718	22602	30418	27398	26700	33340	138	33324	29272	29392	28275	29551	27896	25583	26341	27737	27766	37582	27497	23569	24905	26769	28973	27956	17098	26181	27228	31186	20618	25084	25254	18145	25962	25154	26141	25045	20608	25483	26730	26082	23848	16271	24466	22113	26670	24287	29840	28434	23828	24985	23110	24975	24945	25314	27328	27846	
Fm	35862	34048	31096	28414	27009	29561	37886	34337	34955	40668	141	40216	35842	35852	34955	35822	35304	32343	32213	34177	34008	44150	33429	29990	31595	33041	35852	34546	21256	36221	34825	37826	26869	30678	31425	23150	32502	31435	33978	31984	27108	31116	32971	32353	30309	23679	30668	30239	32103	29701	36939	33639	29790	30568	28165	30399	30568	31186	33051	34616	
Fv	31186	29581	26540	24506	23310	25563	33060	29840	30369	35434	13	34657	31036	30967	30279	31136	30847	28225	27946	29840	29551	38624	28982	25932	27198	28594	31076	29880	16271	31794	30000	33060	22552	25344	27118	19102	28025	27128	29651	27866	23260	26939	28544	28225	25992	20030	26391	26101	27706	25553	32383	29172	25114	26052	24067	25922	26341	27098	28714	30030	
Vj	0.362	0.397	0.417	0.355	0.349	0.358	0.381	0.372	0.380	0.390	0.923	0.394	0.378	0.398	0.385	0.352	0.356	0.331	0.377	0.355	0.359	0.372	0.349	0.372	0.373	0.370	0.370	0.368	0.447	0.328	0.263	0.349	0.383	0.444	0.364	0.411	0.388	0.357	0.337	0.332	0.340	0.366	0.353	0.333	0.386	0.207	0.368	0.357	0.370	0.362	0.343	0.365	0.430	0.386	0.391	0.407	0.360	0.341	0.344	0.293	
Vi	0.742	0.765	0.745	0.736	0.730	0.728	0.774	0.767	0.728	0.793	0.769	0.801	0.788	0.791	0.779	0.799	0.760	0.760	0.790	0.784	0.789	0.830	0.795	0.752	0.754	0.781	0.779	0.779	0.744	0.684	0.747	0.799	0.723	0.779	0.772	0.738	0.767	0.768	0.736	0.751	0.721	0.791	0.781	0.778	0.751	0.630	0.765	0.689	0.804	0.788	0.781	0.822	0.763	0.786	0.790	0.791	0.787	0.783	0.801	0.775	
Fm/Fo	7.669	7.622	6.825	7.271	7.302	7.394	7.850	7.636	7.622	7.770	1.102	7.234	7.458	7.339	7.475	7.644	7.921	7.854	7.549	7.880	7.630	7.990	7.517	7.390	7.186	7.430	7.507	7.404	4.264	8.182	7.218	7.937	6.224	5.751	7.296	5.719	7.260	7.299	7.853	7.767	7.045	7.449	7.448	7.837	7.021	6.489	7.170	7.308	7.301	7.160	8.108	7.531	6.371	6.769	6.873	6.790	7.232	7.629	7.621	7.548	
Fv/Fo	6.669	6.622	5.825	6.271	6.302	6.394	6.850	6.636	6.622	6.770	0.102	6.234	6.458	6.339	6.475	6.644	6.921	6.854	6.549	6.880	6.630	6.990	6.517	6.390	6.186	6.430	6.507	6.404	3.264	7.182	6.218	6.937	5.224	4.751	6.296	4.719	6.260	6.299	6.853	6.767	6.045	6.449	6.448	6.837	6.021	5.489	6.170	6.308	6.301	6.160	7.108	6.531	5.371	5.769	5.873	5.790	6.232	6.629	6.621	6.548	
Fv/Fm	0.870	0.869	0.853	0.862	0.863	0.865	0.873	0.869	0.869	0.871	0.092	0.862	0.866	0.864	0.866	0.869	0.874	0.873	0.868	0.873	0.869	0.875	0.867	0.865	0.861	0.865	0.867	0.865	0.765	0.878	0.861	0.874	0.839	0.826	0.863	0.825	0.862	0.863	0.873	0.871	0.858	0.866	0.866	0.872	0.858	0.846	0.861	0.863	0.863	0.860	0.877	0.867	0.843	0.852	0.855	0.853	0.862	0.869	0.869	0.868	
Mo	0.350	0.411	0.439	0.321	0.301	0.328	0.403	0.367	0.391	0.443	2.769	0.450	0.412	0.428	0.404	0.357	0.334	0.294	0.363	0.335	0.355	0.418	0.334	0.358	0.384	0.360	0.404	0.407	0.537	0.315	0.293	0.341	0.401	0.537	0.343	0.399	0.390	0.345	0.330	0.309	0.298	0.338	0.344	0.302	0.397	0.199	0.351	0.336	0.370	0.339	0.333	0.351	0.473	0.395	0.379	0.440	0.320	0.296	0.324	0.274	
Area	17467452	22679538	16380071	17994154	16251218	19887342	18269282	19210970	19739350	16801100	201014	23176140	18405588	25183146	17531966	20269902	18672148	20318052	21020544	21299240	26269380	14654280	18241744	17050638	19156888	16895610	15161376	14556268	12161625	50810148	23224526	62655756	14530784	16173139	15484209	12508448	18899734	16924572	23978682	18452476	15775247	18135712	18562574	19101596	16188562	13719383	12641253	43199364	20960850	19655074	46209552	37242984	21579842	14745266	16645413	16184272	16926470	15737065	18079236	20933178	
Fix Area	34642124	32885496	30047624	27359652	25971816	28445306	36800076	33254282	33701108	39563888	139005	39208072	34844992	34853344	33919348	34929804	34164084	31307296	31299332	33241114	33059904	43231096	32598558	29015096	30500426	32021800	34763540	33516988	20434204	31778100	33665500	36662492	25791250	29584210	30507686	22206256	31541558	30423538	32807102	30908010	26060112	30253850	32065958	31371060	29191672	22475270	29769124	26815448	31217978	28848558	35250968	32872472	28720952	29692760	27319782	29543906	29713920	30374074	32262990	33724820	
