FluorPen ASCII Export File
-----------------------------------
File Name: Untitled - 1
-----------------------------------

time	14:41:26  17.2.2024	14:41:47  17.2.2024	14:42:06  17.2.2024	14:42:23  17.2.2024	14:42:50  17.2.2024	14:43:09  17.2.2024	14:43:32  17.2.2024	14:43:50  17.2.2024	14:44:35  17.2.2024	14:44:55  17.2.2024	14:45:21  17.2.2024	14:45:40  17.2.2024	14:46:45  17.2.2024	14:47:04  17.2.2024	14:47:25  17.2.2024	14:47:58  17.2.2024	14:48:20  17.2.2024	14:48:41  17.2.2024	14:49:02  17.2.2024	14:49:21  17.2.2024	14:49:51  17.2.2024	14:50:08  17.2.2024	14:50:25  17.2.2024	14:50:42  17.2.2024	14:52:10  17.2.2024	14:52:36  17.2.2024	14:52:54  17.2.2024	14:53:12  17.2.2024	14:53:53  17.2.2024	14:54:22  17.2.2024	14:54:44  17.2.2024	14:55:02  17.2.2024	14:55:28  17.2.2024	14:55:49  17.2.2024	14:56:14  17.2.2024	14:56:35  17.2.2024	14:57:33  17.2.2024	14:57:58  17.2.2024	14:58:20  17.2.2024	14:58:38  17.2.2024	14:59:02  17.2.2024	14:59:20  17.2.2024	14:59:37  17.2.2024	14:59:56  17.2.2024	15:00:51  17.2.2024	15:01:14  17.2.2024	15:01:36  17.2.2024	15:01:58  17.2.2024	15:02:57  17.2.2024	15:03:17  17.2.2024	15:03:34  17.2.2024	15:03:55  17.2.2024	15:04:23  17.2.2024	15:04:42  17.2.2024	15:05:01  17.2.2024	15:05:22  17.2.2024	15:06:13  17.2.2024	15:06:35  17.2.2024	15:06:54  17.2.2024	15:07:18  17.2.2024	
Bckg	319	229	249	249	209	209	229	229	292	292	219	292	390	239	209	279	219	292	229	219	219	299	229	229	289	368	292	292	259	279	325	249	292	229	229	259	249	209	292	292	292	292	239	209	209	229	219	219	229	292	292	229	229	229	229	219	209	388	219	390	
Fo	4406	4656	5184	4516	5045	4157	4277	4088	6112	5820	5104	5429	5819	4666	4666	5354	4257	5950	4765	4736	5144	5543	5324	4815	4087	4686	5169	5690	5134	4915	5852	4217	6015	4636	4576	5224	4167	5563	5657	5494	5527	5657	5124	4855	4536	4666	5194	4915	4815	5299	5137	4426	4347	4925	4307	4835	4048	4327	5234	7282	
Fj	11146	12113	13988	11196	13300	10369	11814	10458	16516	14728	14287	15118	12321	12881	12801	12691	11136	16711	13240	13360	13439	13718	15384	14038	10329	12573	14825	14272	10558	11355	8095	11794	16353	13070	12761	12552	10718	13778	13460	14793	14370	16191	13948	12502	12024	12113	14267	13260	11415	14663	13947	12153	11166	11685	11605	13041	10678	11456	13061	18303	
Fi	18364	19461	19581	16201	17338	19641	19641	20030	29618	23180	28345	30723	12256	23011	24895	14775	18085	27504	22303	25304	22313	21973	26869	25912	16839	16730	25229	17849	11346	14167	7640	19920	30105	23788	17786	17407	16729	17547	19474	20027	18141	29618	23778	21705	23320	16789	26191	26041	23330	29195	24643	22462	16949	14217	21415	19950	19292	20349	15503	18921	
Fm	25971	26201	26859	22811	22333	26680	26909	26420	37095	28577	34047	36477	17718	29461	30638	20767	24227	32609	28125	30707	28803	28793	34257	33220	23848	23081	31763	23798	15174	19950	9493	25603	37973	29122	26360	22492	23888	23908	24871	27114	24513	35567	28624	28404	29302	23998	33728	32263	30408	36022	32446	29571	23728	20259	26590	26321	26061	26351	21854	26008	
Fv	21565	21545	21675	18295	17288	22523	22632	22332	30983	22757	28943	31048	11899	24795	25972	15413	19970	26659	23360	25971	23659	23250	28933	28405	19761	18395	26594	18108	10040	15035	3641	21386	31958	24486	21784	17268	19721	18345	19214	21620	18986	29910	23500	23549	24766	19332	28534	27348	25593	30723	27309	25145	19381	15334	22283	21486	22013	22024	16620	18726	
Vj	0.313	0.346	0.406	0.365	0.477	0.276	0.333	0.285	0.336	0.391	0.317	0.312	0.546	0.331	0.313	0.476	0.344	0.404	0.363	0.332	0.351	0.352	0.348	0.325	0.316	0.429	0.363	0.474	0.540	0.428	0.616	0.354	0.323	0.344	0.376	0.424	0.332	0.448	0.406	0.430	0.466	0.352	0.375	0.325	0.302	0.385	0.318	0.305	0.258	0.305	0.323	0.307	0.352	0.441	0.328	0.382	0.301	0.324	0.471	0.589	
Vi	0.647	0.687	0.664	0.639	0.711	0.687	0.679	0.714	0.759	0.763	0.803	0.815	0.541	0.740	0.779	0.611	0.692	0.809	0.751	0.792	0.726	0.707	0.745	0.743	0.645	0.655	0.754	0.671	0.619	0.615	0.491	0.734	0.754	0.782	0.606	0.706	0.637	0.653	0.719	0.672	0.664	0.801	0.794	0.716	0.758	0.627	0.736	0.772	0.723	0.778	0.714	0.717	0.650	0.606	0.768	0.703	0.692	0.727	0.618	0.622	
Fm/Fo	5.894	5.627	5.181	5.051	4.427	6.418	6.292	6.463	6.069	4.910	6.671	6.719	3.045	6.314	6.566	3.879	5.691	5.481	5.902	6.484	5.599	5.194	6.434	6.899	5.835	4.926	6.145	4.182	2.956	4.059	1.622	6.071	6.313	6.282	5.760	4.306	5.733	4.298	4.397	4.935	4.435	6.287	5.586	5.850	6.460	5.143	6.494	6.564	6.315	6.798	6.316	6.681	5.458	4.114	6.174	5.444	6.438	6.090	4.175	3.572	
Fv/Fo	4.894	4.627	4.181	4.051	3.427	5.418	5.292	5.463	5.069	3.910	5.671	5.719	2.045	5.314	5.566	2.879	4.691	4.481	4.902	5.484	4.599	4.194	5.434	5.899	4.835	3.926	5.145	3.182	1.956	3.059	0.622	5.071	5.313	5.282	4.760	3.306	4.733	3.298	3.396	3.935	3.435	5.287	4.586	4.850	5.460	4.143	5.494	5.564	5.315	5.798	5.316	5.681	4.458	3.114	5.174	4.444	5.438	5.090	3.175	2.572	
Fv/Fm	0.830	0.822	0.807	0.802	0.774	0.844	0.841	0.845	0.835	0.796	0.850	0.851	0.672	0.842	0.848	0.742	0.824	0.818	0.831	0.846	0.821	0.807	0.845	0.855	0.829	0.797	0.837	0.761	0.662	0.754	0.384	0.835	0.842	0.841	0.826	0.768	0.826	0.767	0.773	0.797	0.775	0.841	0.821	0.829	0.845	0.806	0.846	0.848	0.842	0.853	0.842	0.850	0.817	0.757	0.838	0.816	0.845	0.836	0.761	0.720	
