FluorPen ASCII Export File
-----------------------------------
File Name: Untitled - 1
-----------------------------------

time	13:33:36  20.10.2023	13:34:11  20.10.2023	13:34:35  20.10.2023	13:35:03  20.10.2023	13:36:07  20.10.2023	13:36:29  20.10.2023	13:36:51  20.10.2023	13:37:16  20.10.2023	13:38:13  20.10.2023	13:38:36  20.10.2023	13:39:03  20.10.2023	13:39:33  20.10.2023	13:40:48  20.10.2023	13:41:13  20.10.2023	13:41:52  20.10.2023	13:42:16  20.10.2023	13:43:14  20.10.2023	13:43:35  20.10.2023	13:44:09  20.10.2023	13:44:38  20.10.2023	13:45:07  20.10.2023	13:45:36  20.10.2023	13:45:56  20.10.2023	13:46:18  20.10.2023	13:48:02  20.10.2023	13:48:23  20.10.2023	13:48:46  20.10.2023	13:49:07  20.10.2023	13:49:31  20.10.2023	13:49:52  20.10.2023	13:50:13  20.10.2023	13:50:32  20.10.2023	13:51:13  20.10.2023	13:51:39  20.10.2023	13:51:59  20.10.2023	13:52:22  20.10.2023	13:53:46  20.10.2023	13:54:06  20.10.2023	13:54:27  20.10.2023	13:54:49  20.10.2023	13:55:15  20.10.2023	13:55:37  20.10.2023	13:55:57  20.10.2023	13:56:19  20.10.2023	13:57:45  20.10.2023	13:58:13  20.10.2023	13:58:41  20.10.2023	13:59:11  20.10.2023	14:00:52  20.10.2023	14:01:57  20.10.2023	14:02:23  20.10.2023	14:02:47  20.10.2023	14:07:06  20.10.2023	14:07:25  20.10.2023	14:07:47  20.10.2023	14:08:08  20.10.2023	14:09:00  20.10.2023	14:09:21  20.10.2023	14:09:45  20.10.2023	14:10:09  20.10.2023	
Mo	0.467	0.456	4.000	0.327	0.291	0.330	0.378	0.303	0.304	0.530	0.290	0.457	0.390	0.320	0.422	0.500	0.582	0.522	0.497	0.379	0.446	0.413	0.579	0.381	0.381	0.373	0.441	0.427	0.387	0.410	0.418	0.402	0.385	0.472	0.499	0.477	0.420	0.368	0.436	0.447	0.311	0.326	0.413	0.342	0.408	0.390	0.319	0.347	2.333	0.000	0.409	0.509	0.347	0.340	0.385	0.451	0.524	0.538	0.411	0.650	
Area	13876372	11169901	398795	20637054	26285942	36398832	12843692	18833334	14709960	14241490	16299754	14809630	13859616	18354370	17049514	53714256	13907664	11119503	12430786	14552214	13609263	12363023	11713137	16578456	12768776	16429248	14235610	15819291	15399907	15957892	14685369	15212250	14440798	12726059	11391665	15964402	16333050	16085904	12297587	10398361	14615186	13465862	13854116	12036048	15795581	28073542	11922066	13413795	29816	397888	14212190	12060814	12753057	13994990	17401566	14852040	12258900	12570430	52283536	8767503	
Fix Area	29274450	39614056	3932469	28723824	22866546	25042948	26267010	25221324	24431488	33735912	24945622	28262152	28774520	28910424	30167606	26849334	32775350	21590704	28013778	30744704	30818294	28712776	28395350	27431462	28382150	33353444	30088828	35630084	30035066	31664406	28592268	33581160	30003418	26862778	24585052	27212690	31767360	33167008	23987658	24636820	26396934	26876730	25917388	24514772	25267734	22806202	21988478	23053932	147769	3923477	31399188	32329760	24432106	27847066	30220296	26301098	24746124	29019018	25648772	29959042	
HACH Area	24239652	34011280	277615	24516992	19227692	21265100	22189172	21502472	20712638	28392126	21266770	23696336	24168704	24763590	25431796	21994528	27342568	16835894	22938980	26308882	26212478	24216956	22981566	23244630	24205316	28837626	25363016	30625286	25628242	26998592	24175446	28905346	25676592	22166966	19869242	22347886	26553568	28372200	19840824	20369992	22419092	23028884	21570562	20716924	20940908	17941396	18329624	19385080	9775	6633	26743376	26868980	20584260	23720230	25764476	21905274	20160306	23635234	20314986	23782288	
Sm	550.344	318.821	1471.570	800.724	1255.478	1592.807	550.310	822.022	672.179	482.419	722.763	599.192	548.591	704.799	642.650	2371.281	490.484	632.257	521.469	529.210	498.544	489.160	490.336	678.972	504.216	546.367	539.023	498.026	574.859	567.392	580.840	506.248	537.852	551.628	549.870	684.874	590.558	546.359	592.426	490.119	623.541	558.101	616.232	554.529	715.282	1468.819	619.586	655.995	2484.671	0.000	511.120	433.375	591.103	564.633	648.103	648.249	585.234	511.076	2284.021	356.243	
Ss	0.883	0.845	0.250	1.093	1.134	1.092	1.067	1.160	1.209	0.862	1.187	0.957	1.066	1.149	0.998	1.055	0.850	0.895	0.949	1.071	1.008	1.120	0.852	1.040	1.053	0.995	0.965	0.926	0.997	0.970	1.036	0.964	1.019	0.937	0.960	0.949	0.947	1.019	0.986	0.998	1.181	1.152	1.003	1.115	0.924	0.766	1.202	1.106	0.321	0.000	0.940	0.853	1.072	1.098	0.982	0.931	0.847	0.808	0.863	0.726	
N	623.243	377.422	5886.280	732.329	1106.867	1458.204	515.832	708.706	555.768	559.891	608.662	626.219	514.834	613.150	643.685	2247.103	576.924	706.685	549.687	494.315	494.520	436.629	575.232	653.039	479.006	549.357	558.596	537.592	576.472	585.059	560.730	525.333	527.635	588.894	572.486	721.848	623.722	536.032	600.584	491.154	528.135	484.308	614.248	497.233	774.309	1917.975	515.622	593.289	7730.087	0.000	543.956	507.939	551.383	514.169	659.724	696.156	690.793	632.574	2645.811	490.951	
Phi_Po	0.834	0.862	0.069	0.860	0.852	0.858	0.851	0.860	0.855	0.847	0.860	0.844	0.846	0.863	0.849	0.823	0.839	0.787	0.824	0.861	0.856	0.849	0.815	0.854	0.858	0.869	0.848	0.864	0.859	0.858	0.851	0.865	0.861	0.831	0.815	0.827	0.841	0.860	0.833	0.833	0.855	0.862	0.838	0.851	0.836	0.797	0.840	0.848	0.080	0.000	0.857	0.836	0.849	0.857	0.858	0.839	0.820	0.820	0.811	0.799	
Psi_o	0.588	0.614	0.000	0.643	0.670	0.640	0.597	0.649	0.632	0.544	0.656	0.563	0.584	0.632	0.578	0.472	0.505	0.533	0.529	0.595	0.551	0.537	0.506	0.604	0.599	0.629	0.575	0.605	0.614	0.603	0.567	0.612	0.608	0.558	0.521	0.547	0.603	0.624	0.570	0.554	0.632	0.625	0.585	0.619	0.623	0.701	0.617	0.616	0.250	1.000	0.616	0.565	0.628	0.627	0.622	0.580	0.556	0.565	0.645	0.528	
Phi_Eo	0.490	0.530	0.000	0.553	0.570	0.549	0.508	0.558	0.540	0.460	0.564	0.475	0.494	0.545	0.491	0.389	0.424	0.420	0.436	0.512	0.471	0.456	0.413	0.516	0.514	0.547	0.487	0.522	0.527	0.517	0.483	0.530	0.524	0.464	0.425	0.453	0.507	0.537	0.475	0.461	0.541	0.539	0.491	0.527	0.521	0.559	0.518	0.523	0.020	0.000	0.528	0.473	0.533	0.538	0.533	0.487	0.456	0.464	0.523	0.422	
Phi_Do	0.166	0.138	0.931	0.140	0.148	0.142	0.149	0.140	0.145	0.153	0.140	0.156	0.154	0.137	0.151	0.177	0.161	0.213	0.176	0.139	0.144	0.151	0.185	0.146	0.142	0.131	0.152	0.136	0.141	0.142	0.149	0.135	0.139	0.169	0.185	0.173	0.159	0.140	0.167	0.167	0.145	0.138	0.162	0.149	0.164	0.203	0.160	0.152	0.920	1.000	0.143	0.164	0.151	0.143	0.142	0.161	0.180	0.180	0.189	0.201	
Phi_Pav	933.114	911.288	999.578	940.871	936.894	954.747	915.633	928.575	924.262	924.945	925.213	933.787	924.997	933.030	937.561	985.430	932.056	936.184	931.365	926.927	924.068	919.542	926.133	932.377	917.739	928.472	930.000	932.008	928.575	932.966	930.093	928.877	923.411	932.288	930.003	941.815	934.657	936.643	928.819	923.984	932.559	922.770	936.124	922.453	932.156	958.402	926.945	924.497	985.878	0.000	928.309	925.090	926.173	927.950	939.544	935.130	938.429	928.420	930.089	913.835	
Pi_Abs	5.261	7.256	0.000	10.370	11.264	10.062	7.706	11.360	10.444	4.803	11.915	5.636	6.953	10.696	6.510	3.629	3.798	2.978	4.121	8.382	6.268	6.198	3.144	7.905	8.176	9.774	6.177	7.764	8.282	7.604	6.610	8.469	8.445	4.825	3.741	4.543	6.411	8.949	5.448	5.122	10.235	10.377	6.138	8.803	6.515	5.625	8.538	8.392	0.001	0.000	7.710	4.729	8.594	9.509	8.353	5.625	3.982	3.934	5.460	2.589	
ABS/RC	1.359	1.373	57.948	1.064	1.035	1.067	1.101	1.002	0.967	1.371	0.980	1.238	1.110	1.009	1.180	1.151	1.402	1.420	1.279	1.085	1.159	1.051	1.439	1.127	1.107	1.156	1.222	1.250	1.168	1.202	1.134	1.199	1.139	1.285	1.278	1.274	1.255	1.141	1.216	1.204	0.991	1.006	1.190	1.054	1.295	1.638	0.990	1.067	38.889	0.000	1.242	1.402	1.099	1.062	1.187	1.280	1.439	1.509	1.428	1.724	
TRo/RC	1.132	1.184	4.000	0.915	0.882	0.915	0.937	0.862	0.827	1.161	0.842	1.045	0.938	0.870	1.002	0.948	1.176	1.118	1.054	0.934	0.992	0.893	1.173	0.962	0.950	1.005	1.036	1.079	1.003	1.031	0.965	1.038	0.981	1.068	1.041	1.054	1.056	0.981	1.014	1.002	0.847	0.868	0.997	0.897	1.083	1.306	0.832	0.904	3.111	0.000	1.064	1.172	0.933	0.911	1.018	1.074	1.180	1.238	1.158	1.378	
ETo/RC	0.666	0.727	0.000	0.588	0.590	0.586	0.560	0.559	0.522	0.631	0.552	0.589	0.549	0.550	0.579	0.448	0.594	0.596	0.557	0.555	0.546	0.479	0.594	0.581	0.569	0.633	0.595	0.653	0.616	0.621	0.547	0.636	0.596	0.596	0.543	0.577	0.637	0.613	0.578	0.555	0.536	0.542	0.583	0.555	0.674	0.915	0.513	0.557	0.778	0.000	0.656	0.663	0.585	0.571	0.633	0.623	0.657	0.699	0.747	0.728	
DIo/RC	0.226	0.189	53.948	0.149	0.153	0.151	0.164	0.140	0.141	0.210	0.137	0.193	0.171	0.139	0.179	0.203	0.225	0.302	0.224	0.151	0.167	0.159	0.266	0.165	0.157	0.151	0.185	0.170	0.165	0.171	0.169	0.161	0.158	0.217	0.237	0.220	0.199	0.160	0.203	0.202	0.144	0.138	0.193	0.157	0.212	0.332	0.158	0.162	35.778	0.000	0.178	0.230	0.166	0.152	0.169	0.206	0.258	0.271	0.270	0.346	
