FluorPen ASCII Export File
-----------------------------------
File Name: Untitled - 1
-----------------------------------

time	14:04:34  23.11.2023	14:05:02  23.11.2023	14:05:32  23.11.2023	14:06:03  23.11.2023	14:06:39  23.11.2023	14:06:58  23.11.2023	14:07:21  23.11.2023	14:07:42  23.11.2023	14:08:30  23.11.2023	14:08:53  23.11.2023	14:09:25  23.11.2023	14:09:44  23.11.2023	14:11:51  23.11.2023	14:12:14  23.11.2023	14:12:45  23.11.2023	14:13:08  23.11.2023	14:13:41  23.11.2023	14:14:01  23.11.2023	14:14:28  23.11.2023	14:14:52  23.11.2023	14:15:25  23.11.2023	14:16:01  23.11.2023	14:16:19  23.11.2023	14:16:49  23.11.2023	14:19:04  23.11.2023	14:19:25  23.11.2023	14:19:48  23.11.2023	14:20:19  23.11.2023	14:21:46  23.11.2023	14:22:06  23.11.2023	14:22:24  23.11.2023	14:22:48  23.11.2023	14:23:51  23.11.2023	14:24:22  23.11.2023	14:24:43  23.11.2023	14:25:04  23.11.2023	14:26:30  23.11.2023	14:26:50  23.11.2023	14:27:15  23.11.2023	14:27:37  23.11.2023	14:28:06  23.11.2023	14:28:30  23.11.2023	14:28:59  23.11.2023	14:29:25  23.11.2023	14:30:43  23.11.2023	14:31:03  23.11.2023	14:31:30  23.11.2023	14:31:58  23.11.2023	14:41:58  23.11.2023	14:42:17  23.11.2023	14:42:39  23.11.2023	14:43:06  23.11.2023	14:43:37  23.11.2023	14:44:00  23.11.2023	14:44:21  23.11.2023	14:44:45  23.11.2023	14:45:58  23.11.2023	14:46:26  23.11.2023	14:46:52  23.11.2023	14:47:26  23.11.2023	
Bckg	309	292	520	585	249	309	357	585	787	269	229	422	329	827	199	259	428	487	552	309	249	229	249	259	229	269	259	585	455	585	259	422	239	422	348	487	388	408	309	552	617	249	249	289	455	585	408	487	289	289	325	552	249	249	259	398	259	357	357	390	
Fo	4795	5885	5884	5884	4426	3948	5104	6144	5065	4018	4407	7153	4207	5164	4397	4476	4626	5820	5495	4396	3918	4985	4197	4048	4297	5124	4197	6242	5364	6567	4865	7023	5094	6860	4407	6567	4537	4985	4835	5690	6990	4087	4825	4456	5689	5397	5145	5234	4028	4317	5787	6112	4586	4147	4845	5035	5214	5332	5982	5624	
Fj	15333	17198	15572	15475	13449	10707	15898	15637	12642	10149	11585	20645	11555	11406	12423	12692	12991	16223	13395	11993	11156	15274	11914	10937	12373	14396	8763	17035	13394	18726	14835	13102	11485	18889	11546	15703	13799	14447	12023	16061	17849	11665	10189	12871	14337	12256	12762	12549	11595	11894	16288	17979	12402	8733	14037	15085	14327	13817	15605	12386	
Fi	20618	33714	16775	18433	18335	13220	21100	15312	12084	15363	18823	20872	13718	11107	21146	18693	14237	16938	13395	12961	18504	20438	19661	20059	19043	16430	18006	26724	13882	22400	18484	11216	19790	20059	15215	14988	21107	16321	12442	17426	18174	18315	21545	15553	14304	19019	13071	12387	14825	20408	16840	18336	16131	18524	16480	21376	16131	15508	16711	13752	
Fm	28145	42427	22660	26171	26670	19491	30821	20547	17368	22512	25363	28772	19999	16590	29820	27587	21486	23603	19409	19331	27956	29641	27657	28973	27966	23210	25902	36152	19409	30560	26560	15768	26590	27114	23171	21815	30877	24197	18713	25456	25554	27347	28763	22562	21587	27927	18923	17329	23150	29640	24578	25391	23459	26630	24875	29651	22173	21490	23473	19084	
Fv	23350	36542	16776	20287	22244	15543	25717	14403	12303	18494	20956	21619	15792	11426	25423	23111	16860	17783	13914	14935	24038	24656	23460	24925	23669	18086	21705	29910	14045	23993	21695	8745	21496	20254	18764	15248	26340	19212	13878	19766	18564	23260	23938	18106	15898	22530	13778	12095	19122	25323	18791	19279	18873	22483	20030	24616	16959	16158	17491	13460	
Vj	0.451	0.310	0.577	0.473	0.406	0.435	0.420	0.659	0.616	0.332	0.343	0.624	0.465	0.546	0.316	0.356	0.496	0.585	0.568	0.509	0.301	0.417	0.329	0.276	0.341	0.513	0.210	0.361	0.572	0.507	0.460	0.695	0.297	0.594	0.380	0.599	0.352	0.493	0.518	0.525	0.585	0.326	0.224	0.465	0.544	0.304	0.553	0.605	0.396	0.299	0.559	0.616	0.414	0.204	0.459	0.408	0.537	0.525	0.550	0.502	
Vi	0.678	0.762	0.649	0.619	0.625	0.597	0.622	0.637	0.571	0.613	0.688	0.635	0.602	0.520	0.659	0.615	0.570	0.625	0.568	0.573	0.607	0.627	0.659	0.642	0.623	0.625	0.636	0.685	0.606	0.660	0.628	0.479	0.684	0.652	0.576	0.552	0.629	0.590	0.548	0.594	0.602	0.612	0.698	0.613	0.542	0.605	0.575	0.591	0.565	0.635	0.588	0.634	0.612	0.639	0.581	0.664	0.644	0.630	0.613	0.604	
Fm/Fo	5.870	7.209	3.851	4.448	6.026	4.937	6.039	3.344	3.429	5.603	5.755	4.022	4.754	3.213	6.782	6.163	4.645	4.055	3.532	4.397	7.135	5.946	6.590	7.157	6.508	4.530	6.172	5.792	3.618	4.654	5.459	2.245	5.220	3.952	5.258	3.322	6.806	4.854	3.870	4.474	3.656	6.691	5.961	5.063	3.795	5.175	3.678	3.311	5.747	6.866	4.247	4.154	5.115	6.422	5.134	5.889	4.253	4.030	3.924	3.393	
Fv/Fo	4.870	6.209	2.851	3.448	5.026	3.937	5.039	2.344	2.429	4.603	4.755	3.022	3.754	2.213	5.782	5.163	3.645	3.055	2.532	3.397	6.135	4.946	5.590	6.157	5.508	3.530	5.172	4.792	2.618	3.654	4.459	1.245	4.220	2.952	4.258	2.322	5.806	3.854	2.870	3.474	2.656	5.691	4.961	4.063	2.795	4.175	2.678	2.311	4.747	5.866	3.247	3.154	4.115	5.422	4.134	4.889	3.253	3.030	2.924	2.393	
Fv/Fm	0.830	0.861	0.740	0.775	0.834	0.797	0.834	0.701	0.708	0.822	0.826	0.751	0.790	0.689	0.853	0.838	0.785	0.753	0.717	0.773	0.860	0.832	0.848	0.860	0.846	0.779	0.838	0.827	0.724	0.785	0.817	0.555	0.808	0.747	0.810	0.699	0.853	0.794	0.742	0.776	0.726	0.851	0.832	0.802	0.736	0.807	0.728	0.698	0.826	0.854	0.765	0.759	0.805	0.844	0.805	0.830	0.765	0.752	0.745	0.705	
Mo	0.518	0.413	0.760	0.596	0.486	0.464	0.470	0.867	0.768	0.356	0.362	0.884	0.533	0.730	0.348	0.421	0.553	0.753	0.701	0.566	0.297	0.503	0.355	0.283	0.393	0.606	0.233	0.517	0.704	0.710	0.517	1.070	0.388	0.873	0.419	0.853	0.381	0.583	0.595	0.632	0.855	0.338	0.270	0.504	0.703	0.392	0.680	0.753	0.425	0.327	0.740	0.823	0.516	0.223	0.560	0.497	0.729	0.692	0.766	0.696	
Area	11404993	13596300	7701694	9098464	11678234	10444862	11595649	10619710	7760936	9958988	12020597	6167367	9745811	6546916	10824640	11338931	8268237	7772205	7817093	7376273	11427656	13209661	11701044	12503139	8722043	9642321	12238624	9456497	7502142	7743730	8166038	4419989	10633459	6596770	10871230	6508106	11537077	10015298	10212581	11065909	8973729	10933667	12097378	8612579	5781520	10327477	7322514	6702054	11462525	13627171	8797075	8622048	9128935	12547354	10284229	8825522	8498561	10157026	7903857	7142890	
Fix Area	27393888	41432208	22165492	25523366	25771738	18782948	30000478	20043724	16938252	21596828	24646714	28216856	19270074	16109661	28941238	26722686	20899222	23049974	18736792	18752010	27005504	28866676	26869698	28136278	26960714	22532692	24882628	35407904	18938650	29904544	25867324	15334594	25723242	26565778	22438094	21232556	29978536	23513334	17998978	24706218	24966628	26450670	27847926	21850452	20998714	26960130	18434042	16895270	22311244	28655060	23964612	24810278	22576858	25539622	24158684	28866118	21497936	20816364	22844316	18478142	
HACH Area	22599080	35547444	16281728	19639602	21345914	14835106	24896682	13899969	11873455	17578990	20239890	21064142	15063243	10945868	24544414	22246866	16273406	17230208	13242013	14356185	23087662	23881876	22672866	24088440	22663886	17408896	20685796	29166156	13574865	23337806	21002518	8311874	20629444	19706054	18031270	14665818	25441718	18528534	13164171	19016446	17976908	22363834	23023120	17394630	15309941	21563346	13289247	11661478	18283404	24338232	18177844	18698522	17991042	21392788	19313878	23831318	16284144	15484577	16862556	12854368	
Sm	488.437	372.073	459.090	448.487	525.006	671.998	450.894	737.326	630.817	538.498	573.611	285.275	617.136	572.984	425.781	490.629	490.406	437.058	561.815	493.892	475.400	535.758	498.766	501.630	368.501	533.137	563.862	316.165	534.150	322.750	376.402	505.431	494.672	325.702	579.366	426.817	438.006	521.304	735.883	559.846	483.394	470.063	505.363	475.675	363.663	458.388	531.464	554.118	599.442	538.134	468.154	447.225	483.703	558.082	513.441	358.528	501.124	628.607	451.881	530.675	
Ss	0.872	0.750	0.760	0.793	0.835	0.937	0.892	0.760	0.802	0.932	0.947	0.706	0.873	0.749	0.907	0.844	0.896	0.777	0.810	0.898	1.014	0.830	0.926	0.976	0.869	0.845	0.902	0.697	0.812	0.714	0.890	0.649	0.767	0.680	0.909	0.703	0.922	0.844	0.871	0.831	0.685	0.964	0.830	0.921	0.773	0.776	0.813	0.803	0.931	0.914	0.755	0.748	0.803	0.913	0.820	0.821	0.737	0.759	0.718	0.722	
N	560.094	496.098	603.906	565.624	628.867	717.434	505.282	969.639	786.918	577.935	605.416	404.189	706.834	765.203	469.601	581.159	547.097	562.634	693.521	549.737	468.963	645.680	538.773	513.791	423.986	630.657	625.361	453.347	657.477	452.205	423.141	778.225	645.217	478.819	637.555	607.523	475.176	617.499	845.221	673.909	706.194	487.556	608.621	516.205	470.307	590.778	653.917	689.636	644.200	588.915	620.222	598.008	602.278	611.383	626.050	436.798	679.896	828.561	629.056	734.878	
Phi_Po	0.830	0.861	0.740	0.775	0.834	0.797	0.834	0.701	0.708	0.822	0.826	0.751	0.790	0.689	0.853	0.838	0.785	0.753	0.717	0.773	0.860	0.832	0.848	0.860	0.846	0.779	0.838	0.827	0.724	0.785	0.817	0.555	0.808	0.747	0.810	0.699	0.853	0.794	0.742	0.776	0.726	0.851	0.832	0.802	0.736	0.807	0.728	0.698	0.826	0.854	0.765	0.759	0.805	0.844	0.805	0.830	0.765	0.752	0.745	0.705	
Psi_o	0.549	0.690	0.423	0.527	0.594	0.565	0.580	0.341	0.384	0.668	0.657	0.376	0.535	0.454	0.684	0.644	0.504	0.415	0.432	0.491	0.699	0.583	0.671	0.724	0.659	0.487	0.790	0.639	0.428	0.493	0.540	0.305	0.703	0.406	0.620	0.401	0.648	0.507	0.482	0.475	0.415	0.674	0.776	0.535	0.456	0.696	0.447	0.395	0.604	0.701	0.441	0.384	0.586	0.796	0.541	0.592	0.463	0.475	0.450	0.498	
Phi_Eo	0.455	0.595	0.313	0.409	0.496	0.451	0.484	0.239	0.272	0.549	0.543	0.282	0.422	0.312	0.583	0.540	0.395	0.313	0.310	0.380	0.601	0.485	0.569	0.623	0.558	0.380	0.662	0.529	0.310	0.387	0.441	0.169	0.568	0.303	0.502	0.280	0.553	0.403	0.358	0.369	0.302	0.573	0.646	0.430	0.336	0.561	0.326	0.276	0.499	0.599	0.337	0.292	0.471	0.672	0.436	0.491	0.354	0.357	0.335	0.351	
Phi_Do	0.170	0.139	0.260	0.225	0.166	0.203	0.166	0.299	0.292	0.178	0.174	0.249	0.210	0.311	0.147	0.162	0.215	0.247	0.283	0.227	0.140	0.168	0.152	0.140	0.154	0.221	0.162	0.173	0.276	0.215	0.183	0.445	0.192	0.253	0.190	0.301	0.147	0.206	0.258	0.224	0.274	0.149	0.168	0.198	0.264	0.193	0.272	0.302	0.174	0.146	0.235	0.241	0.195	0.156	0.195	0.170	0.235	0.248	0.255	0.295	
Phi_Pav	938.839	938.067	939.881	935.508	928.455	937.477	936.768	954.264	947.482	918.535	944.821	925.448	934.232	935.983	926.915	930.718	934.889	936.488	933.124	927.012	925.619	944.943	936.797	934.846	912.942	940.712	923.530	928.823	939.041	932.897	927.131	929.358	926.518	929.962	935.316	927.588	930.346	937.244	938.322	941.697	944.961	926.304	931.286	927.381	918.398	920.775	940.097	939.587	931.381	935.184	937.906	939.025	922.972	920.943	936.179	925.458	931.158	942.225	931.144	931.940	
Pi_Abs	4.283	8.945	1.174	2.363	5.128	3.822	5.187	0.646	0.860	7.105	7.145	0.965	2.974	0.948	9.688	6.620	2.603	1.269	1.119	2.278	12.413	4.767	8.955	13.540	7.823	2.210	14.667	4.897	1.153	1.993	3.811	0.197	6.182	1.026	5.102	0.763	8.418	2.662	1.725	2.030	0.937	9.658	11.872	3.460	1.334	5.970	1.282	0.847	5.572	10.725	1.479	1.119	3.762	16.305	3.219	4.829	1.579	1.563	1.280	1.207	
ABS/RC	1.382	1.548	1.777	1.627	1.436	1.339	1.343	1.876	1.761	1.306	1.277	1.886	1.450	1.939	1.294	1.414	1.422	1.709	1.722	1.441	1.147	1.449	1.273	1.191	1.359	1.518	1.324	1.733	1.701	1.785	1.376	2.776	1.613	1.968	1.359	2.036	1.272	1.492	1.549	1.550	2.011	1.219	1.447	1.352	1.756	1.598	1.690	1.783	1.301	1.281	1.733	1.761	1.548	1.298	1.514	1.468	1.774	1.753	1.868	1.963	
TRo/RC	1.147	1.333	1.315	1.261	1.198	1.068	1.121	1.315	1.247	1.073	1.055	1.417	1.145	1.335	1.103	1.185	1.116	1.287	1.234	1.113	0.986	1.205	1.080	1.024	1.151	1.183	1.109	1.434	1.231	1.401	1.124	1.540	1.304	1.470	1.100	1.423	1.085	1.185	1.149	1.204	1.461	1.037	1.204	1.085	1.293	1.289	1.230	1.245	1.075	1.094	1.325	1.337	1.245	1.096	1.219	1.218	1.357	1.318	1.392	1.385	
ETo/RC	0.629	0.921	0.556	0.665	0.712	0.603	0.650	0.448	0.479	0.717	0.694	0.533	0.612	0.606	0.755	0.763	0.562	0.534	0.534	0.547	0.689	0.702	0.725	0.741	0.758	0.576	0.876	0.916	0.527	0.691	0.608	0.469	0.917	0.597	0.682	0.571	0.703	0.601	0.554	0.572	0.606	0.699	0.934	0.581	0.590	0.896	0.550	0.492	0.649	0.767	0.584	0.514	0.729	0.872	0.660	0.721	0.628	0.626	0.626	0.689	
DIo/RC	0.235	0.215	0.461	0.366	0.238	0.271	0.222	0.561	0.514	0.233	0.222	0.469	0.305	0.604	0.191	0.229	0.306	0.421	0.488	0.328	0.161	0.244	0.193	0.166	0.209	0.335	0.214	0.299	0.470	0.383	0.252	1.237	0.309	0.498	0.258	0.613	0.187	0.307	0.400	0.347	0.550	0.182	0.243	0.267	0.463	0.309	0.459	0.539	0.226	0.187	0.408	0.424	0.303	0.202	0.295	0.249	0.417	0.435	0.476	0.579	
