FluorPen ASCII Export File
-----------------------------------
File Name: Untitled - 1
-----------------------------------

time	13:27:25  24.10.2023	13:27:47  24.10.2023	13:28:11  24.10.2023	13:28:38  24.10.2023	13:29:08  24.10.2023	13:29:30  24.10.2023	13:29:52  24.10.2023	13:30:17  24.10.2023	13:31:07  24.10.2023	13:31:26  24.10.2023	13:31:47  24.10.2023	13:32:12  24.10.2023	13:33:24  24.10.2023	13:33:47  24.10.2023	13:34:23  24.10.2023	13:34:52  24.10.2023	13:35:26  24.10.2023	13:35:51  24.10.2023	13:36:17  24.10.2023	13:36:44  24.10.2023	13:37:44  24.10.2023	13:38:12  24.10.2023	13:38:37  24.10.2023	13:39:01  24.10.2023	13:41:10  24.10.2023	13:41:31  24.10.2023	13:41:55  24.10.2023	13:42:17  24.10.2023	13:43:00  24.10.2023	13:43:39  24.10.2023	13:44:01  24.10.2023	13:44:24  24.10.2023	13:44:54  24.10.2023	13:45:15  24.10.2023	13:45:41  24.10.2023	13:46:08  24.10.2023	13:47:12  24.10.2023	13:47:30  24.10.2023	13:47:50  24.10.2023	13:48:11  24.10.2023	13:48:32  24.10.2023	13:48:53  24.10.2023	13:49:14  24.10.2023	13:49:37  24.10.2023	13:50:38  24.10.2023	13:50:59  24.10.2023	13:51:20  24.10.2023	13:51:38  24.10.2023	14:01:54  24.10.2023	14:02:18  24.10.2023	14:02:45  24.10.2023	14:03:04  24.10.2023	14:03:41  24.10.2023	14:04:05  24.10.2023	14:04:31  24.10.2023	14:04:56  24.10.2023	14:05:47  24.10.2023	14:06:09  24.10.2023	14:06:33  24.10.2023	14:07:02  24.10.2023	
Bckg	357	650	812	422	617	617	585	520	552	455	325	528	292	449	552	309	487	390	390	942	249	617	552	269	528	357	239	390	585	682	682	570	325	325	357	390	348	292	292	390	715	390	910	357	390	487	325	247	422	455	260	40827	455	289	422	249	325	390	260	209	
Fo	5755	9135	8161	6047	8291	10956	8843	5657	6600	5266	7900	5334	5950	3646	5722	4695	9656	11899	9265	7738	4726	8843	7510	4835	4556	7218	5114	6047	9981	8063	7900	3525	5917	7445	7543	7120	5175	6697	8843	7087	7575	5884	6307	5982	9818	7770	8843	130	9038	8322	5526	0	5884	5174	7868	5184	5461	7770	5364	4865	
Fj	18564	19409	18467	16581	16288	17686	19929	18563	15410	12354	17913	16361	17198	3646	13102	15044	18987	25131	20969	15020	10050	17686	19149	15613	11106	19247	16799	16320	19669	18369	15248	3525	12386	18141	17068	16060	16062	15865	19832	15832	17491	16255	14110	14825	19116	16743	19701	139	17231	16938	14597	0	17003	15094	18922	16690	14890	24090	11736	16141	
Fi	24481	16678	17654	16906	13492	13947	18759	21034	14890	11509	15800	17408	18726	3646	12062	20249	16386	22757	18596	13005	14287	16581	17816	23469	11286	19312	21066	16580	17816	16321	13265	3525	13037	17360	16418	15410	21845	18759	18596	15637	17166	17718	13167	16093	17068	14598	18758	139	13882	14890	15020	0	16678	16360	17003	19092	25813	26106	22010	23021	
Fm	34397	22627	24351	23473	18954	19377	25586	29195	20612	17133	22335	24995	24806	3646	18499	29222	23408	26269	23538	18239	20558	20775	24969	32651	17039	25651	29710	23082	22692	22303	18304	3525	17848	22335	21652	19864	31914	24611	23928	19409	23895	24838	19571	20645	22270	20807	25488	211	19799	20417	18888	0	23798	24277	24026	26969	35046	32121	31015	33030	
Fv	28642	13492	16190	17426	10663	8421	16743	23538	14012	11867	14435	19661	18856	0	12777	24527	13752	14370	14273	10501	15832	11932	17459	27816	12483	18433	24596	17035	12711	14240	10404	0	11931	14890	14109	12744	26739	17914	15085	12322	16320	18954	13264	14663	12452	13037	16645	81	10761	12095	13362	0	17914	19103	16158	21785	29585	24351	25651	28165	
Vj	0.447	0.761	0.637	0.604	0.750	0.799	0.662	0.548	0.629	0.597	0.694	0.561	0.597	0.000	0.578	0.422	0.679	0.921	0.820	0.693	0.336	0.741	0.667	0.387	0.525	0.653	0.475	0.603	0.762	0.724	0.706	0.000	0.542	0.718	0.675	0.702	0.407	0.512	0.728	0.710	0.608	0.547	0.588	0.603	0.747	0.688	0.652	0.111	0.761	0.712	0.679	0.000	0.621	0.519	0.684	0.528	0.319	0.670	0.248	0.400	
Vi	0.654	0.559	0.586	0.623	0.488	0.355	0.592	0.653	0.592	0.526	0.547	0.614	0.678	0.000	0.496	0.634	0.489	0.756	0.654	0.502	0.604	0.649	0.590	0.670	0.539	0.656	0.649	0.618	0.616	0.580	0.516	0.000	0.597	0.666	0.629	0.651	0.623	0.673	0.647	0.694	0.588	0.624	0.517	0.690	0.582	0.524	0.596	0.111	0.450	0.543	0.711	0.000	0.603	0.586	0.565	0.638	0.688	0.753	0.649	0.645	
Fm/Fo	5.977	2.477	2.984	3.882	2.286	1.769	2.893	5.161	3.123	3.254	2.827	4.686	4.169	1.000	3.233	6.224	2.424	2.208	2.541	2.357	4.350	2.349	3.325	6.753	3.740	3.554	5.810	3.817	2.274	2.766	2.317	1.000	3.016	3.000	2.870	2.790	6.167	3.675	2.706	2.739	3.154	4.221	3.103	3.451	2.268	2.678	2.882	1.623	2.191	2.453	3.418	0.000	4.045	4.692	3.054	5.202	6.418	4.134	5.782	6.789	
Fv/Fo	4.977	1.477	1.984	2.882	1.286	0.769	1.893	4.161	2.123	2.254	1.827	3.686	3.169	0.000	2.233	5.224	1.424	1.208	1.541	1.357	3.350	1.349	2.325	5.753	2.740	2.554	4.810	2.817	1.274	1.766	1.317	0.000	2.016	2.000	1.870	1.790	5.167	2.675	1.706	1.739	2.154	3.221	2.103	2.451	1.268	1.678	1.882	0.623	1.191	1.453	2.418	0.000	3.045	3.692	2.054	4.202	5.418	3.134	4.782	5.789	
Fv/Fm	0.833	0.596	0.665	0.742	0.563	0.435	0.654	0.806	0.680	0.693	0.646	0.787	0.760	0.000	0.691	0.839	0.587	0.547	0.606	0.576	0.770	0.574	0.699	0.852	0.733	0.719	0.828	0.738	0.560	0.638	0.568	0.000	0.668	0.667	0.652	0.642	0.838	0.728	0.630	0.635	0.683	0.763	0.678	0.710	0.559	0.627	0.653	0.384	0.544	0.592	0.707	0.000	0.753	0.787	0.673	0.808	0.844	0.758	0.827	0.853	
Mo	0.545	1.282	1.028	0.799	1.207	1.529	1.056	0.668	0.891	0.734	1.036	0.661	0.745	0.000	0.763	0.457	1.191	1.738	1.239	1.052	0.421	1.188	0.998	0.433	0.562	0.945	0.571	0.794	1.371	1.142	1.075	0.000	0.752	1.074	1.023	0.990	0.489	0.675	1.173	0.971	0.956	0.693	0.765	0.754	1.326	1.067	1.094	0.395	1.317	1.161	0.789	0.000	0.791	0.612	1.094	0.613	0.413	0.988	0.319	0.452	
Area	10186261	7556477	12831560	7644577	5152459	4890375	7990285	13897544	8541752	7493755	11787509	8815008	9327059	370360	21859572	25735518	30968698	3221140	17598958	7987512	12317853	6309624	8410616	13500506	10373220	9947777	10779083	9541962	6266880	11567914	6749052	358068	9196005	9323055	10329596	6520891	13229933	12890831	8880985	8114317	7182355	8803983	8527132	9011902	6327976	6835934	8197135	312611	6501941	8363113	7795042	-40	7761062	10222853	8676811	10381804	12784667	16448045	13853490	14933876	
Fix Area	33537984	22205962	23687086	22852032	18551980	18956000	25068534	28454322	20027286	16566468	21777540	24230114	24190042	3652488	17813352	28365548	21523158	24486662	23003340	17792764	19702136	20384940	24315146	31743258	16328526	25038906	28860736	22426724	22303114	21805544	17868388	3531493	17224772	21791846	21121714	19380488	31073202	23935790	23442888	18966800	23394424	24175056	19068152	20143290	21898458	20303918	24925956	144732	19321740	19957986	18361500	66139	23221606	23551422	23531360	26264918	34134584	31460738	29925642	32069730	
HACH Area	27783214	13071327	15526412	16805274	10261311	8000438	16225887	22797548	13427551	11300679	13877856	18896328	18240280	6633	12091580	23670736	11867543	12588138	13738711	10055074	14976326	11542293	16805446	26908450	11772708	17821194	23746940	16379966	12322513	13742867	9968704	6633	11308009	14347145	13579016	12260773	25898410	17239058	14600242	11880083	15819727	18291290	12761404	14161530	12080851	12534229	16083310	14737	10284102	11636319	12835720	66139	17337840	18377628	15663675	21081124	28673802	23691048	24561856	27204924	
Sm	355.641	560.071	792.561	438.688	483.209	580.736	477.231	590.430	609.603	631.479	816.592	448.350	494.647	0.000	1710.853	1049.273	2251.941	224.157	1233.025	760.643	778.035	528.799	481.735	485.350	830.988	539.672	438.245	560.139	493.028	812.354	648.698	0.000	770.766	626.129	732.128	511.683	494.780	719.595	588.730	658.523	440.095	464.492	642.878	614.602	508.190	524.349	492.468	3859.407	604.214	691.452	583.374	0.000	433.240	535.144	536.998	476.557	432.133	675.457	540.076	530.228	
Ss	0.821	0.594	0.619	0.757	0.621	0.523	0.627	0.820	0.706	0.813	0.669	0.848	0.801	0.000	0.757	0.923	0.570	0.530	0.662	0.659	0.799	0.624	0.668	0.895	0.933	0.690	0.832	0.760	0.556	0.634	0.657	0.000	0.721	0.669	0.660	0.709	0.832	0.758	0.621	0.731	0.635	0.790	0.769	0.800	0.563	0.645	0.596	0.281	0.578	0.613	0.861	0.000	0.784	0.849	0.625	0.861	0.771	0.678	0.778	0.886	
N	433.244	942.864	1279.971	579.531	777.775	1111.078	761.263	719.715	863.823	776.519	1219.710	528.571	617.605	0.000	2260.737	1136.366	3954.111	422.971	1863.443	1154.439	973.275	847.704	721.341	542.360	890.616	781.715	526.570	737.400	886.718	1281.352	987.348	0.000	1068.992	936.149	1109.299	721.851	594.445	949.414	947.625	900.922	692.542	588.330	835.749	768.408	902.695	813.199	825.649	13722.335	1045.445	1127.381	677.591	0.000	552.353	630.305	859.080	553.347	560.229	995.636	694.335	598.317	
Phi_Po	0.833	0.596	0.665	0.742	0.563	0.435	0.654	0.806	0.680	0.693	0.646	0.787	0.760	0.000	0.691	0.839	0.587	0.547	0.606	0.576	0.770	0.574	0.699	0.852	0.733	0.719	0.828	0.738	0.560	0.638	0.568	0.000	0.668	0.667	0.652	0.642	0.838	0.728	0.630	0.635	0.683	0.763	0.678	0.710	0.559	0.627	0.653	0.384	0.544	0.592	0.707	1.000	0.753	0.787	0.673	0.808	0.844	0.758	0.827	0.853	
Psi_o	0.553	0.239	0.363	0.396	0.250	0.201	0.338	0.452	0.371	0.403	0.306	0.439	0.403	1.000	0.422	0.578	0.321	0.079	0.180	0.307	0.664	0.259	0.333	0.613	0.475	0.347	0.525	0.397	0.238	0.276	0.294	1.000	0.458	0.282	0.325	0.298	0.593	0.488	0.272	0.290	0.392	0.453	0.412	0.397	0.253	0.312	0.348	0.889	0.239	0.288	0.321	1.000	0.379	0.481	0.316	0.472	0.681	0.330	0.752	0.600	
Phi_Eo	0.460	0.142	0.242	0.294	0.141	0.087	0.221	0.364	0.252	0.279	0.198	0.345	0.307	0.000	0.292	0.485	0.189	0.043	0.109	0.176	0.511	0.149	0.233	0.522	0.348	0.250	0.435	0.293	0.133	0.176	0.167	0.000	0.306	0.188	0.212	0.192	0.497	0.355	0.171	0.184	0.268	0.346	0.279	0.282	0.142	0.195	0.227	0.341	0.130	0.170	0.227	1.000	0.286	0.378	0.212	0.381	0.575	0.250	0.622	0.511	
