FluorPen ASCII Export File
-----------------------------------
File Name: Untitled - 1
-----------------------------------

time	14:23:20  8.11.2023	14:23:41  8.11.2023	14:24:02  8.11.2023	14:24:20  8.11.2023	14:26:01  8.11.2023	14:26:23  8.11.2023	14:26:43  8.11.2023	14:27:05  8.11.2023	14:27:46  8.11.2023	14:28:04  8.11.2023	14:29:15  8.11.2023	14:29:35  8.11.2023	14:31:03  8.11.2023	14:31:21  8.11.2023	14:31:41  8.11.2023	14:32:02  8.11.2023	14:32:28  8.11.2023	14:32:47  8.11.2023	14:33:08  8.11.2023	14:33:28  8.11.2023	14:33:57  8.11.2023	14:34:17  8.11.2023	14:34:57  8.11.2023	14:35:32  8.11.2023	14:37:39  8.11.2023	14:38:01  8.11.2023	14:38:21  8.11.2023	14:38:41  8.11.2023	14:39:27  8.11.2023	14:39:46  8.11.2023	14:40:09  8.11.2023	14:40:32  8.11.2023	14:41:00  8.11.2023	14:41:20  8.11.2023	14:41:42  8.11.2023	14:42:03  8.11.2023	14:44:16  8.11.2023	14:44:38  8.11.2023	14:44:56  8.11.2023	14:45:20  8.11.2023	14:46:28  8.11.2023	14:46:48  8.11.2023	14:47:10  8.11.2023	14:48:12  8.11.2023	14:48:42  8.11.2023	14:49:03  8.11.2023	14:49:22  8.11.2023	14:49:45  8.11.2023	15:04:29  8.11.2023	15:04:48  8.11.2023	15:05:08  8.11.2023	15:05:26  8.11.2023	15:05:53  8.11.2023	15:06:13  8.11.2023	15:06:31  8.11.2023	15:06:51  8.11.2023	15:07:13  8.11.2023	15:07:30  8.11.2023	15:07:50  8.11.2023	15:08:07  8.11.2023	
Bckg	520	292	422	455	292	487	299	357	422	357	650	357	292	357	292	455	357	292	357	737	438	299	390	455	357	325	325	357	325	390	487	357	292	780	325	357	325	357	487	552	487	422	487	408	422	325	309	422	390	390	239	292	357	357	325	325	279	289	422	487	
Fo	7217	7087	6892	6274	6372	6990	5224	5982	7185	7120	5917	6730	7022	6405	6600	6177	7413	6372	5982	4925	5314	5284	6567	6242	7218	6014	6437	6372	6664	7022	6632	6242	6567	6762	8095	7185	6827	5982	6177	6665	6112	7868	6242	4626	6242	6794	5094	6145	6339	5787	5334	5494	5982	5755	6534	6762	5623	5005	5657	5950	
Fj	19701	19767	19182	19246	17784	16613	17038	16971	15866	15638	14532	19897	19637	16873	18856	17718	18726	19897	16711	15454	16082	12821	16450	18141	17589	18791	17556	15410	17328	14532	15833	16191	16971	13882	18043	16451	19961	14598	16646	17491	14500	20287	15215	11496	14858	17653	12721	15020	18628	19051	16490	17621	19214	17979	19506	22497	18175	16370	18174	15996	
Fi	20417	20677	20775	21587	18856	17329	22871	18531	17003	15670	16125	22075	20807	17849	21522	18986	18922	22953	18206	18963	22652	14067	16938	22757	17816	24903	18238	15865	18238	13589	15508	16841	18434	13134	17426	16256	22042	14955	18759	19572	14955	20612	16288	12523	14923	17783	13349	15508	23180	25228	19491	20092	22563	19897	21067	27309	23120	22542	24643	18499	
Fm	26626	25944	26659	28252	24578	22270	30727	24708	20775	19669	21587	28252	26529	23245	28155	25586	24611	30560	24091	27179	30409	18564	22270	30300	23278	32771	24480	21913	23830	18043	20937	21848	23506	18303	21489	20482	28772	20287	24351	25001	20124	27147	21978	16740	20482	23277	17826	21262	31048	33551	26879	27374	29845	30398	26659	35729	31684	31485	35014	24253	
Fv	19409	18857	19767	21978	18206	15280	25503	18726	13590	12549	15670	21522	19507	16840	21555	19409	17198	24188	18109	22254	25095	13280	15703	24058	16060	26757	18043	15541	17166	11021	14305	15606	16939	11541	13394	13297	21945	14305	18174	18336	14012	19279	15736	12114	14240	16483	12732	15117	24709	27764	21545	21880	23863	24643	20125	28967	26061	26480	29357	18303	
Vj	0.643	0.672	0.622	0.590	0.627	0.630	0.463	0.587	0.639	0.679	0.550	0.612	0.647	0.622	0.569	0.595	0.658	0.559	0.592	0.473	0.429	0.568	0.629	0.495	0.646	0.478	0.616	0.582	0.621	0.681	0.643	0.638	0.614	0.617	0.743	0.697	0.598	0.602	0.576	0.590	0.599	0.644	0.570	0.567	0.605	0.659	0.599	0.587	0.497	0.478	0.518	0.554	0.554	0.496	0.645	0.543	0.482	0.429	0.426	0.549	
Vi	0.680	0.721	0.702	0.697	0.686	0.677	0.692	0.670	0.722	0.681	0.651	0.713	0.707	0.680	0.692	0.660	0.669	0.686	0.675	0.631	0.691	0.661	0.660	0.686	0.660	0.706	0.654	0.611	0.674	0.596	0.620	0.679	0.701	0.552	0.697	0.682	0.693	0.627	0.692	0.704	0.631	0.661	0.638	0.652	0.610	0.667	0.648	0.619	0.682	0.700	0.657	0.667	0.695	0.574	0.722	0.709	0.671	0.662	0.647	0.686	
Fm/Fo	3.689	3.661	3.868	4.503	3.857	3.186	5.882	4.130	2.891	2.763	3.648	4.198	3.778	3.629	4.266	4.142	3.320	4.796	4.027	5.519	5.722	3.513	3.391	4.854	3.225	5.449	3.803	3.439	3.576	2.569	3.157	3.500	3.579	2.707	2.655	2.851	4.214	3.391	3.942	3.751	3.293	3.450	3.521	3.619	3.281	3.426	3.499	3.460	4.898	5.798	5.039	4.983	4.989	5.282	4.080	5.284	5.635	6.291	6.189	4.076	
Fv/Fo	2.689	2.661	2.868	3.503	2.857	2.186	4.882	3.130	1.891	1.763	2.648	3.198	2.778	2.629	3.266	3.142	2.320	3.796	3.027	4.519	4.722	2.513	2.391	3.854	2.225	4.449	2.803	2.439	2.576	1.569	2.157	2.500	2.579	1.707	1.655	1.851	3.214	2.391	2.942	2.751	2.293	2.450	2.521	2.619	2.281	2.426	2.499	2.460	3.898	4.798	4.039	3.983	3.989	4.282	3.080	4.284	4.635	5.291	5.189	3.076	
