FluorPen ASCII Export File
-----------------------------------
File Name: Untitled - 1
-----------------------------------

time	14:16:26  9.11.2023	14:16:53  9.11.2023	14:17:19  9.11.2023	14:17:52  9.11.2023	14:18:28  9.11.2023	14:18:55  9.11.2023	14:19:20  9.11.2023	14:19:47  9.11.2023	14:22:02  9.11.2023	14:22:28  9.11.2023	14:22:55  9.11.2023	14:23:17  9.11.2023	14:27:20  9.11.2023	14:27:54  9.11.2023	14:28:24  9.11.2023	14:28:53  9.11.2023	14:30:02  9.11.2023	14:30:26  9.11.2023	14:30:56  9.11.2023	14:31:15  9.11.2023	14:31:58  9.11.2023	14:32:20  9.11.2023	14:32:42  9.11.2023	14:33:05  9.11.2023	14:36:13  9.11.2023	14:36:51  9.11.2023	14:37:19  9.11.2023	14:37:54  9.11.2023	14:39:09  9.11.2023	14:39:29  9.11.2023	14:39:54  9.11.2023	14:40:30  9.11.2023	14:41:21  9.11.2023	14:41:48  9.11.2023	14:42:11  9.11.2023	14:42:32  9.11.2023	14:44:35  9.11.2023	14:45:01  9.11.2023	14:45:25  9.11.2023	14:45:54  9.11.2023	14:46:41  9.11.2023	14:47:15  9.11.2023	14:47:55  9.11.2023	14:48:27  9.11.2023	14:50:05  9.11.2023	14:50:27  9.11.2023	14:50:51  9.11.2023	14:51:18  9.11.2023	14:54:16  9.11.2023	14:54:39  9.11.2023	14:55:03  9.11.2023	14:55:26  9.11.2023	14:55:59  9.11.2023	14:56:23  9.11.2023	14:56:48  9.11.2023	14:57:33  9.11.2023	14:58:52  9.11.2023	14:59:14  9.11.2023	14:59:36  9.11.2023	15:00:01  9.11.2023	
Bckg	249	209	185	209	229	209	279	309	229	259	219	269	229	219	219	259	219	269	199	229	219	292	219	219	329	259	269	299	455	520	239	219	259	279	289	357	199	209	239	239	219	348	239	269	325	239	422	319	422	269	357	239	408	329	249	528	219	199	209	239	
Fo	4935	4955	3910	5144	4706	4795	4616	4586	5005	4686	4357	4347	4466	4726	5194	4686	4446	4446	3848	4736	4576	5852	5025	4825	4496	4426	5054	4676	7412	6437	4217	4686	5094	4207	4696	5494	4885	4337	5214	5114	4805	4288	4686	4586	5559	4217	5560	4586	6860	4486	5885	4965	5065	4895	4676	3908	5543	5075	4805	4666	
Fj	15393	14925	3910	11695	13260	15423	14975	14466	14476	13509	12622	12701	13390	9980	15723	14426	13400	13130	11226	14327	13878	19409	17019	14257	13469	12971	15164	13978	18173	16190	12024	14038	13120	12362	13878	14858	14197	12462	13908	14696	14516	8445	10458	13200	14955	11166	14988	9970	18922	12442	16678	15314	15673	14257	13948	9920	16052	15094	13071	13519	
Fi	24167	26131	3910	25782	17906	21635	18993	21355	23120	20269	21376	24576	19611	17736	25892	24027	17437	21196	15184	25902	21096	28577	24616	17108	17766	20797	24596	21934	17523	15930	15364	19780	14217	19292	22083	15020	16939	17776	19491	18524	18973	14008	16291	16101	22335	12861	17329	17407	19312	15663	18076	19920	18275	15932	22263	12213	24626	23828	22313	17188	
Fm	33569	36370	3910	35034	25613	29511	26141	29989	31615	28225	30787	33409	28464	23898	35882	33230	24626	29561	22821	34626	29780	36835	33449	23230	24934	29601	33828	31475	23375	21750	22642	28305	19681	27567	29750	20905	23629	25932	26191	24855	27048	26790	22622	21974	29845	17687	23148	23638	26106	23110	24123	27896	25872	22542	31096	18684	33998	33878	31515	25772	
Fv	28634	31415	0	29890	20907	24716	21525	25403	26610	23539	26430	29062	23998	19172	30688	28544	20180	25115	18973	29890	25204	30983	28424	18405	20438	25175	28774	26799	15963	15313	18425	23619	14587	23360	25054	15411	18744	21595	20977	19741	22243	22502	17936	17388	24286	13470	17588	19052	19246	18624	18238	22931	20807	17647	26420	14776	28455	28803	26710	21106	
Vj	0.365	0.317	0.000	0.219	0.409	0.430	0.481	0.389	0.356	0.375	0.313	0.287	0.372	0.274	0.343	0.341	0.444	0.346	0.389	0.321	0.369	0.438	0.422	0.512	0.439	0.339	0.351	0.347	0.674	0.637	0.424	0.396	0.550	0.349	0.366	0.608	0.497	0.376	0.414	0.485	0.437	0.185	0.322	0.495	0.387	0.516	0.536	0.283	0.627	0.427	0.592	0.451	0.510	0.531	0.351	0.407	0.369	0.348	0.309	0.419	
Vi	0.672	0.674	0.000	0.690	0.631	0.681	0.668	0.660	0.681	0.662	0.644	0.696	0.631	0.679	0.674	0.678	0.644	0.667	0.597	0.708	0.655	0.733	0.689	0.667	0.649	0.650	0.679	0.644	0.633	0.620	0.605	0.639	0.625	0.646	0.694	0.618	0.643	0.622	0.681	0.679	0.637	0.432	0.647	0.662	0.691	0.642	0.669	0.673	0.647	0.600	0.668	0.652	0.635	0.625	0.666	0.562	0.671	0.651	0.655	0.593	
Fm/Fo	6.802	7.340	1.000	6.811	5.443	6.155	5.663	6.539	6.317	6.023	7.066	7.686	6.373	5.057	6.908	7.091	5.539	6.649	5.931	7.311	6.508	6.294	6.657	4.815	5.546	6.688	6.693	6.731	3.154	3.379	5.369	6.040	3.864	6.553	6.335	3.805	4.837	5.979	5.023	4.860	5.629	6.248	4.828	4.792	5.369	4.194	4.163	5.154	3.806	5.152	4.099	5.619	5.108	4.605	6.650	4.781	6.134	6.675	6.559	5.523	
Fv/Fo	5.802	6.340	0.000	5.811	4.443	5.155	4.663	5.539	5.317	5.023	6.066	6.686	5.373	4.057	5.908	6.091	4.539	5.649	4.931	6.311	5.508	5.294	5.657	3.815	4.546	5.688	5.693	5.731	2.154	2.379	4.369	5.040	2.864	5.553	5.335	2.805	3.837	4.979	4.023	3.860	4.629	5.248	3.828	3.792	4.369	3.194	3.163	4.154	2.806	4.152	3.099	4.619	4.108	3.605	5.650	3.781	5.134	5.675	5.559	4.523	
