FluorPen ASCII Export File
-----------------------------------
File Name: Untitled - 1
-----------------------------------

time	15:21:32  29.11.2023	15:21:51  29.11.2023	15:22:11  29.11.2023	15:22:30  29.11.2023	15:22:54  29.11.2023	15:23:10  29.11.2023	15:23:27  29.11.2023	15:23:44  29.11.2023	15:24:24  29.11.2023	15:24:47  29.11.2023	15:25:31  29.11.2023	15:25:53  29.11.2023	15:28:02  29.11.2023	15:28:22  29.11.2023	15:28:44  29.11.2023	15:29:02  29.11.2023	15:29:21  29.11.2023	15:29:39  29.11.2023	15:29:58  29.11.2023	15:30:19  29.11.2023	15:30:43  29.11.2023	15:31:02  29.11.2023	15:31:20  29.11.2023	15:31:38  29.11.2023	15:32:33  29.11.2023	15:32:49  29.11.2023	15:33:10  29.11.2023	15:33:31  29.11.2023	15:34:00  29.11.2023	15:34:18  29.11.2023	15:34:36  29.11.2023	15:34:55  29.11.2023	15:36:09  29.11.2023	15:36:30  29.11.2023	15:36:49  29.11.2023	15:37:08  29.11.2023	15:38:55  29.11.2023	15:39:14  29.11.2023	15:39:31  29.11.2023	15:39:48  29.11.2023	15:40:09  29.11.2023	15:40:27  29.11.2023	15:40:49  29.11.2023	15:41:08  29.11.2023	15:41:49  29.11.2023	15:42:09  29.11.2023	15:42:27  29.11.2023	15:42:47  29.11.2023	15:43:40  29.11.2023	15:44:00  29.11.2023	15:44:18  29.11.2023	15:44:42  29.11.2023	15:45:09  29.11.2023	15:45:28  29.11.2023	15:45:49  29.11.2023	15:46:06  29.11.2023	15:46:45  29.11.2023	15:47:07  29.11.2023	15:47:26  29.11.2023	15:47:45  29.11.2023	
Bckg	209	422	487	279	239	269	219	292	319	199	209	229	292	229	390	325	292	292	249	520	219	357	357	292	209	239	487	325	357	552	617	455	357	357	357	325	292	390	357	325	585	552	357	487	325	422	390	422	309	358	390	390	368	388	487	390	487	292	488	289	
Fo	4965	5982	7835	4626	4337	3649	3769	5527	5084	4078	4277	5075	6145	3798	5331	6762	6502	6990	4556	7055	5274	7705	8160	5755	4147	4845	7835	5949	6827	7803	9201	6469	8355	6957	7933	5917	7315	6859	7900	6957	7250	6567	5364	9103	6762	6892	7120	6957	4137	4856	6827	5429	4746	4776	6047	6079	5202	4779	3868	3968	
Fj	16062	16288	20547	13439	12692	9671	10508	14728	14217	11645	12123	13140	17686	10578	15345	17686	16938	16906	12941	16678	14875	19149	20710	15703	12024	14077	19117	15507	15898	17296	16743	15572	21002	16548	17849	17621	18174	17848	17621	18141	17653	17199	13720	17491	17621	16028	15832	18726	11814	11017	16710	14630	12622	13081	17491	15020	14663	14370	10678	10847	
Fi	22163	18336	19377	21934	20867	16041	18155	15085	17557	19352	19850	19930	22433	15772	16580	21132	15638	16061	15812	14955	16181	17849	19799	17524	21445	24406	17524	14890	14305	14988	13622	14792	20482	15378	16158	19344	16646	17718	15313	19929	16580	17654	13622	14630	17198	15215	13914	18434	18484	14387	15345	16158	12981	13121	20222	14174	17654	19409	15025	18005	
Fm	30678	23993	25489	31106	29162	24247	25982	19669	25234	28195	28574	27188	31633	22731	22660	28479	22693	22238	23150	20937	21545	24448	26822	22400	30149	32622	23961	21554	18954	20970	18922	21034	27114	21197	21913	27731	22205	24058	20905	26886	23115	25261	20287	20059	22952	20937	19636	25944	26779	21695	20937	23115	18694	19023	28512	20417	25424	28122	22502	26470	
Fv	25713	18011	17654	26480	24825	20598	22213	14142	20150	24117	24297	22113	25488	18933	17329	21717	16191	15248	18594	13882	16271	16743	18662	16645	26002	27777	16126	15605	12127	13167	9721	14565	18759	14240	13980	21814	14890	17199	13005	19929	15865	18694	14923	10956	16190	14045	12516	18987	22642	16839	14110	17686	13948	14247	22465	14338	20222	23343	18634	22502	
Vj	0.432	0.572	0.720	0.333	0.337	0.292	0.303	0.651	0.453	0.314	0.323	0.365	0.453	0.358	0.578	0.503	0.645	0.650	0.451	0.693	0.590	0.684	0.672	0.598	0.303	0.332	0.700	0.612	0.748	0.721	0.776	0.625	0.674	0.674	0.709	0.537	0.729	0.639	0.747	0.561	0.656	0.569	0.560	0.766	0.671	0.650	0.696	0.620	0.339	0.366	0.700	0.520	0.565	0.583	0.509	0.624	0.468	0.411	0.365	0.306	
Vi	0.669	0.686	0.654	0.654	0.666	0.602	0.648	0.676	0.619	0.633	0.641	0.672	0.639	0.632	0.649	0.662	0.564	0.595	0.605	0.569	0.670	0.606	0.624	0.707	0.665	0.704	0.601	0.573	0.617	0.546	0.455	0.571	0.646	0.591	0.588	0.616	0.627	0.631	0.570	0.651	0.588	0.593	0.553	0.504	0.645	0.593	0.543	0.604	0.634	0.566	0.604	0.607	0.590	0.586	0.631	0.565	0.616	0.627	0.599	0.624	
Fm/Fo	6.179	4.011	3.253	6.724	6.724	6.645	6.894	3.559	4.963	6.914	6.681	5.357	5.148	5.985	4.251	4.212	3.490	3.181	5.081	2.968	4.085	3.173	3.287	3.892	7.270	6.733	3.058	3.623	2.776	2.687	2.057	3.252	3.245	3.047	2.762	4.687	3.036	3.508	2.646	3.865	3.188	3.847	3.782	2.204	3.394	3.038	2.758	3.729	6.473	4.468	3.067	4.258	3.939	3.983	4.715	3.359	4.887	5.884	5.817	6.671	
Fv/Fo	5.179	3.011	2.253	5.724	5.724	5.645	5.894	2.559	3.963	5.914	5.681	4.357	4.148	4.985	3.251	3.212	2.490	2.181	4.081	1.968	3.085	2.173	2.287	2.892	6.270	5.733	2.058	2.623	1.776	1.687	1.057	2.252	2.245	2.047	1.762	3.687	2.036	2.508	1.646	2.865	2.188	2.847	2.782	1.204	2.394	2.038	1.758	2.729	5.473	3.468	2.067	3.258	2.939	2.983	3.715	2.359	3.887	4.884	4.817	5.671	
