FluorPen ASCII Export File
-----------------------------------
File Name: Untitled - 1
-----------------------------------

time	14:14:45  10.1.2024	14:15:10  10.1.2024	14:15:29  10.1.2024	14:15:50  10.1.2024	14:16:24  10.1.2024	14:16:43  10.1.2024	14:17:02  10.1.2024	14:17:23  10.1.2024	14:18:12  10.1.2024	14:18:37  10.1.2024	14:19:00  10.1.2024	14:19:20  10.1.2024	14:20:22  10.1.2024	14:20:45  10.1.2024	14:21:06  10.1.2024	14:21:27  10.1.2024	14:21:54  10.1.2024	14:22:26  10.1.2024	14:22:44  10.1.2024	14:23:17  10.1.2024	14:24:18  10.1.2024	14:24:38  10.1.2024	14:24:59  10.1.2024	14:25:22  10.1.2024	14:28:00  10.1.2024	14:28:31  10.1.2024	14:28:50  10.1.2024	14:29:09  10.1.2024	14:30:53  10.1.2024	14:31:10  10.1.2024	14:31:30  10.1.2024	14:31:54  10.1.2024	14:32:42  10.1.2024	14:33:00  10.1.2024	14:33:18  10.1.2024	14:33:36  10.1.2024	14:34:50  10.1.2024	14:35:06  10.1.2024	14:35:29  10.1.2024	14:35:47  10.1.2024	14:36:05  10.1.2024	14:36:22  10.1.2024	14:36:41  10.1.2024	14:36:58  10.1.2024	14:38:32  10.1.2024	14:38:49  10.1.2024	14:39:08  10.1.2024	14:39:29  10.1.2024	14:40:40  10.1.2024	14:40:57  10.1.2024	14:41:13  10.1.2024	14:41:35  10.1.2024	14:42:08  10.1.2024	14:42:26  10.1.2024	14:42:44  10.1.2024	14:43:01  10.1.2024	14:50:50  10.1.2024	14:51:07  10.1.2024	14:51:28  10.1.2024	14:52:22  10.1.2024	
Bckg	229	279	229	229	219	219	219	239	209	259	239	209	199	199	179	209	199	219	219	229	229	219	219	239	358	578	299	618	309	348	418	538	259	219	358	269	239	229	299	239	378	329	269	289	388	309	638	348	259	249	229	329	418	269	348	428	259	269	388	348	
Fo	4516	4337	3998	4795	4766	4506	4307	4147	4556	4396	4526	5025	5832	4756	4885	5224	4656	4446	4726	5503	4616	4985	5354	4307	4208	4456	4027	4307	4985	5354	4576	5424	4735	4496	5055	4606	4975	5274	5453	5035	5085	4297	4716	4755	4876	5274	4656	4357	4087	4716	4456	4396	4307	5473	4168	5314	4606	4666	4806	4666	
Fj	11276	10628	9102	13808	13579	12393	12343	10648	12403	10807	11047	14476	16829	14038	14078	13380	12901	12642	13998	16430	13080	14626	14835	12054	7797	8724	9003	9581	14755	11974	9532	11864	10349	12403	11476	10039	12452	12213	15054	13858	11406	8534	9830	12362	10708	10588	10149	9023	9381	11615	12582	10179	9282	13190	8744	11625	12223	11714	11306	11376	
Fi	17677	15712	11505	26460	27597	23709	25553	14696	19292	14327	17507	27138	28624	27816	23838	19322	23120	24546	27816	31874	25752	29820	27387	24526	7259	8714	11924	10319	16570	13271	9222	12462	11585	15164	12882	10618	13041	13031	16979	18544	12293	8454	10698	14366	10967	10757	11236	8963	11874	13150	20727	11016	9661	13778	8874	11456	20578	15982	14786	14567	
Fm	23828	22233	16111	33359	33679	30199	31734	20418	25802	19611	23689	33539	34955	34187	29661	25045	28933	31216	33160	36849	32023	36291	33768	29890	10838	12582	17557	15134	24077	18086	13549	17198	15483	21376	17418	14436	17487	17507	22970	24576	16261	12482	14047	20967	15314	14705	15274	12682	17557	18574	27178	15353	14686	19082	13380	16431	28334	21964	20060	20539	
Fv	19312	17896	12113	28564	28913	25693	27427	16271	21246	15215	19163	28514	29123	29431	24776	19821	24277	26770	28434	31346	27407	31306	28414	25583	6630	8126	13530	10827	19092	12732	8973	11774	10748	16880	12363	9830	12512	12233	17517	19541	11176	8185	9331	16212	10438	9431	10618	8325	13470	13858	22722	10957	10379	13609	9212	11117	23728	17298	15254	15873	
Vj	0.350	0.352	0.421	0.316	0.305	0.307	0.293	0.400	0.369	0.421	0.340	0.331	0.378	0.315	0.371	0.411	0.340	0.306	0.326	0.349	0.309	0.308	0.334	0.303	0.541	0.525	0.368	0.487	0.512	0.520	0.552	0.547	0.522	0.468	0.519	0.553	0.598	0.567	0.548	0.452	0.566	0.518	0.548	0.469	0.559	0.563	0.517	0.560	0.393	0.498	0.358	0.528	0.479	0.567	0.497	0.568	0.321	0.407	0.426	0.423	
Vi	0.681	0.636	0.620	0.758	0.790	0.747	0.775	0.648	0.694	0.653	0.677	0.776	0.783	0.784	0.765	0.711	0.761	0.751	0.812	0.841	0.771	0.793	0.775	0.790	0.460	0.524	0.584	0.555	0.607	0.622	0.518	0.598	0.637	0.632	0.633	0.612	0.645	0.634	0.658	0.691	0.645	0.508	0.641	0.593	0.584	0.581	0.620	0.553	0.578	0.609	0.716	0.604	0.516	0.610	0.511	0.552	0.673	0.654	0.654	0.624	
Fm/Fo	5.276	5.126	4.030	6.957	7.067	6.702	7.368	4.924	5.663	4.461	5.234	6.674	5.994	7.188	6.072	4.794	6.214	7.021	7.017	6.696	6.937	7.280	6.307	6.940	2.576	2.824	4.360	3.514	4.830	3.378	2.961	3.171	3.270	4.754	3.446	3.134	3.515	3.319	4.212	4.881	3.198	2.905	2.979	4.409	3.141	2.788	3.280	2.911	4.296	3.939	6.099	3.492	3.410	3.487	3.210	3.092	6.152	4.707	4.174	4.402	
Fv/Fo	4.276	4.126	3.030	5.957	6.067	5.702	6.368	3.924	4.663	3.461	4.234	5.674	4.994	6.188	5.072	3.794	5.214	6.021	6.017	5.696	5.937	6.280	5.307	5.940	1.576	1.824	3.360	2.514	3.830	2.378	1.961	2.171	2.270	3.754	2.446	2.134	2.515	2.319	3.212	3.881	2.198	1.905	1.979	3.409	2.141	1.788	2.280	1.911	3.296	2.939	5.099	2.492	2.410	2.487	2.210	2.092	5.152	3.707	3.174	3.402	
