FluorPen ASCII Export File
-----------------------------------
File Name: Untitled - 1
-----------------------------------

time	14:40:40  8.3.2024	14:41:02  8.3.2024	14:41:24  8.3.2024	14:41:44  8.3.2024	14:42:10  8.3.2024	14:42:32  8.3.2024	14:42:51  8.3.2024	14:43:10  8.3.2024	14:43:59  8.3.2024	14:44:18  8.3.2024	14:44:36  8.3.2024	14:44:54  8.3.2024	14:46:01  8.3.2024	14:46:21  8.3.2024	14:46:40  8.3.2024	14:47:02  8.3.2024	14:47:31  8.3.2024	14:47:51  8.3.2024	14:48:13  8.3.2024	14:48:31  8.3.2024	14:48:56  8.3.2024	14:49:14  8.3.2024	14:49:33  8.3.2024	14:49:50  8.3.2024	14:54:00  8.3.2024	14:54:17  8.3.2024	14:54:36  8.3.2024	14:54:54  8.3.2024	14:55:37  8.3.2024	14:55:55  8.3.2024	14:56:14  8.3.2024	14:56:34  8.3.2024	14:57:01  8.3.2024	14:57:20  8.3.2024	14:57:38  8.3.2024	14:57:57  8.3.2024	14:58:59  8.3.2024	14:59:20  8.3.2024	14:59:41  8.3.2024	15:00:02  8.3.2024	15:00:29  8.3.2024	15:00:49  8.3.2024	15:01:12  8.3.2024	15:01:34  8.3.2024	15:02:49  8.3.2024	15:03:10  8.3.2024	15:03:28  8.3.2024	15:03:52  8.3.2024	15:05:35  8.3.2024	15:06:13  8.3.2024	15:06:31  8.3.2024	15:06:52  8.3.2024	15:07:28  8.3.2024	15:07:46  8.3.2024	15:08:05  8.3.2024	15:08:26  8.3.2024	15:19:03  8.3.2024	15:19:27  8.3.2024	15:19:53  8.3.2024	15:20:16  8.3.2024	
Mo	0.411	0.403	0.370	0.339	0.301	0.469	0.376	0.449	0.505	0.586	0.579	0.505	0.474	0.558	0.414	0.381	0.439	0.483	0.386	0.404	0.594	0.589	0.364	0.596	0.473	0.266	0.559	0.365	0.524	0.548	0.555	0.486	0.559	0.519	0.525	0.536	0.443	0.382	0.335	0.547	0.449	0.411	0.519	0.312	0.435	0.483	0.446	0.364	0.666	0.583	0.523	0.513	0.368	0.353	0.456	0.398	0.465	0.347	0.376	0.360	
Area	13620144	12138026	13327033	12386495	10433733	6287187	9901802	10224553	11931369	8465407	12978810	20134292	14075870	18418700	12455110	10258014	9664804	13188252	39634360	20193320	9085126	9704946	11467691	8349385	15422660	17173460	11013962	12476564	14115352	12297685	10857479	5284525	8530683	9515318	9960629	10090539	9870867	12088039	9547689	12747010	8883885	21558750	10515977	14131491	18259606	7839612	13408255	12861452	7661920	10847575	9743109	8860825	10510179	10484996	5034316	11330697	10129472	12038092	10058931	12897864	
Fix Area	25422548	25024104	27329304	25545216	19181554	15511346	19647860	21976114	24638070	36967580	30390852	38543024	25757494	28272870	29073492	31097094	18794632	22073550	32314946	26652740	14196545	17681634	27049068	16117323	15749767	29145994	20166236	29909544	25850616	25562888	14823957	15921467	15046077	20868028	18211782	18064028	19945926	24861878	23676876	15529622	13312677	28960488	20704778	28358868	23317180	15215672	21270682	22238600	16821898	17806980	18177736	19609594	19934224	24572340	24431494	24364966	20022050	23836510	26209720	25526982	
HACH Area	20487746	20229296	23052476	21408382	15432704	11274515	15730016	17330300	19583272	30173850	24117102	32464266	20822690	21836128	24387680	26561276	14477804	17098748	27460140	21727938	9570730	11016901	22553248	11172521	11382942	24540178	14411466	25253730	19835856	19061148	10268140	10956665	10479260	16232213	13306979	13269219	15629098	20495052	19450046	10604819	9364835	23975688	15859972	24042040	18382378	10998841	16654867	18041768	11498112	12732183	13601919	14903782	15517401	20106518	19965672	19849146	15496230	19978664	21962890	20811172	
Sm	638.065	576.437	559.771	556.371	645.612	535.764	602.263	567.526	579.249	272.366	520.485	605.980	648.807	815.167	496.932	375.366	637.772	739.003	1389.509	844.979	908.513	845.673	489.654	717.609	1288.012	677.107	728.581	479.646	677.353	624.185	1007.468	456.547	776.434	563.403	716.180	728.611	605.909	568.154	471.514	1100.303	891.956	871.589	638.842	564.921	951.914	678.461	776.930	686.897	639.346	817.451	686.763	570.085	605.879	504.377	242.758	549.021	627.523	579.367	442.501	596.433	
Ss	0.846	0.851	0.919	0.959	1.000	0.888	0.929	0.789	0.786	0.673	0.667	0.736	0.807	0.688	0.864	0.875	0.891	0.827	0.878	0.805	0.869	0.765	0.943	0.825	0.886	0.988	0.758	0.904	0.705	0.759	0.819	0.744	0.836	0.861	0.801	0.863	0.905	0.919	0.944	0.832	0.855	0.810	0.843	0.964	0.825	0.927	0.830	0.946	0.714	0.754	0.800	0.806	0.863	0.943	0.820	0.863	0.861	0.986	0.924	0.856	
N	754.531	677.466	609.277	580.307	645.479	603.529	648.091	718.932	736.570	404.605	780.808	822.885	803.724	1184.434	575.471	429.179	716.043	893.987	1583.244	1050.051	1045.036	1105.969	519.474	870.210	1453.669	685.240	961.582	530.383	960.337	822.494	1230.778	613.236	928.575	653.986	894.428	844.602	669.562	618.229	499.432	1322.700	1043.535	1076.177	757.488	585.833	1153.533	732.082	935.574	726.187	895.735	1084.328	858.570	707.153	702.436	534.990	296.185	636.304	728.435	587.587	478.974	696.376	
Phi_Po	0.812	0.815	0.848	0.843	0.812	0.735	0.808	0.795	0.803	0.821	0.799	0.845	0.815	0.778	0.842	0.858	0.778	0.782	0.855	0.829	0.684	0.633	0.839	0.702	0.733	0.846	0.724	0.848	0.776	0.752	0.703	0.700	0.706	0.785	0.739	0.743	0.791	0.830	0.827	0.702	0.716	0.832	0.773	0.853	0.795	0.733	0.789	0.817	0.692	0.723	0.756	0.768	0.797	0.823	0.823	0.820	0.781	0.843	0.843	0.821	
Psi_o	0.652	0.657	0.660	0.675	0.699	0.584	0.651	0.645	0.603	0.606	0.614	0.628	0.617	0.616	0.643	0.667	0.609	0.601	0.661	0.675	0.484	0.550	0.656	0.508	0.581	0.737	0.576	0.670	0.630	0.584	0.546	0.638	0.533	0.553	0.580	0.538	0.599	0.649	0.684	0.545	0.617	0.667	0.563	0.699	0.641	0.552	0.630	0.655	0.525	0.561	0.582	0.586	0.683	0.667	0.626	0.657	0.600	0.657	0.653	0.692	
Phi_Eo	0.530	0.535	0.559	0.569	0.567	0.429	0.525	0.513	0.484	0.497	0.491	0.531	0.503	0.479	0.542	0.572	0.474	0.470	0.565	0.560	0.331	0.348	0.551	0.357	0.426	0.624	0.417	0.568	0.489	0.439	0.384	0.447	0.376	0.434	0.429	0.399	0.474	0.538	0.566	0.382	0.442	0.555	0.435	0.596	0.510	0.405	0.497	0.535	0.363	0.405	0.440	0.450	0.544	0.549	0.515	0.539	0.468	0.554	0.550	0.568	
Phi_Do	0.188	0.185	0.152	0.157	0.188	0.265	0.192	0.205	0.197	0.179	0.201	0.155	0.185	0.222	0.158	0.142	0.222	0.218	0.145	0.171	0.316	0.367	0.161	0.298	0.267	0.154	0.276	0.152	0.224	0.248	0.297	0.300	0.294	0.215	0.261	0.257	0.209	0.170	0.173	0.298	0.284	0.168	0.227	0.147	0.205	0.267	0.211	0.183	0.308	0.277	0.244	0.232	0.203	0.177	0.177	0.180	0.219	0.157	0.157	0.179	
Phi_Pav	939.505	936.005	945.983	935.339	933.093	933.630	932.401	936.787	927.206	925.040	941.654	963.577	941.154	958.899	948.006	942.363	933.690	944.866	971.990	907.955	953.258	952.552	930.193	947.257	961.472	952.495	939.585	942.556	935.921	954.609	954.816	908.648	942.978	937.318	942.726	946.819	936.205	939.748	925.200	928.401	937.120	965.108	946.221	941.668	956.425	934.987	955.357	948.447	938.637	951.238	941.357	947.949	875.448	940.131	901.281	935.285	939.579	936.769	928.345	938.708	
Pi_Abs	5.578	5.822	8.414	9.049	8.126	2.532	5.866	4.427	3.902	3.881	3.368	5.748	4.661	3.014	7.002	9.048	3.783	3.494	8.603	6.724	1.203	1.016	7.871	1.407	2.470	12.932	1.961	8.700	3.232	2.429	1.635	2.143	1.620	3.041	2.317	2.154	4.035	6.856	8.095	1.643	2.483	6.701	2.848	11.051	4.563	2.294	4.165	6.558	1.229	1.819	2.609	2.897	5.811	7.239	5.251	6.183	3.596	8.593	7.844	7.245	
ABS/RC	1.456	1.443	1.284	1.237	1.232	1.533	1.333	1.593	1.584	1.810	1.878	1.606	1.521	1.867	1.375	1.333	1.443	1.547	1.333	1.499	1.682	2.067	1.265	1.728	1.540	1.196	1.822	1.304	1.827	1.753	1.738	1.919	1.693	1.479	1.689	1.561	1.398	1.311	1.280	1.713	1.634	1.484	1.535	1.216	1.524	1.473	1.526	1.294	2.023	1.834	1.653	1.616	1.455	1.289	1.483	1.413	1.486	1.202	1.285	1.422	
TRo/RC	1.183	1.175	1.088	1.043	1.000	1.126	1.076	1.267	1.272	1.486	1.500	1.358	1.239	1.453	1.158	1.143	1.123	1.210	1.139	1.243	1.150	1.308	1.061	1.213	1.129	1.012	1.320	1.106	1.418	1.318	1.222	1.343	1.196	1.161	1.249	1.159	1.105	1.088	1.059	1.202	1.170	1.235	1.186	1.037	1.212	1.079	1.204	1.057	1.401	1.326	1.250	1.240	1.159	1.061	1.220	1.159	1.161	1.014	1.082	1.168	
ETo/RC	0.772	0.772	0.718	0.704	0.699	0.657	0.700	0.817	0.766	0.900	0.921	0.853	0.765	0.895	0.744	0.763	0.683	0.727	0.754	0.839	0.556	0.719	0.696	0.616	0.656	0.746	0.761	0.741	0.894	0.770	0.667	0.857	0.637	0.641	0.724	0.623	0.662	0.706	0.724	0.655	0.721	0.824	0.667	0.725	0.777	0.596	0.758	0.693	0.735	0.744	0.727	0.727	0.792	0.708	0.764	0.761	0.696	0.667	0.707	0.808	
DIo/RC	0.273	0.268	0.196	0.194	0.232	0.407	0.256	0.327	0.312	0.325	0.377	0.248	0.282	0.414	0.217	0.190	0.320	0.337	0.194	0.256	0.532	0.760	0.204	0.515	0.412	0.184	0.502	0.198	0.409	0.435	0.516	0.576	0.497	0.319	0.440	0.401	0.293	0.223	0.221	0.511	0.464	0.249	0.349	0.179	0.312	0.394	0.322	0.237	0.622	0.507	0.403	0.376	0.295	0.228	0.263	0.254	0.325	0.188	0.202	0.255	
