"sitio","codigo","pos"
"la_esperanza","T4H79A4",1
"la_esperanza","T4H79A4",2
"la_esperanza","T4H79A4",3
"la_esperanza","T4H79A4",4
"la_esperanza","T4H79A7",5
"la_esperanza","T4H79A7",6
"la_esperanza","T4H79A7",7
"la_esperanza","T4H79A7",8
"la_esperanza","T4H81A4",9
"la_esperanza","T4H81A4",10
"la_esperanza","T4H81A4",11
"la_esperanza","T4H81A4",12
"la_esperanza","T1H86A7",13
"la_esperanza","T1H86A7",14
"la_esperanza","T1H86A7",15
"la_esperanza","T1H86A7",16
"la_esperanza","T1H86A8",17
"la_esperanza","T1H86A8",18
"la_esperanza","T1H86A8",19
"la_esperanza","T1H86A8",20
"la_esperanza","T1H86A11",21
"la_esperanza","T1H86A11",22
"la_esperanza","T1H86A11",23
"la_esperanza","T1H86A11",24
"la_esperanza","T2H93A5",25
"la_esperanza","T2H93A5",26
"la_esperanza","T2H93A5",27
"la_esperanza","T2H93A5",28
"la_esperanza","T2H94A4",29
"la_esperanza","T2H94A4",30
"la_esperanza","T2H94A4",31
"la_esperanza","T2H94A4",32
"la_esperanza","T2H94A6",33
"la_esperanza","T2H94A6",34
"la_esperanza","T2H94A6",35
"la_esperanza","T2H94A6",36
"la_esperanza","T3H98A8",37
"la_esperanza","T3H98A8",38
"la_esperanza","T3H98A8",39
"la_esperanza","T3H98A8",40
"la_esperanza","T3H98A9",41
"la_esperanza","T3H98A9",42
"la_esperanza","T3H98A9",43
"la_esperanza","T3H98A9",44
"la_esperanza","T3H99A8",45
"la_esperanza","T3H99A8",46
"la_esperanza","T3H99A8",47
"la_esperanza","T3H99A8",48
"la_esperanza","T0H103A4",49
"la_esperanza","T0H103A4",50
"la_esperanza","T0H103A4",51
"la_esperanza","T0H103A4",52
"la_esperanza","T0H103A8",53
"la_esperanza","T0H103A8",54
"la_esperanza","T0H103A8",55
"la_esperanza","T0H103A8",56
"la_esperanza","T0H105A6",57
"la_esperanza","T0H105A6",58
"la_esperanza","T0H105A6",59
"la_esperanza","T0H105A6",60
"rio_claro","T3H72A5",1
"rio_claro","T3H72A5",2
"rio_claro","T3H72A5",3
"rio_claro","T3H72A5",4
"rio_claro","T3H72A6",5
"rio_claro","T3H72A6",6
"rio_claro","T3H72A6",7
"rio_claro","T3H72A6",8
"rio_claro","T3H72A7",9
"rio_claro","T3H72A7",10
"rio_claro","T3H72A7",11
"rio_claro","T3H72A7",12
"rio_claro","T1H67A5",13
"rio_claro","T1H67A5",14
"rio_claro","T1H67A5",15
"rio_claro","T1H67A5",16
"rio_claro","T1H67A6",17
"rio_claro","T1H67A6",18
"rio_claro","T1H67A6",19
"rio_claro","T1H67A6",20
"rio_claro","T1H66A5",21
"rio_claro","T1H66A5",22
"rio_claro","T1H66A5",23
"rio_claro","T1H66A5",24
"rio_claro","T4H62A6",25
"rio_claro","T4H62A6",26
"rio_claro","T4H62A6",27
"rio_claro","T4H62A6",28
"rio_claro","T4H62A8",29
"rio_claro","T4H62A8",30
"rio_claro","T4H62A8",31
"rio_claro","T4H62A8",32
"rio_claro","T4H61A4",33
"rio_claro","T4H61A4",34
"rio_claro","T4H61A4",35
"rio_claro","T4H61A4",36
"rio_claro","T2H56A5",37
"rio_claro","T2H56A5",38
"rio_claro","T2H56A5",39
"rio_claro","T2H56A5",40
"rio_claro","T2H56A6",41
"rio_claro","T2H56A6",42
"rio_claro","T2H56A6",43
"rio_claro","T2H56A6",44
"rio_claro","T2H55A4",45
"rio_claro","T2H55A4",46
"rio_claro","T2H55A4",47
"rio_claro","T2H55A4",48
"rio_claro","T0H52A8",49
"rio_claro","T0H52A8",50
"rio_claro","T0H52A8",51
"rio_claro","T0H52A8",52
"rio_claro","T0H51A7",53
"rio_claro","T0H51A7",54
"rio_claro","T0H51A7",55
"rio_claro","T0H51A7",56
"rio_claro","T0H51A8",57
"rio_claro","T0H51A8",58
"rio_claro","T0H51A8",59
"rio_claro","T0H51A8",60
