FluorPen ASCII Export File
-----------------------------------
File Name: Untitled - 1
-----------------------------------

time	14:03:17  13.11.2023	14:03:47  13.11.2023	14:04:11  13.11.2023	14:04:30  13.11.2023	14:05:10  13.11.2023	14:05:33  13.11.2023	14:05:54  13.11.2023	14:06:36  13.11.2023	14:07:16  13.11.2023	14:07:49  13.11.2023	14:08:17  13.11.2023	14:08:41  13.11.2023	14:10:16  13.11.2023	14:10:37  13.11.2023	14:11:02  13.11.2023	14:11:22  13.11.2023	14:11:54  13.11.2023	14:12:40  13.11.2023	14:13:12  13.11.2023	14:14:09  13.11.2023	14:14:45  13.11.2023	14:15:21  13.11.2023	14:15:45  13.11.2023	14:16:07  13.11.2023	14:17:36  13.11.2023	14:17:58  13.11.2023	14:18:22  13.11.2023	14:18:48  13.11.2023	14:19:35  13.11.2023	14:19:59  13.11.2023	14:20:23  13.11.2023	14:20:43  13.11.2023	14:21:12  13.11.2023	14:21:32  13.11.2023	14:21:50  13.11.2023	14:22:18  13.11.2023	14:23:58  13.11.2023	14:24:23  13.11.2023	14:24:47  13.11.2023	14:25:07  13.11.2023	14:25:32  13.11.2023	14:25:54  13.11.2023	14:26:15  13.11.2023	14:26:35  13.11.2023	14:27:33  13.11.2023	14:27:53  13.11.2023	14:28:17  13.11.2023	14:28:40  13.11.2023	14:43:18  13.11.2023	14:43:40  13.11.2023	14:44:02  13.11.2023	14:44:25  13.11.2023	14:45:21  13.11.2023	14:45:50  13.11.2023	14:46:10  13.11.2023	14:46:31  13.11.2023	14:47:45  13.11.2023	14:48:08  13.11.2023	14:48:48  13.11.2023	14:49:32  13.11.2023	
Bckg	325	617	229	229	260	455	260	199	249	422	325	292	260	325	279	209	292	585	390	209	260	219	229	249	219	259	199	325	455	249	455	455	325	292	357	249	292	199	239	617	682	455	650	229	487	292	585	455	292	249	229	259	239	325	390	239	325	292	292	422	
Fo	7185	9071	4706	5264	5754	6567	6047	5593	5713	6827	6762	6275	7282	9103	5184	4925	7868	9655	8290	5493	6112	5025	5224	5194	5124	5084	4835	7087	8322	5274	8387	8030	6794	7055	7283	5354	6015	4636	4706	5625	7803	6242	6567	4586	7445	5722	6209	8257	7478	4686	4576	4755	5025	6567	5559	4915	6957	6145	5982	6827	
Fj	18303	21165	15423	16490	15540	17230	15735	16580	14028	17101	17458	21262	17263	18758	16101	14078	22433	21327	17653	17776	18433	16032	16101	17338	16999	16031	15204	18498	18563	16081	16223	18141	18563	20742	17198	16999	16743	15394	15344	15475	16743	13557	14922	14636	16873	15898	16483	18011	19767	15234	12562	15463	16550	19051	13004	16261	15930	14467	18011	15313	
Fi	19246	20222	25164	22442	17360	18466	17328	18763	18783	16711	18076	25326	17393	18823	19980	15992	23115	19409	18271	21774	28317	21116	21894	28175	25553	27397	24546	19734	17100	19411	14662	17198	19116	22368	17621	21076	18824	27029	20927	19279	15801	13199	14597	22143	16581	17361	17035	18791	19767	19521	15005	21216	22522	21945	13719	22203	16938	15735	22075	17296	
Fm	22757	26302	32612	29272	21262	23830	21652	24087	26889	22758	23212	32674	21684	21912	26570	20588	29065	24936	22432	28843	36087	27926	30279	35792	33589	36370	33449	24513	22367	25682	19051	22725	23993	28772	21457	27337	23961	35633	29062	25164	20222	18206	18889	30209	20515	22823	22205	22725	24058	26191	20159	28663	30089	29129	21457	30099	21880	20384	27634	22238	
Fv	15572	17231	27906	24008	15508	17263	15605	18494	21176	15931	16450	26399	14402	12809	21386	15663	21197	15281	14142	23350	29975	22901	25055	30598	28465	31286	28614	17426	14045	20408	10664	14695	17199	21717	14174	21983	17946	30997	24356	19539	12419	11964	12322	25623	13070	17101	15996	14468	16580	21505	15583	23908	25064	22562	15898	25184	14923	14239	21652	15411	
Vj	0.714	0.702	0.384	0.468	0.631	0.618	0.621	0.594	0.393	0.645	0.650	0.568	0.693	0.754	0.510	0.584	0.687	0.764	0.662	0.526	0.411	0.481	0.434	0.397	0.417	0.350	0.362	0.655	0.729	0.530	0.735	0.688	0.684	0.630	0.700	0.530	0.598	0.347	0.437	0.504	0.720	0.611	0.678	0.392	0.721	0.595	0.642	0.674	0.741	0.490	0.512	0.448	0.460	0.553	0.468	0.451	0.601	0.584	0.556	0.551	
Vi	0.775	0.647	0.733	0.716	0.748	0.689	0.723	0.712	0.617	0.620	0.688	0.722	0.702	0.759	0.692	0.707	0.719	0.638	0.706	0.697	0.741	0.703	0.665	0.751	0.718	0.713	0.689	0.726	0.625	0.693	0.588	0.624	0.716	0.705	0.729	0.715	0.714	0.722	0.666	0.699	0.644	0.581	0.652	0.685	0.699	0.681	0.677	0.728	0.741	0.690	0.669	0.689	0.698	0.682	0.513	0.686	0.669	0.674	0.743	0.679	
Fm/Fo	3.167	2.900	6.930	5.561	3.695	3.629	3.581	4.307	4.707	3.334	3.433	5.207	2.978	2.407	5.125	4.180	3.694	2.583	2.706	5.251	5.904	5.557	5.796	6.891	6.555	7.154	6.918	3.459	2.688	4.870	2.271	2.830	3.531	4.078	2.946	5.106	3.984	7.686	6.176	4.474	2.592	2.917	2.876	6.587	2.756	3.989	3.576	2.752	3.217	5.589	4.405	6.028	5.988	4.436	3.860	6.124	3.145	3.317	4.620	3.257	
Fv/Fo	2.167	1.900	5.930	4.561	2.695	2.629	2.581	3.307	3.707	2.334	2.433	4.207	1.978	1.407	4.125	3.180	2.694	1.583	1.706	4.251	4.904	4.557	4.796	5.891	5.555	6.154	5.918	2.459	1.688	3.870	1.271	1.830	2.531	3.078	1.946	4.106	2.984	6.686	5.176	3.474	1.592	1.917	1.876	5.587	1.756	2.989	2.576	1.752	2.217	4.589	3.405	5.028	4.988	3.436	2.860	5.124	2.145	2.317	3.620	2.257	
