FluorPen ASCII Export File
-----------------------------------
File Name: Untitled - 1
-----------------------------------

time	14:00:55  24.11.2023	14:01:14  24.11.2023	14:01:38  24.11.2023	14:02:10  24.11.2023	14:02:40  24.11.2023	14:03:03  24.11.2023	14:03:21  24.11.2023	14:03:41  24.11.2023	14:04:10  24.11.2023	14:04:28  24.11.2023	14:04:46  24.11.2023	14:05:05  24.11.2023	14:06:20  24.11.2023	14:06:38  24.11.2023	14:06:57  24.11.2023	14:07:15  24.11.2023	14:07:41  24.11.2023	14:07:59  24.11.2023	14:08:17  24.11.2023	14:08:43  24.11.2023	14:09:43  24.11.2023	14:10:07  24.11.2023	14:10:25  24.11.2023	14:10:45  24.11.2023	14:11:42  24.11.2023	14:12:02  24.11.2023	14:12:26  24.11.2023	14:13:59  24.11.2023	14:14:27  24.11.2023	14:14:46  24.11.2023	14:15:06  24.11.2023	14:15:27  24.11.2023	14:16:16  24.11.2023	14:16:39  24.11.2023	14:17:22  24.11.2023	14:17:41  24.11.2023	14:18:43  24.11.2023	14:19:04  24.11.2023	14:19:23  24.11.2023	14:19:42  24.11.2023	14:20:14  24.11.2023	14:20:34  24.11.2023	14:20:51  24.11.2023	14:21:13  24.11.2023	14:21:49  24.11.2023	14:22:07  24.11.2023	14:22:26  24.11.2023	14:22:43  24.11.2023	14:36:22  24.11.2023	14:36:50  24.11.2023	14:37:17  24.11.2023	14:37:37  24.11.2023	14:37:56  24.11.2023	14:38:18  24.11.2023	14:38:38  24.11.2023	14:38:56  24.11.2023	14:39:31  24.11.2023	14:39:49  24.11.2023	14:40:07  24.11.2023	14:40:25  24.11.2023	
Bckg	259	299	390	259	292	325	325	325	229	319	325	552	357	422	279	487	279	390	348	428	422	455	422	438	259	520	325	408	398	368	279	378	325	552	455	329	388	422	552	390	388	357	357	338	520	487	520	520	292	357	292	292	292	229	269	259	279	358	299	309	
Fo	5194	5483	6404	4785	5559	5461	5624	5884	5104	4656	5104	5169	5202	5202	4975	5007	5015	5787	4906	5045	5950	5657	6080	5025	5174	6274	5884	5314	5025	5195	5742	5334	6112	4942	6209	5433	5215	6535	5365	5266	4746	5332	5917	5693	5299	5137	5624	5331	6177	5332	6340	5755	6307	4865	5374	5334	5104	4995	5314	4925	
Fj	15603	16580	19506	14008	17719	17686	17198	18921	16490	13499	16125	14468	15898	15605	14745	13980	15643	16450	13779	14467	16646	15995	17459	13480	15054	17133	17230	16162	13450	15274	18873	16122	17881	9558	19084	15124	15095	18304	15605	15410	13181	15313	16223	16571	13752	14403	17263	16060	19702	16386	20905	17784	21132	15543	17098	17098	15892	13938	16101	14097	
Fi	24536	19611	20189	15942	23538	21945	20286	24448	20049	16091	18889	19442	19702	21230	17916	15313	18743	18011	20947	15633	17198	16970	19604	14995	16879	20384	19181	21974	15633	16551	22691	18166	18791	17621	21554	17856	17049	18889	20905	23668	14576	16321	17784	18006	17296	17394	19994	18759	28740	26367	25261	21360	24221	20378	22731	20528	22203	20708	21016	19232	
Fm	34017	27626	27764	22612	32739	30267	27797	34201	29561	24157	27016	28317	29000	29650	24566	22758	26281	24285	30897	21974	23928	24220	26464	22144	24247	27667	27179	31645	21884	24018	31625	26451	25813	22563	29780	25194	23091	25099	28967	31535	20887	23311	24708	25683	23505	24286	27732	27244	38883	35827	34657	29748	32576	30139	31455	29441	31475	29003	30558	28544	
Fv	28823	22143	21360	17827	27180	24806	22173	28317	24457	19501	21912	23148	23798	24448	19591	17751	21266	18498	25991	16929	17978	18563	20384	17119	19073	21393	21295	26331	16859	18823	25883	21117	19701	17621	23571	19761	17876	18564	23602	26269	16141	17979	18791	19990	18206	19149	22108	21913	32706	30495	28317	23993	26269	25274	26081	24107	26371	24008	25244	23619	
Vj	0.361	0.501	0.613	0.517	0.447	0.493	0.522	0.460	0.466	0.453	0.503	0.402	0.449	0.426	0.499	0.505	0.500	0.576	0.341	0.557	0.595	0.557	0.558	0.494	0.518	0.508	0.533	0.412	0.500	0.535	0.507	0.511	0.597	0.262	0.546	0.490	0.553	0.634	0.434	0.386	0.523	0.555	0.548	0.544	0.464	0.484	0.526	0.490	0.414	0.362	0.514	0.501	0.564	0.422	0.450	0.488	0.409	0.373	0.427	0.388	
Vi	0.671	0.638	0.645	0.626	0.661	0.665	0.661	0.656	0.611	0.586	0.629	0.617	0.609	0.656	0.661	0.581	0.646	0.661	0.617	0.625	0.626	0.609	0.663	0.582	0.614	0.660	0.624	0.633	0.629	0.603	0.655	0.608	0.644	0.720	0.651	0.629	0.662	0.665	0.658	0.701	0.609	0.611	0.632	0.616	0.659	0.640	0.650	0.613	0.690	0.690	0.668	0.650	0.682	0.614	0.666	0.630	0.648	0.654	0.622	0.606	
Fm/Fo	6.549	5.038	4.335	4.726	5.889	5.542	4.943	5.813	5.792	5.188	5.293	5.478	5.575	5.700	4.938	4.545	5.240	4.196	6.298	4.356	4.022	4.281	4.353	4.407	4.686	4.410	4.619	5.955	4.355	4.623	5.508	4.959	4.223	4.566	4.796	4.637	4.428	3.841	5.399	5.988	4.401	4.372	4.176	4.511	4.436	4.728	4.931	5.110	6.295	6.719	5.466	5.169	5.165	6.195	5.853	5.519	6.167	5.806	5.750	5.796	
Fv/Fo	5.549	4.038	3.335	3.726	4.889	4.542	3.943	4.813	4.792	4.188	4.293	4.478	4.575	4.700	3.938	3.545	4.240	3.196	5.298	3.356	3.022	3.281	3.353	3.407	3.686	3.410	3.619	4.955	3.355	3.623	4.508	3.959	3.223	3.566	3.796	3.637	3.428	2.841	4.399	4.988	3.401	3.372	3.176	3.511	3.436	3.728	3.931	4.110	5.295	5.719	4.466	4.169	4.165	5.195	4.853	4.519	5.167	4.806	4.750	4.796	
