FluorPen ASCII Export File
-----------------------------------
File Name: Untitled - 1
-----------------------------------

time	14:42:04  1.2.2024	14:42:29  1.2.2024	14:42:52  1.2.2024	14:43:19  1.2.2024	14:43:46  1.2.2024	14:44:07  1.2.2024	14:44:30  1.2.2024	14:44:53  1.2.2024	14:45:19  1.2.2024	14:45:56  1.2.2024	14:46:20  1.2.2024	14:46:41  1.2.2024	14:47:59  1.2.2024	14:48:21  1.2.2024	14:48:45  1.2.2024	14:49:10  1.2.2024	14:49:38  1.2.2024	14:49:59  1.2.2024	14:50:25  1.2.2024	14:50:44  1.2.2024	14:51:11  1.2.2024	14:51:28  1.2.2024	14:51:50  1.2.2024	14:52:10  1.2.2024	14:58:39  1.2.2024	14:59:00  1.2.2024	14:59:23  1.2.2024	14:59:50  1.2.2024	15:00:20  1.2.2024	15:00:44  1.2.2024	15:01:02  1.2.2024	15:01:23  1.2.2024	15:02:02  1.2.2024	15:02:25  1.2.2024	15:02:50  1.2.2024	15:03:10  1.2.2024	15:04:21  1.2.2024	15:04:40  1.2.2024	15:05:00  1.2.2024	15:05:21  1.2.2024	15:05:54  1.2.2024	15:06:15  1.2.2024	15:06:35  1.2.2024	15:06:56  1.2.2024	15:07:23  1.2.2024	15:07:57  1.2.2024	15:08:19  1.2.2024	15:08:44  1.2.2024	15:09:54  1.2.2024	15:10:16  1.2.2024	15:10:34  1.2.2024	15:10:55  1.2.2024	15:11:24  1.2.2024	15:11:44  1.2.2024	15:12:03  1.2.2024	15:12:21  1.2.2024	15:12:48  1.2.2024	15:13:06  1.2.2024	15:13:24  1.2.2024	15:13:42  1.2.2024	
Bckg	229	209	239	219	358	309	388	259	219	229	292	292	292	292	249	289	299	292	292	229	229	520	229	249	292	299	325	269	299	325	338	269	289	259	249	249	259	422	269	299	249	269	279	292	289	292	325	259	259	269	289	319	239	249	259	329	269	279	269	249	
Fo	5035	4586	4696	4556	3759	3898	3609	5423	4486	5234	5494	6307	5559	6080	5733	5015	4805	6372	6567	4825	5443	5884	4935	4606	5755	4855	5624	5234	4705	5559	4726	5284	5493	4556	4616	4606	5304	5560	5264	5044	5384	5184	4835	5559	5164	6015	6632	4716	4058	4287	4087	4825	4985	3958	4018	4217	4516	3489	3699	3888	
Fj	12542	11904	10379	11336	9282	9800	8565	12582	11725	13998	15378	16028	13850	16776	14845	12901	12841	17101	17133	12981	15154	12061	12801	11864	14598	12632	12939	13459	12492	14142	12124	13649	15264	12353	12512	12353	14157	12744	14337	12911	13968	13250	12143	15508	12921	15118	16970	12971	10568	11156	10358	12841	12771	10179	10279	11226	11495	8624	9342	9661	
Fi	16610	16510	12303	15124	13689	14326	12772	17836	19601	21455	23018	23636	20742	26497	22213	20787	21226	26952	24773	21346	27557	16320	17726	21505	23148	18584	18986	21435	20159	23050	21406	20538	20767	18913	18085	19013	23389	16256	22791	20638	21196	20149	17916	25619	17876	22660	25163	22352	18245	17527	14386	24127	18993	15902	15304	16709	18713	14506	14317	15513	
Fm	23419	24018	18195	22432	21715	22442	20080	25214	27108	29332	33259	31926	27699	35600	30119	29152	32452	35275	32966	29661	34815	22822	23539	28883	30008	25603	27992	28624	27397	30527	28425	28045	27317	27228	26640	26221	31046	23571	32113	28982	29690	28883	26301	33877	25074	29618	33421	31026	27976	25952	23150	30946	27188	23868	22103	24496	26171	20867	21505	21655	
Fv	18384	19432	13499	17876	17956	18544	16471	19791	22622	24098	27765	25619	22140	29520	24386	24137	27647	28903	26399	24836	29372	16938	18604	24277	24253	20748	22368	23390	22692	24968	23699	22761	21824	22672	22024	21615	25742	18011	26849	23938	24306	23699	21466	28318	19910	23603	26789	26310	23918	21665	19063	26121	22203	19910	18085	20279	21655	17378	17806	17767	
Vj	0.408	0.377	0.421	0.379	0.308	0.318	0.301	0.362	0.320	0.364	0.356	0.379	0.374	0.362	0.374	0.327	0.291	0.371	0.400	0.328	0.331	0.365	0.423	0.299	0.365	0.375	0.327	0.352	0.343	0.344	0.312	0.368	0.448	0.344	0.359	0.358	0.344	0.399	0.338	0.329	0.353	0.340	0.340	0.351	0.390	0.386	0.386	0.314	0.272	0.317	0.329	0.307	0.351	0.312	0.346	0.346	0.322	0.295	0.317	0.325	
Vi	0.630	0.614	0.564	0.591	0.553	0.562	0.556	0.627	0.668	0.673	0.631	0.676	0.686	0.692	0.676	0.653	0.594	0.712	0.690	0.665	0.753	0.616	0.688	0.696	0.717	0.662	0.597	0.693	0.681	0.701	0.704	0.670	0.700	0.633	0.612	0.667	0.703	0.594	0.653	0.651	0.651	0.631	0.609	0.708	0.638	0.705	0.692	0.670	0.593	0.611	0.540	0.739	0.631	0.600	0.624	0.616	0.656	0.634	0.596	0.654	
Fm/Fo	4.651	5.237	3.875	4.924	5.777	5.757	5.564	4.649	6.043	5.604	6.054	5.062	4.983	5.855	5.254	5.813	6.754	5.536	5.020	6.147	6.396	3.879	4.770	6.271	5.214	5.274	4.977	5.469	5.823	5.491	6.015	5.308	4.973	5.976	5.771	5.693	5.853	4.239	6.100	5.746	5.514	5.572	5.440	6.094	4.856	4.924	5.039	6.579	6.894	6.054	5.664	6.414	5.454	6.030	5.501	5.809	5.795	5.981	5.814	5.570	
Fv/Fo	3.651	4.237	2.875	3.924	4.777	4.757	4.564	3.649	5.043	4.604	5.054	4.062	3.983	4.855	4.254	4.813	5.754	4.536	4.020	5.147	5.396	2.879	3.770	5.271	4.214	4.274	3.977	4.469	4.823	4.491	5.015	4.308	3.973	4.976	4.771	4.693	4.853	3.239	5.100	4.746	4.514	4.572	4.440	5.094	3.856	3.924	4.039	5.579	5.894	5.054	4.664	5.414	4.454	5.030	4.501	4.809	4.795	4.981	4.814	4.570	
