FluorPen ASCII Export File
-----------------------------------
File Name: Untitled - 1
-----------------------------------

time	13:58:46  7.2.2024	13:59:05  7.2.2024	13:59:24  7.2.2024	13:59:45  7.2.2024	14:00:18  7.2.2024	14:00:40  7.2.2024	14:01:00  7.2.2024	14:01:21  7.2.2024	14:02:25  7.2.2024	14:03:51  7.2.2024	14:04:18  7.2.2024	14:04:49  7.2.2024	14:06:00  7.2.2024	14:06:21  7.2.2024	14:06:46  7.2.2024	14:07:10  7.2.2024	14:07:37  7.2.2024	14:07:57  7.2.2024	14:08:16  7.2.2024	14:08:35  7.2.2024	14:09:08  7.2.2024	14:09:41  7.2.2024	14:09:59  7.2.2024	14:10:22  7.2.2024	14:14:40  7.2.2024	14:15:02  7.2.2024	14:15:27  7.2.2024	14:15:45  7.2.2024	14:16:29  7.2.2024	14:16:47  7.2.2024	14:17:11  7.2.2024	14:17:38  7.2.2024	14:18:37  7.2.2024	14:18:55  7.2.2024	14:19:21  7.2.2024	14:19:42  7.2.2024	14:20:56  7.2.2024	14:21:19  7.2.2024	14:21:40  7.2.2024	14:22:00  7.2.2024	14:22:28  7.2.2024	14:22:49  7.2.2024	14:23:08  7.2.2024	14:23:30  7.2.2024	14:24:30  7.2.2024	14:24:51  7.2.2024	14:25:09  7.2.2024	14:25:30  7.2.2024	14:26:31  7.2.2024	14:26:50  7.2.2024	14:27:12  7.2.2024	14:27:30  7.2.2024	14:28:00  7.2.2024	14:28:21  7.2.2024	14:28:40  7.2.2024	14:28:59  7.2.2024	14:37:43  7.2.2024	14:38:03  7.2.2024	14:38:23  7.2.2024	14:38:47  7.2.2024	
Bckg	422	239	179	260	189	260	189	199	259	325	325	260	189	189	260	209	199	209	189	189	260	260	199	260	260	209	292	292	438	219	325	260	292	292	309	260	260	239	292	219	239	239	239	219	199	209	292	292	199	209	209	209	199	199	260	199	260	209	292	260	
Fo	5950	4407	4766	5624	5204	5787	5294	4885	5683	5657	5722	6307	4407	4746	5884	5085	4815	5144	5643	5444	6437	6339	5374	6177	5819	4955	6470	5559	4786	5354	5657	6339	6080	6405	5373	5819	6112	4716	5657	5304	4835	5164	5084	4965	4486	5055	5657	5429	5055	5184	4875	5045	4855	5354	6794	5234	5624	5583	6665	5787	
Fj	16353	12133	13978	15800	15713	14499	15563	14576	16370	12289	13817	17881	12602	13689	16385	13719	12064	14157	16809	15743	16125	17263	14287	17035	15605	13459	17166	15020	12263	12113	13134	16125	14435	17133	14755	15897	17881	11784	15053	12313	13758	14067	13878	13300	12173	14207	16256	15670	13918	14227	13180	13559	13061	14357	18823	14127	15442	15084	17621	16190	
Fi	21457	21595	23739	25618	29631	26008	30159	25423	31276	13199	29942	30755	22751	21057	21814	21685	21884	27377	30239	29481	21294	29715	19003	31503	25748	26789	27212	26009	16660	14516	16678	23473	16678	21522	24635	28772	25553	16700	21295	17248	26450	24446	26819	24925	20428	24995	27569	25619	26919	27816	26789	25792	23998	25354	34104	25493	30105	28474	30593	32608	
Fm	28285	28564	30109	31178	35304	32868	35782	31485	37607	19896	36770	37745	28763	28733	27894	30418	26032	32153	36041	36361	27829	35859	25952	37322	33031	32861	34299	33649	24716	19870	23310	30918	23603	28740	31884	34104	32738	23509	29227	22632	31375	29651	34267	31754	27547	31186	34917	31828	33270	34197	33110	32253	30209	32751	41093	31904	35794	33728	36738	38493	
Fv	22335	24157	25343	25554	30100	27081	30488	26600	31924	14239	31048	31438	24356	23987	22010	25333	21217	27009	30398	30917	21392	29520	20578	31145	27212	27906	27829	28090	19930	14516	17653	24579	17523	22335	26511	28285	26626	18793	23570	17328	26540	24487	29183	26789	23061	26131	29260	26399	28215	29013	28235	27208	25354	27397	34299	26670	30170	28145	30073	32706	
Vj	0.466	0.320	0.363	0.398	0.349	0.322	0.337	0.364	0.335	0.466	0.261	0.368	0.336	0.373	0.477	0.341	0.342	0.334	0.367	0.333	0.453	0.370	0.433	0.349	0.360	0.305	0.384	0.337	0.375	0.466	0.424	0.398	0.477	0.480	0.354	0.356	0.442	0.376	0.399	0.404	0.336	0.364	0.301	0.311	0.333	0.350	0.362	0.388	0.314	0.312	0.294	0.313	0.324	0.329	0.351	0.333	0.325	0.338	0.364	0.318	
Vi	0.694	0.712	0.749	0.782	0.812	0.747	0.816	0.772	0.802	0.530	0.780	0.778	0.753	0.680	0.724	0.655	0.804	0.823	0.809	0.777	0.695	0.792	0.662	0.813	0.732	0.782	0.745	0.728	0.596	0.631	0.624	0.697	0.605	0.677	0.727	0.811	0.730	0.638	0.663	0.689	0.814	0.787	0.745	0.745	0.691	0.763	0.749	0.765	0.775	0.780	0.776	0.763	0.755	0.730	0.796	0.760	0.811	0.813	0.796	0.820	
Fm/Fo	4.754	6.482	6.317	5.544	6.784	5.680	6.759	6.445	6.617	3.517	6.426	5.985	6.527	6.054	4.741	5.982	5.406	6.251	6.387	6.679	4.323	5.657	4.829	6.042	5.676	6.632	5.301	6.053	5.164	3.711	4.121	4.877	3.882	4.487	5.934	5.861	5.356	4.985	5.167	4.267	6.489	5.742	6.740	6.396	6.141	6.169	6.172	5.863	6.582	6.597	6.792	6.393	6.222	6.117	6.048	6.096	6.365	6.041	5.512	6.652	
Fv/Fo	3.754	5.482	5.317	4.544	5.784	4.680	5.759	5.445	5.617	2.517	5.426	4.985	5.527	5.054	3.741	4.982	4.406	5.251	5.387	5.679	3.323	4.657	3.829	5.042	4.676	5.632	4.301	5.053	4.164	2.711	3.121	3.877	2.882	3.487	4.934	4.861	4.356	3.985	4.167	3.267	5.489	4.742	5.740	5.396	5.141	5.169	5.172	4.863	5.582	5.597	5.792	5.393	5.222	5.117	5.048	5.096	5.365	5.041	4.512	5.652	
Fv/Fm	0.790	0.846	0.842	0.820	0.853	0.824	0.852	0.845	0.849	0.716	0.844	0.833	0.847	0.835	0.789	0.833	0.815	0.840	0.843	0.850	0.769	0.823	0.793	0.834	0.824	0.849	0.811	0.835	0.806	0.731	0.757	0.795	0.742	0.777	0.831	0.829	0.813	0.799	0.806	0.766	0.846	0.826	0.852	0.844	0.837	0.838	0.838	0.829	0.848	0.848	0.853	0.844	0.839	0.837	0.835	0.836	0.843	0.834	0.819	0.850	
Mo	0.664	0.348	0.423	0.524	0.432	0.374	0.408	0.438	0.443	0.630	0.327	0.517	0.378	0.454	0.644	0.431	0.431	0.412	0.472	0.426	0.754	0.542	0.572	0.472	0.478	0.364	0.589	0.445	0.446	0.637	0.574	0.556	0.668	0.687	0.456	0.455	0.586	0.467	0.513	0.541	0.385	0.438	0.350	0.393	0.387	0.430	0.458	0.478	0.382	0.405	0.346	0.391	0.420	0.437	0.538	0.449	0.418	0.455	0.523	0.441	
Area	10435419	53792380	19944440	8764448	17052098	12439365	10865253	8818834	10680311	6617496	12570751	9549684	12298537	38595724	7273662	22899426	5052459	12657110	10962536	10966374	6688634	8742188	7718913	10243161	46162912	12847745	10595847	43852580	8025124	6894070	7130225	8333410	9106107	8326442	10525261	9040312	9199938	10408281	9283190	8087105	13218242	13391892	12298066	11060218	8995414	8775787	10176390	8340120	10366594	11649600	11601172	10611696	10256664	10118097	9636920	12744650	9108553	9910554	9695300	9819754	
Fix Area	27579978	26840276	29237304	30497674	34647048	31977886	34958196	30667226	36730060	19203902	35923340	36917724	27963054	26397352	27140734	28924738	25176162	31529294	35248808	35483880	26700586	35121148	25225536	36640952	31738172	32165108	33444030	31264930	23872474	19255366	22605802	30097226	22921600	28002766	31037682	33309554	31828550	22802374	28508438	22042504	30696884	29053460	33384718	30926282	26719188	30393426	33995432	30966878	32501642	33364718	32326450	31397956	29459702	31883030	40309048	31037028	35002744	32983712	35824232	37691916	
HACH Area	21630216	22433452	24471496	24873900	29443256	26191118	29664406	25782422	31047288	13547129	30201566	30610978	23556230	21651542	21256968	23839942	20361354	26385500	29606032	30040098	20263844	28782404	19851750	30464200	25919406	27210306	26974290	25706152	19086666	13901580	16949028	23758480	16841844	21598022	25664896	27490786	25716794	18086562	22851664	16738717	25862078	23889666	28300922	25961482	22233366	25338628	28338660	25538096	27446844	28180926	27451646	26353156	24604896	26529244	33515318	25803236	29378970	27400936	29159500	31905146	
Sm	467.223	2226.782	786.980	342.978	566.515	459.339	356.378	331.535	334.554	464.744	404.881	303.762	504.949	1609.027	330.471	903.937	238.133	468.626	360.633	354.704	312.670	296.145	375.105	328.886	1696.417	460.394	380.748	1561.146	402.666	474.929	403.910	339.046	519.666	372.798	397.015	319.615	345.525	553.838	393.856	466.707	498.050	546.898	421.412	412.864	390.070	335.838	347.792	315.926	367.414	401.530	410.879	390.021	404.538	369.314	280.968	477.865	301.908	352.125	322.392	300.243	
