FluorPen ASCII Export File
-----------------------------------
File Name: Untitled - 1
-----------------------------------

time	15:19:06  22.4.2024	15:19:36  22.4.2024	15:20:06  22.4.2024	15:20:27  22.4.2024	15:21:34  22.4.2024	15:22:01  22.4.2024	15:22:38  22.4.2024	15:23:05  22.4.2024	15:23:57  22.4.2024	15:24:21  22.4.2024	15:24:41  22.4.2024	15:25:00  22.4.2024	15:26:33  22.4.2024	15:26:54  22.4.2024	15:27:13  22.4.2024	15:27:30  22.4.2024	15:27:57  22.4.2024	15:28:17  22.4.2024	15:28:34  22.4.2024	15:28:54  22.4.2024	15:29:21  22.4.2024	15:29:40  22.4.2024	15:30:00  22.4.2024	15:30:23  22.4.2024	15:31:57  22.4.2024	15:32:15  22.4.2024	15:32:32  22.4.2024	15:33:00  22.4.2024	15:33:27  22.4.2024	15:33:47  22.4.2024	15:34:08  22.4.2024	15:34:26  22.4.2024	15:34:50  22.4.2024	15:35:10  22.4.2024	15:35:30  22.4.2024	15:35:48  22.4.2024	15:37:27  22.4.2024	15:37:46  22.4.2024	15:38:06  22.4.2024	15:38:27  22.4.2024	15:38:54  22.4.2024	15:39:12  22.4.2024	15:39:31  22.4.2024	15:39:52  22.4.2024	15:40:25  22.4.2024	15:40:41  22.4.2024	15:40:58  22.4.2024	15:41:17  22.4.2024	15:42:13  22.4.2024	15:42:31  22.4.2024	15:42:51  22.4.2024	15:43:08  22.4.2024	15:43:46  22.4.2024	15:44:03  22.4.2024	15:44:21  22.4.2024	15:44:38  22.4.2024	15:45:36  22.4.2024	15:45:53  22.4.2024	15:46:15  22.4.2024	15:46:34  22.4.2024	
Bckg	149	126	159	149	149	227	149	159	227	227	227	227	227	149	227	227	227	149	149	149	159	159	227	227	227	159	159	159	227	169	169	169	169	136	159	159	169	159	169	227	169	260	169	169	169	169	227	169	169	169	159	227	169	169	159	159	227	159	227	149	
Fo	4477	3969	4417	4487	4437	9103	4686	4327	5624	6177	6242	6080	5072	4806	5299	5592	5722	3450	4098	4018	5174	4317	5917	5429	6307	3878	4736	4417	6307	5005	4327	5035	3868	144	3230	3300	3848	4776	4018	5657	4207	5754	4716	4566	3310	3440	5787	3739	3948	4457	4397	5104	4746	4477	4766	3719	5494	5164	5332	4168	
Fj	13878	3969	11994	14437	14108	21685	14397	14068	18369	20547	19117	21522	17036	15085	18856	18466	20157	10518	12163	12562	16321	12981	17458	15313	20807	10199	14157	12891	18206	13390	9172	11994	9850	152	8704	8126	11136	15354	12034	17979	10309	16028	15085	12253	8913	9422	18336	10439	12203	13609	13918	16646	13938	13479	14028	11466	18304	17418	16256	12682	
Fi	19531	3969	17138	20748	20179	29650	21196	22781	26692	29065	26399	32674	27602	24078	30398	27472	31893	15234	18474	18046	22881	18395	23571	20937	32349	14387	19920	18395	30593	19870	12522	16560	14885	152	14636	12492	16441	24147	18215	27374	14526	23375	23749	17597	14815	15364	32609	17757	19073	19661	21535	25976	22123	20199	21007	17318	29650	29003	25716	21097	
Fm	26480	3969	22941	27757	26660	35665	27507	29731	32966	35470	33064	38883	35014	31176	37160	35014	36022	20807	25473	23818	28793	23410	28740	25716	38526	19521	26002	23689	41517	27098	16770	23031	21017	152	20618	17537	22313	32313	24546	32349	19192	28934	28833	23180	21077	21924	39729	22921	25354	26470	27876	33226	28524	26750	27587	23669	34917	34576	32218	27806	
Fv	22003	0	18524	23270	22223	26562	22821	25404	27342	29293	26822	32803	29942	26370	31861	29422	30300	17357	21375	19800	23619	19093	22823	20287	32219	15643	21266	19272	35210	22093	12443	17996	17149	8	17388	14237	18465	27537	20528	26692	14985	23180	24117	18614	17767	18484	33942	19182	21406	22013	23479	28122	23778	22273	22821	19950	29423	29412	26886	23638	
Vj	0.427	0.000	0.409	0.428	0.435	0.474	0.426	0.383	0.466	0.491	0.480	0.471	0.400	0.390	0.426	0.438	0.476	0.407	0.377	0.432	0.472	0.454	0.506	0.487	0.450	0.404	0.443	0.440	0.338	0.380	0.389	0.387	0.349	1.000	0.315	0.339	0.395	0.384	0.390	0.462	0.407	0.443	0.430	0.413	0.315	0.324	0.370	0.349	0.386	0.416	0.406	0.410	0.387	0.404	0.406	0.388	0.435	0.417	0.406	0.360	
Vi	0.684	0.000	0.687	0.699	0.708	0.774	0.723	0.726	0.771	0.781	0.752	0.811	0.752	0.731	0.788	0.744	0.864	0.679	0.673	0.708	0.750	0.737	0.774	0.764	0.808	0.672	0.714	0.725	0.690	0.673	0.659	0.640	0.642	1.000	0.656	0.646	0.682	0.703	0.692	0.814	0.689	0.760	0.789	0.700	0.648	0.645	0.790	0.731	0.707	0.691	0.730	0.742	0.731	0.706	0.712	0.682	0.821	0.811	0.758	0.716	
Fm/Fo	5.915	1.000	5.194	6.186	6.009	3.918	5.870	6.871	5.862	5.742	5.297	6.395	6.903	6.487	7.013	6.261	6.295	6.031	6.216	5.928	5.565	5.423	4.857	4.737	6.108	5.034	5.490	5.363	6.583	5.414	3.876	4.574	5.434	1.056	6.383	5.314	5.799	6.766	6.109	5.718	4.562	5.029	6.114	5.077	6.368	6.373	6.865	6.130	6.422	5.939	6.340	6.510	6.010	5.975	5.788	6.364	6.355	6.696	6.042	6.671	
Fv/Fo	4.915	0.000	4.194	5.186	5.009	2.918	4.870	5.871	4.862	4.742	4.297	5.395	5.903	5.487	6.013	5.261	5.295	5.031	5.216	4.928	4.565	4.423	3.857	3.737	5.108	4.034	4.490	4.363	5.583	4.414	2.876	3.574	4.434	0.056	5.383	4.314	4.799	5.766	5.109	4.718	3.562	4.029	5.114	4.077	5.368	5.373	5.865	5.130	5.422	4.939	5.340	5.510	5.010	4.975	4.788	5.364	5.355	5.696	5.042	5.671	
